open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,2.524,2.605,1.306,1.641,3371183027.5,1643673599999,6532112534.0703,12954952,1656096611.3,3207916276.44,0
1643673600000,1.642,2.101,1.245,1.614,2617134490.8,1646092799999,4312588030.4839,8328722,1300605260.6,2142811043.7067,0
1646092800000,1.613,1.75,1.329,1.618,1780360154.6,1648771199999,2725945178.0286,5079172,892168782.2,1367210628.1627,0
1648771200000,1.617,1.729,1.011,1.032,1440803911.2,1651363199999,2039538404.112868,3926482,712877493.7,1009358115.6241,0
1651363200000,1.033,1.187,0.501,0.663,3541042062.1,1654041599999,2694892243.732007,4757660,1743428345.8,1328390545.783016,0
1654041600000,0.662,0.671,0.316,0.4808,4033679826.7,1656633599999,2011639421.225908,4358073,1997096354.7,997161925.63554,0
1656633600000,0.4808,1.0197,0.4486,0.9279,6191085184.2,1659311999999,4364157981.02714,11705251,3084718645.8,2174329884.81379,0
1659312000000,0.9277,1.0545,0.7535,0.8323,2359502648.9,1661990399999,2061546484.47011,6447530,1171790799.0,1024364111.29563,0
1661990400000,0.8322,0.9436,0.6901,0.7778,2048652598.8,1664582399999,1679268733.24152,4776535,1015658096.9,833013181.89378,0
1664582400000,0.7781,0.968,0.7156,0.9026,1835387924.4,1667260799999,1571033008.77481,4058067,921919546.0,789660262.23923,0
1667260800000,0.9026,1.3071,0.7624,0.933,4647283720.8,1669852799999,4550106317.60163,13237216,2308504018.3,2260654823.80989,0
1669852800000,0.933,0.9502,0.7472,0.7583,1616944418.4,1672531199999,1389673794.83432,3171435,794593246.8,682683507.00242,0
1672531200000,0.7584,1.2,0.7477,1.1094,2571552308.2,1675209599999,2518314355.51233,5964773,1264442495.9,1237036985.20063,0
1675209600000,1.1095,1.5681,1.0677,1.1964,2937796503.9,1677628799999,3829753449.92483,8844984,1445366541.2,1884974240.7255,0
1677628800000,1.1963,1.264,0.9426,1.1176,2908195110.8,1680307199999,3269930085.82287,8134264,1444629704.5,1624594938.44418,0
1680307200000,1.1176,1.19,0.9435,1.0144,1540735061.4,1682899199999,1670521968.4658,4440755,772999917.7,837898523.13641,0
