open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,2.524,2.605,2.502,2.572,51305956.1,1641081599999,131097147.8654,280260,25630199.3,65505994.1565,0
1641081600000,2.572,2.59,2.496,2.55,49037033.7,1641167999999,124377674.5418,207816,23816099.2,60443631.9407,0
1641168000000,2.55,2.552,2.361,2.432,65676503.5,1641254399999,161778141.9744,306028,31452426.5,77478612.4332,0
1641254400000,2.434,2.508,2.352,2.365,75096431.9,1641340799999,182892650.0835,369192,35574132.2,86700016.6312,0
1641340800000,2.366,2.452,2.02,2.182,116397377.1,1641427199999,264804541.4657,561202,53031589.5,120824976.1567,0
1641427200000,2.182,2.3,2.068,2.251,119331816.3,1641513599999,259085533.8823,544706,58068257.5,126152799.2161,0
1641513600000,2.251,2.266,2.042,2.053,119757574.2,1641599999999,254895011.6821,541861,57477696.6,122335957.9469,0
1641600000000,2.054,2.145,1.9,1.985,82923797.9,1641686399999,167644714.8186,359121,39840166.0,80560129.2391,0
1641686400000,1.984,2.169,1.96,2.114,65727897.0,1641772799999,135305006.166,286950,31543460.8,64953031.5825,0
1641772800000,2.114,2.149,1.919,2.071,105243094.3,1641859199999,214051182.3974,447916,51459209.4,104671415.7785,0
1641859200000,2.072,2.373,2.046,2.36,133945252.3,1641945599999,299455676.8309,614124,68295546.2,152677046.2514,0
1641945600000,2.361,2.449,2.305,2.398,105446906.5,1642031999999,249034763.2087,544906,54836836.6,129613740.891,0
1642032000000,2.397,2.441,2.24,2.265,96342184.4,1642118399999,226402907.2935,504164,46782539.0,110055630.8577,0
1642118400000,2.264,2.351,2.168,2.334,81154863.5,1642204799999,184074507.9739,368529,39466820.6,89575056.9331,0
1642204800000,2.334,2.398,2.295,2.346,54115900.4,1642291199999,127414017.3063,289132,27747514.2,65347955.7536,0
1642291200000,2.346,2.373,2.282,2.332,49800594.2,1642377599999,115869595.8344,239436,24485449.3,56995151.7676,0
1642377600000,2.332,2.452,2.163,2.219,114289288.7,1642463999999,265763269.9908,592925,57904465.4,134764868.4228,0
1642464000000,2.219,2.245,2.056,2.121,110374557.1,1642550399999,236804044.2324,413640,52844081.2,113578199.4807,0
1642550400000,2.121,2.143,2.013,2.03,92522186.7,1642636799999,192206020.097,348139,44937609.6,93423585.8956,0
1642636800000,2.03,2.194,1.951,1.96,91995626.7,1642723199999,192004602.5625,366706,45318160.0,94622739.2778,0
1642723200000,1.959,2.026,1.64,1.699,203319818.1,1642809599999,373938339.6528,702240,100088538.3,184348699.1998,0
1642809600000,1.698,1.756,1.396,1.536,257211366.6,1642895999999,400754989.567,651068,125317500.3,195268013.1144,0
1642896000000,1.537,1.67,1.509,1.617,124415371.7,1642982399999,197308890.4989,348627,62651948.5,99356802.7159,0
1642982400000,1.617,1.617,1.306,1.506,226249382.0,1643068799999,320777352.3694,539349,111306769.6,157456960.3446,0
1643068800000,1.506,1.611,1.41,1.559,134168952.6,1643155199999,200816467.3062,384960,66075609.6,98920364.9328,0
1643155200000,1.558,1.822,1.525,1.59,207512832.0,1643241599999,343969788.0074,662240,102255831.8,169143437.0495,0
1643241600000,1.589,1.668,1.496,1.589,135671959.5,1643327999999,214492059.1195,415751,67550287.4,106780547.0665,0
1643328000000,1.589,1.702,1.563,1.673,113781512.2,1643414399999,186260518.7519,382391,57170402.6,93610028.5977,0
1643414400000,1.673,1.74,1.649,1.696,59414339.5,1643500799999,101047242.7168,240072,28546145.8,48567869.5924,0
1643500800000,1.697,1.709,1.576,1.604,60973806.8,1643587199999,99978189.4367,213529,30100260.8,49407661.4959,0
1643587200000,1.604,1.652,1.523,1.641,67978844.0,1643673599999,107807686.4361,227972,34521057.5,54775351.7178,0
1643673600000,1.642,1.679,1.613,1.647,65117122.0,1643759999999,107209047.1717,250932,33452574.4,55065273.2728,0
1643760000000,1.647,1.665,1.521,1.538,59423987.6,1643846399999,94785223.3568,226406,28628541.8,45686903.3545,0
1643846400000,1.539,1.562,1.475,1.556,62800626.4,1643932799999,95206576.1674,208880,30305223.1,45955400.5025,0
1643932800000,1.556,1.696,1.535,1.694,72339034.2,1644019199999,116747423.8831,259124,37251133.0,60130280.1721,0
1644019200000,1.694,1.758,1.673,1.711,64562494.1,1644105599999,111044679.6526,271875,32697070.9,56238967.8455,0
1644105600000,1.711,1.754,1.666,1.738,46183793.8,1644191999999,79126698.5035,191708,23309094.3,39968540.2716,0
1644192000000,1.738,2.1,1.698,2.018,171047453.1,1644278399999,327696751.0774,791275,87442193.2,167627376.4538,0
1644278400000,2.018,2.048,1.859,1.941,132565496.2,1644364799999,258391627.7998,551598,64630531.4,125955800.6087,0
1644364800000,1.942,2.06,1.889,2.037,92733530.6,1644451199999,183681820.1451,368224,45595722.1,90301636.6256,0
1644451200000,2.037,2.101,1.87,1.896,127157847.1,1644537599999,250743109.1648,540875,62904818.8,124180280.0424,0
1644537600000,1.895,1.899,1.675,1.716,116727590.6,1644623999999,211277231.4098,367080,57068136.2,103434050.7898,0
1644624000000,1.715,1.765,1.641,1.701,66680406.3,1644710399999,113239383.8018,226075,34136287.4,58010840.6191,0
1644710400000,1.702,1.724,1.643,1.659,39312030.0,1644796799999,66443749.3079,130943,19019663.8,32167646.7276,0
1644796800000,1.659,1.679,1.594,1.656,68720224.6,1644883199999,112205537.6222,209721,33752771.6,55148765.0721,0
1644883200000,1.656,1.879,1.652,1.871,79165758.4,1644969599999,140546416.1564,309088,40838858.1,72447380.9552,0
1644969600000,1.871,1.878,1.731,1.836,79187974.4,1645055999999,143526425.8652,305550,37427925.8,67881281.9101,0
1645056000000,1.836,1.864,1.646,1.661,77223017.1,1645142399999,135097933.0461,326340,35750664.0,62562554.8249,0
1645142400000,1.661,1.713,1.581,1.593,72127998.5,1645228799999,118592270.091,225736,35139373.0,57789759.6943,0
1645228800000,1.592,1.643,1.558,1.632,43942448.1,1645315199999,70575805.5566,159313,22934055.2,36853373.6159,0
1645315200000,1.633,1.636,1.492,1.512,69747934.7,1645401599999,107741186.9308,186872,29920789.7,46078869.0706,0
1645401600000,1.511,1.615,1.4,1.405,135844993.9,1645487999999,205801397.4814,304334,67012350.6,101591214.5109,0
1645488000000,1.404,1.475,1.345,1.462,114722815.6,1645574399999,162179882.8648,235769,58320266.4,82523105.113,0
1645574400000,1.462,1.595,1.432,1.436,117998438.6,1645660799999,179395820.8372,273132,57194670.6,86964856.0665,0
1645660800000,1.436,1.515,1.245,1.441,272876939.5,1645747199999,367906659.5139,510363,136494189.3,184024425.337,0
1645747200000,1.44,1.575,1.403,1.551,124723235.9,1645833599999,184584973.9512,280329,65156669.8,96470685.8467,0
1645833600000,1.55,1.595,1.503,1.516,70500809.8,1645919999999,108699862.0571,165130,35586317.7,54885631.3752,0
1645920000000,1.517,1.547,1.422,1.453,84362806.0,1646006399999,124895915.2868,200801,41633677.0,61683280.8732,0
1646006400000,1.453,1.618,1.422,1.614,89337683.7,1646092799999,135244621.7815,251249,47001691.4,71182862.1551,0
1646092800000,1.613,1.664,1.554,1.621,112875726.8,1646179199999,181565593.3901,302963,56721488.8,91288142.6016,0
1646179200000,1.621,1.699,1.582,1.637,106926527.0,1646265599999,175620449.2354,307594,53788649.8,88412583.6382,0
1646265600000,1.636,1.652,1.544,1.586,75342727.8,1646351999999,120342787.4757,198155,37413451.7,59785057.7287,0
1646352000000,1.585,1.587,1.452,1.478,77638012.4,1646438399999,118152251.5778,201426,37516386.9,57120970.3015,0
1646438400000,1.477,1.516,1.448,1.508,41939605.6,1646524799999,62302818.6671,107629,20423138.4,30357882.1104,0
1646524800000,1.508,1.519,1.431,1.435,44816887.7,1646611199999,66014445.713,113735,21649809.1,31905686.2409,0
