open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,2.374,2.377,2.368,2.374,1411.2,1672503299999,3347.8784,54,310.1,736.3369,0
1672503300000,2.374,2.38,2.373,2.375,329.1,1672504199999,781.8062,36,322.4,765.8937,0
1672504200000,2.376,2.378,2.374,2.375,686.5,1672505099999,1630.0956,18,481.2,1142.596,0
1672505100000,2.373,2.374,2.368,2.374,814.7,1672505999999,1931.5185,18,168.0,398.7614,0
1672506000000,2.375,2.377,2.369,2.369,258.2,1672506899999,612.7563,15,55.8,132.5936,0
1672506900000,2.373,2.373,2.371,2.372,142.4,1672507799999,337.728,8,94.0,222.9596,0
1672507800000,2.373,2.373,2.373,2.373,6.3,1672508699999,14.9499,2,6.3,14.9499,0
1672508700000,2.373,2.373,2.356,2.358,5283.3,1672509599999,12487.0428,40,0.0,0.0,0
1672509600000,2.363,2.368,2.358,2.364,698.0,1672510499999,1648.3688,31,403.3,952.7524,0
1672510500000,2.367,2.37,2.363,2.365,1152.9,1672511399999,2725.4214,22,345.8,818.0013,0
1672511400000,2.362,2.369,2.361,2.364,164.8,1672512299999,389.4469,6,13.5,31.9815,0
1672512300000,2.364,2.369,2.364,2.365,67.7,1672513199999,160.1286,5,6.2,14.6878,0
1672513200000,2.365,2.365,2.363,2.363,513.7,1672514099999,1214.3416,12,71.4,168.7182,0
1672514100000,2.366,2.367,2.361,2.362,234.5,1672514999999,554.7884,8,66.6,157.6216,0
1672515000000,2.361,2.361,2.36,2.36,726.2,1672515899999,1714.0239,10,383.2,904.352,0
1672515900000,2.36,2.365,2.36,2.361,1057.3,1672516799999,2495.3428,28,809.9,1911.3955,0
1672516800000,2.361,2.381,2.361,2.376,6399.8,1672517699999,15175.3479,90,3383.6,8029.02,0
1672517700000,2.377,2.381,2.372,2.378,2169.9,1672518599999,5157.6591,47,139.1,330.7892,0
1672518600000,2.378,2.381,2.372,2.374,465.6,1672519499999,1105.867,18,42.0,99.9341,0
1672519500000,2.378,2.378,2.367,2.367,1091.1,1672520399999,2589.2116,27,98.9,235.0041,0
1672520400000,2.37,2.37,2.366,2.37,128.9,1672521299999,305.3684,7,109.0,258.285,0
1672521300000,2.372,2.372,2.368,2.368,13.2,1672522199999,31.2848,2,13.2,31.2848,0
1672522200000,2.368,2.373,2.365,2.373,142.4,1672523099999,337.5697,8,101.2,240.078,0
1672523100000,2.368,2.369,2.368,2.369,20.8,1672523999999,49.2689,3,0.0,0.0,0
1672524000000,2.369,2.369,2.369,2.369,0.0,1672524899999,0.0,0,0.0,0.0,0
1672524900000,2.369,2.37,2.369,2.37,11.1,1672525799999,26.3009,2,5.0,11.85,0
1672525800000,2.37,2.37,2.369,2.369,48.5,1672526699999,114.9236,4,0.0,0.0,0
1672526700000,2.369,2.369,2.359,2.369,5388.7,1672527599999,12730.4978,43,2946.3,6956.4256,0
1672527600000,2.367,2.367,2.361,2.361,639.4,1672528499999,1511.5269,11,0.0,0.0,0
1672528500000,2.369,2.369,2.364,2.365,217.7,1672529399999,515.0466,8,217.7,515.0466,0
1672529400000,2.366,2.369,2.327,2.335,23204.1,1672530299999,54256.9331,199,12942.3,30177.3288,0
1672530300000,2.338,2.36,2.338,2.357,5316.3,1672531199999,12514.373,62,3688.5,8674.4446,0
