open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672617600000,2.351,2.554,2.33,2.46,1120773.4,1673222399999,2721857.3271,20967,524950.5,1277836.116,0
1673222400000,2.46,3.1,2.396,2.876,2993134.1,1673827199999,8111467.9389,51679,1485814.7,4050080.962,0
1673827200000,2.871,3.08,2.59,2.877,3126056.6,1674431999999,9079042.8324,48914,1299373.1,3773271.0045,0
1674432000000,2.876,3.201,2.872,3.003,2247016.5,1675036799999,6792269.6124,47236,1036242.5,3142075.106,0
1675036800000,3.002,3.014,2.723,2.818,1873759.4,1675641599999,5331226.8771,31024,885954.7,2521810.6508,0
1675641600000,2.822,3.052,2.58,2.831,2174140.0,1676246399999,6287478.6681,36309,1024441.4,2969180.0162,0
1676246400000,2.827,3.159,2.63,3.022,2169147.9,1676851199999,6284337.9983,37056,1037758.2,3014648.0114,0
1676851200000,3.022,3.65,2.751,2.892,6910255.6,1677455999999,21563206.9169,126525,3330141.2,10428031.244,0
1677456000000,2.893,2.94,2.561,2.586,1512354.2,1678060799999,4191951.2125,27201,649498.1,1804051.5782,0
1678060800000,2.582,2.75,2.208,2.492,2185487.8,1678665599999,5403081.3689,31191,1041053.9,2574061.4911,0
1678665600000,2.499,2.774,2.45,2.599,1594457.0,1679270399999,4144595.8664,24335,767220.7,1996156.891,0
1679270400000,2.599,2.899,2.413,2.577,1806124.7,1679875199999,4799555.4701,33526,870488.9,2317467.1648,0
1679875200000,2.586,2.85,2.44,2.599,1670694.9,1680479999999,4426734.7533,28868,819196.0,2178191.5608,0
1680480000000,2.599,15.307,2.592,10.643,83174553.141,1681084799999,807475249.205568,3169847,42349858.042,411192900.371422,0
1681084800000,10.642,11.99,7.39,9.965,43245637.3,1681689599999,426679766.4188,1699938,21277309.9,210391007.6174,0
1681689600000,9.971,16.5,9.652,13.839,41745230.468,1682294399999,549823080.559817,1800958,21417417.468,282750086.400217,0
1682294400000,13.839,14.2,9.8,10.47,8941717.8,1682899199999,107615227.0403,397881,4212050.2,50717612.9448,0
