open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,2.374,2.38,2.356,2.358,8931.7,1672509599999,21143.7757,191,1437.8,3414.0911,0
1672509600000,2.363,2.37,2.358,2.361,4615.1,1672516799999,10901.8624,122,2099.9,4959.5103,0
1672516800000,2.361,2.381,2.361,2.369,10431.7,1672523999999,24751.5774,202,3887.0,9224.3952,0
1672524000000,2.369,2.37,2.327,2.357,34825.8,1672531199999,81669.6019,329,19799.8,46335.0956,0
1672531200000,2.357,2.358,2.333,2.351,12796.1,1672538399999,29985.6031,165,3565.3,8363.9405,0
1672538400000,2.353,2.354,2.346,2.353,2479.8,1672545599999,5826.6618,64,653.9,1537.3312,0
1672545600000,2.353,2.353,2.338,2.34,4611.9,1672552799999,10816.0527,161,858.2,2013.0365,0
1672552800000,2.343,2.351,2.336,2.34,5380.1,1672559999999,12591.4878,183,1872.4,4389.1126,0
1672560000000,2.337,2.343,2.329,2.34,13731.5,1672567199999,32058.2147,304,4632.8,10818.4607,0
1672567200000,2.336,2.341,2.334,2.339,2065.0,1672574399999,4824.876,67,974.0,2277.2806,0
1672574400000,2.34,2.354,2.328,2.352,11723.5,1672581599999,27440.9323,177,5278.7,12365.9371,0
1672581600000,2.35,2.355,2.344,2.349,4167.7,1672588799999,9790.5216,112,915.3,2151.9791,0
1672588800000,2.348,2.354,2.337,2.338,6282.8,1672595999999,14724.8363,164,1846.6,4335.2913,0
1672596000000,2.341,2.349,2.337,2.339,5048.5,1672603199999,11822.8247,175,2084.7,4886.4391,0
1672603200000,2.338,2.354,2.336,2.35,5210.5,1672610399999,12218.6986,138,2416.7,5669.137,0
1672610400000,2.352,2.354,2.35,2.35,2442.2,1672617599999,5741.7607,130,909.7,2139.653,0
1672617600000,2.351,2.351,2.331,2.331,2209.3,1672624799999,5163.937,85,853.4,1993.503,0
1672624800000,2.336,2.35,2.33,2.344,8737.3,1672631999999,20446.8565,141,6764.8,15841.9829,0
1672632000000,2.342,2.352,2.33,2.335,7149.6,1672639199999,16701.3759,162,1518.6,3551.3639,0
