open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1654041600000,1.44,2.2,0.396,0.547,1921463878.17,1656633599999,1686667929.0587,3291357,916197198.78,802727574.44455,0
1656633600000,0.547,1.97,0.405,1.583,1629074551.05,1659311999999,1560468692.79522,2528585,801048285.24,777636099.46412,0
1659312000000,1.582,2.243,0.989,1.129,1649543481.91,1661990399999,2519600871.64229,4183101,796676758.3,1218418378.48292,0
1661990400000,1.13,1.479,0.862,0.91,906378461.6,1664582399999,1024515880.59633,2059575,437908977.57,495548191.75288,0
1664582400000,0.911,1.233,0.634,1.035,538921596.01,1667260799999,501586692.27557,1336249,264176236.76,246399715.21193,0
1667260800000,1.036,1.419,0.761,1.003,829016157.74,1669852799999,848744828.97587,2463026,408029551.95,418063670.23672,0
1669852800000,1.002,1.198,0.865,0.917,468139500.0,1672531199999,477445970.54178,1217217,229946521.61,234555658.37947,0
1672531200000,0.918,2.555,0.909,2.166,1016304133.54,1675209599999,1812001117.07341,4105243,505775470.22,902147842.11129,0
1675209600000,2.165,3.29,2.074,2.703,1001506772.7,1677628799999,2745172197.54006,5539847,489491784.07,1343001439.96937,0
1677628800000,2.704,2.96,1.769,2.289,903237096.46,1680307199999,2166851772.09464,4844664,443474263.46,1064793396.24016,0
1680307200000,2.288,2.83,2.055,2.172,376358309.63,1682899199999,900714330.18994,2167361,182513547.38,437235292.96239,0
