open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.926,0.927,0.92,0.923,268151.15,1672509599999,247634.59163,780,136653.21,126211.73563,0
1672509600000,0.924,0.929,0.923,0.926,151039.41,1672516799999,139951.22168,623,64267.33,59543.79834,0
1672516800000,0.926,0.928,0.921,0.921,141672.18,1672523999999,131114.28207,404,70125.35,64937.34271,0
1672524000000,0.921,0.923,0.913,0.917,467512.96,1672531199999,429032.56575,1223,235842.8,216502.21393,0
1672531200000,0.918,0.92,0.911,0.913,299192.39,1672538399999,273511.66093,765,198751.72,181666.3802,0
1672538400000,0.913,0.917,0.909,0.915,324627.7,1672545599999,296270.52657,844,135466.81,123737.89235,0
1672545600000,0.915,0.915,0.909,0.913,284899.31,1672552799999,259871.20055,734,114140.25,104173.09624,0
1672552800000,0.913,0.917,0.912,0.916,273799.98,1672559999999,250301.29081,999,129381.51,118345.0298,0
1672560000000,0.916,0.916,0.91,0.915,200798.95,1672567199999,183462.79953,779,86516.11,79072.55458,0
1672567200000,0.915,0.92,0.914,0.917,180651.17,1672574399999,165654.38816,460,85715.67,78589.68846,0
1672574400000,0.917,0.922,0.915,0.916,260672.3,1672581599999,239214.98057,587,143988.45,132120.00142,0
1672581600000,0.917,0.919,0.914,0.918,164092.89,1672588799999,150425.29269,459,81241.16,74488.84112,0
1672588800000,0.918,0.923,0.917,0.922,283288.5,1672595999999,260670.32544,653,162449.3,149479.65236,0
1672596000000,0.922,0.931,0.922,0.927,476654.52,1672603199999,441523.32347,1136,286125.88,265069.5995,0
1672603200000,0.927,0.932,0.925,0.927,227845.76,1672610399999,211439.87223,578,118979.71,110427.7808,0
1672610400000,0.926,0.927,0.922,0.924,308064.19,1672617599999,284813.31023,748,138451.01,128004.1224,0
1672617600000,0.923,0.925,0.91,0.912,833489.23,1672624799999,762905.67517,1764,354264.37,324566.81264,0
1672624800000,0.912,0.923,0.91,0.922,482758.47,1672631999999,442352.86278,1148,281527.24,257973.47386,0
1672632000000,0.923,0.924,0.917,0.923,429081.93,1672639199999,394900.72634,883,161237.06,148435.69636,0
1672639200000,0.923,0.945,0.921,0.941,3473653.28,1672646399999,3252835.59485,6113,1737466.03,1626994.89179,0
1672646400000,0.941,0.957,0.939,0.951,2139412.37,1672653599999,2030569.14259,3391,1065956.66,1012196.89365,0
1672653600000,0.952,0.959,0.945,0.951,780690.39,1672660799999,743266.87145,1563,352166.13,335709.47843,0
1672660800000,0.951,0.956,0.949,0.949,828148.36,1672667999999,788935.18646,1569,381609.49,363703.37424,0
1672668000000,0.95,0.958,0.945,0.954,656736.49,1672675199999,624583.64025,1632,337895.64,321422.52602,0
1672675200000,0.953,0.964,0.951,0.953,645826.83,1672682399999,617887.44208,1403,345526.07,330615.96112,0
1672682400000,0.954,0.968,0.953,0.966,548137.65,1672689599999,527192.85263,1403,314812.35,302738.7782,0
1672689600000,0.966,0.977,0.96,0.973,495162.52,1672696799999,479655.59701,1388,238226.44,230866.67549,0
1672696800000,0.973,0.974,0.956,0.958,729485.91,1672703999999,702682.32515,1668,335007.76,322576.11791,0
1672704000000,0.958,0.968,0.951,0.956,1147258.49,1672711199999,1099279.03509,2313,549026.36,526319.21501,0
1672711200000,0.955,0.962,0.952,0.96,771988.66,1672718399999,739652.3815,1431,412475.28,395424.26433,0
1672718400000,0.96,0.968,0.957,0.968,469631.04,1672725599999,451705.57299,1410,269882.93,259626.68891,0
1672725600000,0.967,0.977,0.966,0.97,1189014.39,1672732799999,1154979.89414,2447,658578.18,639855.19353,0
1672732800000,0.971,0.972,0.956,0.969,910274.37,1672739999999,877910.0423,2257,511444.2,493259.66185,0
1672740000000,0.969,0.972,0.964,0.965,795786.25,1672747199999,770011.48833,1624,292205.59,282897.15259,0
1672747200000,0.965,0.968,0.96,0.965,733933.32,1672754399999,708163.49019,2204,344180.15,332143.1611,0
1672754400000,0.965,0.988,0.963,0.973,3682676.04,1672761599999,3588233.10282,7483,1881014.06,1833646.0041,0
1672761600000,0.973,0.975,0.96,0.968,942303.71,1672768799999,911161.30966,2279,477811.32,462054.22101,0
1672768800000,0.967,0.968,0.944,0.949,1224548.94,1672775999999,1167817.90741,2819,547378.45,522057.33252,0
1672776000000,0.949,0.957,0.949,0.954,361367.99,1672783199999,344778.60784,997,192842.34,183986.4567,0
1672783200000,0.954,0.962,0.951,0.957,618863.74,1672790399999,592172.40342,1369,229284.62,219497.53063,0
1672790400000,0.957,0.974,0.953,0.972,946896.06,1672797599999,912672.79588,2339,561134.89,540647.03022,0
1672797600000,0.972,1.021,0.971,1.019,3336141.16,1672804799999,3316536.29922,7823,1842351.24,1830806.95001,0
1672804800000,1.02,1.025,1.009,1.023,1761004.85,1672811999999,1790702.89779,3564,947976.74,964554.09149,0
1672812000000,1.024,1.034,1.015,1.026,1567374.02,1672819199999,1604944.4332,3173,783640.0,802562.01194,0
1672819200000,1.025,1.038,1.021,1.032,1564448.63,1672826399999,1612658.65461,3461,817275.83,842863.58669,0
1672826400000,1.032,1.042,1.027,1.037,808809.48,1672833599999,835794.88957,1964,379404.83,392199.30207,0
1672833600000,1.037,1.046,1.027,1.039,1465278.37,1672840799999,1518651.70305,2925,725506.02,752311.82163,0
1672840800000,1.039,1.051,1.022,1.05,1846563.68,1672847999999,1912432.32489,4690,851657.18,882481.85713,0
1672848000000,1.051,1.057,1.032,1.039,2011791.53,1672855199999,2098277.40683,4274,910657.48,949618.58305,0
1672855200000,1.039,1.049,1.015,1.022,1873912.89,1672862399999,1935086.22073,4958,916746.67,947527.50502,0
