open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1633564800000,9.701,30.5,9.701,17.982,15681729.3,1633651199999,343227019.4525,600201,7811539.1,170821058.568,0
1633651200000,17.965,21.175,15.11,15.722,4745139.7,1633737599999,82897214.3837,157958,2313733.0,40450212.614,0
1633737600000,15.709,16.946,13.899,14.657,1591970.0,1633823999999,24297653.7733,50391,761273.0,11632453.1568,0
1633824000000,14.668,21.319,13.752,17.175,5777846.0,1633910399999,102541192.057,244727,3047714.4,54256453.7949,0
1633910400000,17.181,17.799,14.58,15.455,2314732.5,1633996799999,37091489.3753,96358,1125098.0,18035943.8064,0
1633996800000,15.451,15.794,13.9,14.252,839407.9,1634083199999,12289665.1333,31809,408184.3,5985732.4754,0
1634083200000,14.252,14.831,13.509,13.69,585253.0,1634169599999,8131685.198,22398,274340.0,3810142.2139,0
1634169600000,13.702,14.695,13.543,13.895,725393.2,1634255999999,10229103.1546,27021,342667.4,4834978.1327,0
1634256000000,13.865,13.93,12.453,12.861,645861.5,1634342399999,8565798.8933,24120,314219.4,4173411.1448,0
1634342400000,12.857,13.315,12.537,12.899,413369.6,1634428799999,5294137.4177,17288,202698.3,2596871.4848,0
1634428800000,12.911,18.0,12.596,13.117,3447701.9,1634515199999,53100691.4141,137429,1722883.9,26608940.1265,0
1634515200000,13.093,13.806,12.601,12.967,736555.5,1634601599999,9663441.0034,27259,345970.7,4543737.2055,0
1634601600000,12.967,14.345,12.728,12.961,651046.3,1634687999999,8628564.4012,23823,324745.4,4325080.4124,0
1634688000000,12.937,13.76,12.889,13.309,468008.4,1634774399999,6181126.0013,17354,218199.8,2887011.1213,0
1634774400000,13.33,13.394,12.577,12.633,380321.6,1634860799999,4949529.3386,13025,154520.7,2008519.3798,0
1634860800000,12.652,13.198,12.1,12.455,248356.9,1634947199999,3140448.3418,9021,121517.6,1537609.2529,0
1634947200000,12.446,12.475,11.923,12.15,208955.0,1635033599999,2541387.1614,7831,99625.1,1212172.505,0
1635033600000,12.15,12.214,11.31,11.4,193972.3,1635119999999,2283431.2809,7969,80730.5,950494.1384,0
1635120000000,11.4,12.614,11.335,11.709,727802.2,1635206399999,8777189.9656,22749,366301.0,4427932.994,0
1635206400000,11.709,11.943,11.304,11.304,285632.2,1635292799999,3324213.028,9955,134123.9,1562994.2042,0
1635292800000,11.326,11.566,9.85,9.877,339785.6,1635379199999,3621909.8811,9913,144734.0,1539564.777,0
1635379200000,9.877,10.891,9.84,10.48,545181.5,1635465599999,5636563.927,14235,270869.7,2803497.2348,0
1635465600000,10.494,10.813,10.198,10.627,284645.2,1635551999999,2975660.7672,8905,134989.8,1412997.7269,0
1635552000000,10.627,11.4,10.252,10.354,389198.9,1635638399999,4191723.0558,14015,189649.0,2045255.2884,0
1635638400000,10.355,10.634,10.169,10.44,163321.4,1635724799999,1696621.0401,6290,76986.2,800412.7473,0
1635724800000,10.439,11.999,10.07,11.879,705110.5,1635811199999,7764738.9044,23459,358439.6,3955580.6649,0
1635811200000,11.885,12.556,10.915,11.443,510069.8,1635897599999,5879480.9118,16471,251052.4,2892073.922,0
1635897600000,11.443,12.417,10.935,11.781,890933.7,1635983999999,10400729.4277,26912,449212.9,5254156.4565,0
1635984000000,11.781,12.489,10.951,11.085,383216.3,1636070399999,4414360.5915,12282,189710.4,2188471.8989,0
1636070400000,11.085,11.226,10.643,10.71,125501.0,1636156799999,1375057.663,4518,58864.4,645103.8543,0
1636156800000,10.71,11.442,10.591,11.086,290642.7,1636243199999,3206122.1056,10110,151433.2,1672136.2782,0
1636243200000,11.097,11.598,10.998,11.269,152987.5,1636329599999,1727593.4271,6080,75784.6,855138.4377,0
1636329600000,11.287,11.413,11.112,11.2,97704.2,1636415999999,1097041.4976,4187,46184.0,518634.122,0
1636416000000,11.201,17.047,11.167,13.958,5025500.5,1636502399999,74043234.0528,184420,2597936.5,38370157.9848,0
1636502400000,13.98,16.349,11.943,12.396,3019197.2,1636588799999,41438897.5714,104632,1527602.0,20949232.7789,0
1636588800000,12.35,16.78,11.994,13.915,2811914.5,1636675199999,40510021.4646,104191,1424336.2,20549001.4916,0
1636675200000,13.916,14.599,12.5,12.825,1216694.1,1636761599999,16174338.7151,39203,594452.7,7915301.7173,0
1636761600000,12.827,14.188,12.666,13.194,508654.8,1636847999999,6809857.8202,18186,244351.1,3279409.6557,0
1636848000000,13.197,13.499,12.535,12.822,378224.5,1636934399999,4913059.6927,13008,191281.3,2489989.4305,0
1636934400000,12.822,16.611,12.55,14.214,2009356.8,1637020799999,29377248.8845,90095,1091168.0,15973107.6945,0
1637020800000,14.209,15.387,13.16,13.375,1310927.4,1637107199999,18514339.6169,48365,658099.7,9315865.2382,0
1637107200000,13.384,16.3,13.165,14.839,1112110.1,1637193599999,16632078.683,46069,591352.8,8849469.1022,0
1637193600000,14.812,14.86,12.603,12.609,590526.0,1637279999999,8210434.6603,16153,262348.5,3658982.083,0
1637280000000,12.698,13.695,12.6,13.032,327603.5,1637366399999,4291571.9485,11869,158753.6,2079793.8609,0
1637366400000,13.043,13.267,12.596,13.023,320065.3,1637452799999,4133418.6774,11896,146817.8,1898769.4985,0
1637452800000,13.023,14.36,12.66,13.207,776716.7,1637539199999,10429090.7917,25565,435386.4,5874109.3645,0
1637539200000,13.207,13.417,12.395,12.396,348217.2,1637625599999,4519382.1648,12766,155180.3,2017110.0099,0
1637625600000,12.401,12.94,12.141,12.295,463320.2,1637711999999,5778145.5519,14202,259650.4,3244612.4648,0
1637712000000,12.295,12.334,11.51,11.613,299662.6,1637798399999,3537115.1509,10700,143229.3,1689986.6887,0
1637798400000,11.573,12.159,11.556,11.87,164840.7,1637884799999,1952744.5674,6543,80219.3,950626.9286,0
1637884800000,11.876,13.229,11.244,11.422,753798.0,1637971199999,9305306.2335,20398,384572.0,4774834.8762,0
1637971200000,11.434,24.07,11.414,17.045,13096351.1,1638057599999,244735778.1486,545715,6485952.7,121474257.1213,0
1638057600000,17.086,17.756,14.0,14.732,2183374.5,1638143999999,33537496.3444,73913,995758.9,15293541.0991,0
1638144000000,14.699,15.489,14.007,14.458,1093747.9,1638230399999,15964865.9189,36966,533350.5,7795733.8099,0
1638230400000,14.43,15.959,13.464,13.968,766441.6,1638316799999,10743435.4866,24461,361937.0,5090572.3039,0
1638316800000,13.968,15.34,13.44,13.818,1663683.4,1638403199999,23294564.6209,44694,846851.3,11881663.9394,0
1638403200000,13.819,14.068,12.683,12.901,914371.5,1638489599999,12085668.3806,25226,437296.4,5786079.9,0
1638489600000,12.904,13.376,11.546,11.916,991640.8,1638575999999,12438888.9663,26343,469958.1,5892359.0342,0
1638576000000,11.917,11.931,10.028,10.963,442665.7,1638662399999,4776075.3418,11159,210583.3,2270156.237,0
1638662400000,10.998,11.59,10.274,10.666,431539.5,1638748799999,4667785.5764,13947,198021.2,2143763.2624,0
1638748800000,10.705,14.15,10.255,11.399,2776175.1,1638835199999,33530759.6806,101798,1381108.5,16727897.1921,0
1638835200000,11.382,12.63,11.05,11.423,669651.3,1638921599999,7860554.8504,23984,360803.9,4255518.6992,0
1638921600000,11.456,11.949,11.074,11.682,310292.6,1639007999999,3556705.2726,10422,153403.2,1762555.0487,0
