open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,1.555,1.555,1.528,1.53,53728.3,1672516799999,82680.0824,626,20280.9,31235.6097,0
1672516800000,1.531,1.54,1.517,1.523,44401.9,1672531199999,67713.2023,436,18735.6,28568.5855,0
1672531200000,1.523,1.525,1.481,1.483,99251.9,1672545599999,149074.317,945,36475.7,54739.6739,0
1672545600000,1.481,1.485,1.456,1.482,103598.2,1672559999999,152230.5283,1354,57637.9,84679.9788,0
1672560000000,1.482,1.506,1.476,1.503,59401.6,1672574399999,88723.6612,647,34056.5,50879.5398,0
1672574400000,1.504,1.506,1.489,1.498,32142.0,1672588799999,48071.3909,405,13864.5,20735.4449,0
1672588800000,1.497,1.511,1.494,1.496,23904.2,1672603199999,35872.8702,396,9224.3,13850.5201,0
1672603200000,1.496,1.498,1.478,1.484,38219.8,1672617599999,56816.3226,458,18007.1,26768.9846,0
1672617600000,1.483,1.486,1.467,1.48,41901.5,1672631999999,61864.7722,451,23974.4,35404.3069,0
1672632000000,1.481,1.515,1.475,1.504,62819.7,1672646399999,93683.8523,798,32452.3,48461.6204,0
1672646400000,1.506,1.513,1.497,1.506,45896.3,1672660799999,69050.1056,529,21184.9,31875.3392,0
1672660800000,1.506,1.52,1.501,1.507,36087.8,1672675199999,54490.4549,426,18558.1,28018.1133,0
1672675200000,1.509,1.511,1.496,1.502,24921.4,1672689599999,37437.7281,328,10972.9,16490.9766,0
1672689600000,1.501,1.507,1.497,1.5,23819.2,1672703999999,35789.5822,288,12837.8,19294.4169,0
1672704000000,1.5,1.5,1.49,1.5,12395.6,1672718399999,18539.7187,157,7776.2,11630.1876,0
1672718400000,1.501,1.641,1.498,1.637,299778.7,1672732799999,470358.2365,3141,162822.0,255632.6719,0
1672732800000,1.637,1.715,1.556,1.585,1262251.1,1672747199999,2065697.6216,13109,620544.0,1017896.6526,0
1672747200000,1.583,1.642,1.556,1.567,614010.0,1672761599999,981467.1771,6255,280533.5,449139.2736,0
1672761600000,1.566,1.59,1.556,1.561,190741.6,1672775999999,299394.3696,2284,75262.3,118298.4794,0
1672776000000,1.561,1.58,1.541,1.561,124875.0,1672790399999,194356.4552,1621,52715.2,82025.6552,0
1672790400000,1.561,1.608,1.553,1.582,150048.8,1672804799999,237964.0147,1987,78671.5,124957.9024,0
1672804800000,1.584,1.589,1.557,1.57,85561.6,1672819199999,134905.2769,834,26873.8,42392.8258,0
1672819200000,1.57,1.594,1.562,1.572,122616.7,1672833599999,192997.4034,1394,65228.0,102714.5,0
1672833600000,1.572,1.602,1.563,1.569,193004.7,1672847999999,305366.2178,1585,66702.4,105609.8936,0
1672848000000,1.567,1.58,1.559,1.562,72016.1,1672862399999,112821.4678,876,31385.2,49193.815,0
1672862400000,1.561,1.571,1.546,1.55,33774.1,1672876799999,52580.2065,467,12789.2,19920.0813,0
1672876800000,1.551,1.571,1.549,1.557,59261.2,1672891199999,92480.7226,705,24788.2,38703.2923,0
1672891200000,1.556,1.567,1.543,1.552,59282.2,1672905599999,92235.7129,734,25288.3,39382.202,0
1672905600000,1.554,1.556,1.501,1.523,202428.2,1672919999999,308165.8788,2043,89879.6,136670.8745,0
1672920000000,1.522,1.525,1.51,1.515,72473.0,1672934399999,109979.7484,722,34142.7,51846.1698,0
1672934400000,1.517,1.524,1.501,1.515,58856.8,1672948799999,88971.6679,650,22417.2,33910.8689,0
1672948800000,1.512,1.522,1.508,1.514,25251.3,1672963199999,38249.2856,318,12302.7,18645.8954,0
1672963200000,1.513,1.516,1.51,1.514,18820.0,1672977599999,28495.3796,192,11937.3,18079.655,0
1672977600000,1.513,1.516,1.503,1.506,24101.5,1672991999999,36333.4064,246,8877.8,13397.0605,0
1672992000000,1.507,1.56,1.5,1.509,151896.0,1673006399999,232444.3018,1711,72731.4,111439.8598,0
1673006400000,1.508,1.526,1.503,1.521,56431.1,1673020799999,85444.0763,623,27523.5,41715.9921,0
1673020800000,1.523,1.546,1.521,1.539,81363.7,1673035199999,124443.8645,853,33745.9,51659.0917,0
1673035200000,1.539,1.545,1.523,1.538,56178.9,1673049599999,86254.9258,577,22510.2,34561.5303,0
1673049600000,1.538,1.544,1.53,1.531,21431.6,1673063999999,32899.9133,292,5978.5,9198.9661,0
1673064000000,1.53,1.538,1.525,1.53,40317.9,1673078399999,61673.7513,421,17575.9,26910.9162,0
1673078400000,1.531,1.537,1.523,1.527,58220.5,1673092799999,89017.1642,577,27337.3,41819.3976,0
1673092800000,1.526,1.614,1.52,1.552,424614.0,1673107199999,667289.5699,4295,205589.3,323191.0739,0
1673107200000,1.552,1.562,1.533,1.537,100751.9,1673121599999,155415.0244,1281,44671.5,68928.4522,0
1673121600000,1.538,1.539,1.513,1.529,86913.1,1673135999999,132643.6391,899,33159.9,50638.9656,0
1673136000000,1.529,1.554,1.522,1.553,29116.1,1673150399999,44783.3848,358,13639.7,20953.2453,0
1673150400000,1.552,1.552,1.527,1.544,31806.4,1673164799999,48853.066,463,14904.7,22894.3724,0
1673164800000,1.544,1.544,1.527,1.53,19458.7,1673179199999,29833.6546,344,8758.9,13436.6347,0
1673179200000,1.53,1.547,1.527,1.546,54319.3,1673193599999,83410.9242,734,28112.2,43196.3796,0
1673193600000,1.544,1.546,1.521,1.528,51705.5,1673207999999,79106.2485,539,15019.9,22970.7901,0
1673208000000,1.528,1.553,1.528,1.549,60400.5,1673222399999,92963.6809,1002,30699.2,47254.7687,0
1673222400000,1.549,1.596,1.544,1.57,210390.8,1673236799999,328583.4946,1846,117059.7,182999.7029,0
1673236800000,1.569,1.577,1.56,1.566,92366.9,1673251199999,144804.5903,946,38806.9,60910.03,0
1673251200000,1.565,1.599,1.564,1.583,203675.4,1673265599999,321926.791,1192,92144.3,145601.9355,0
1673265600000,1.584,1.588,1.56,1.583,121128.3,1673279999999,190675.3813,1120,60108.1,94698.4235,0
1673280000000,1.583,1.681,1.581,1.587,522713.7,1673294399999,847743.5597,5546,254520.6,413132.4966,0
1673294400000,1.589,1.596,1.56,1.566,105375.8,1673308799999,165715.4376,1474,47682.5,75120.4535,0
1673308800000,1.564,1.594,1.56,1.576,60969.7,1673323199999,96299.4578,856,31392.9,49594.0583,0
1673323200000,1.578,1.583,1.569,1.578,44513.5,1673337599999,70147.9964,600,15820.0,24950.8605,0
1673337600000,1.577,1.582,1.561,1.567,125100.3,1673351999999,196305.4776,906,59944.8,94130.4007,0
1673352000000,1.567,1.578,1.552,1.567,93242.4,1673366399999,145754.7967,1122,48889.0,76523.4947,0
1673366400000,1.564,1.67,1.56,1.595,582300.3,1673380799999,941851.8274,6814,291490.0,472005.3777,0
1673380800000,1.598,1.614,1.582,1.59,77348.4,1673395199999,123388.1771,979,38202.9,60915.5182,0
1673395200000,1.59,1.612,1.579,1.585,43610.4,1673409599999,69537.8729,753,20885.8,33242.7895,0
1673409600000,1.584,1.6,1.584,1.589,52025.9,1673423999999,82794.0044,816,22669.7,36104.7058,0
1673424000000,1.59,1.646,1.585,1.611,224703.4,1673438399999,363534.0957,2860,106373.2,172114.7244,0
1673438400000,1.611,1.612,1.578,1.581,121477.0,1673452799999,193050.6148,1431,47757.5,75936.0435,0
1673452800000,1.58,1.594,1.569,1.588,93565.8,1673467199999,147906.8521,1188,39346.4,62263.4299,0
1673467200000,1.587,1.638,1.583,1.609,165955.1,1673481599999,266768.2951,2048,80434.7,129523.3477,0
1673481600000,1.61,1.629,1.606,1.628,75488.0,1673495999999,122097.4749,897,48814.3,79001.7037,0
1673496000000,1.628,1.632,1.601,1.618,71579.4,1673510399999,115577.8937,847,25659.3,41359.0125,0
1673510400000,1.618,1.619,1.596,1.601,39919.5,1673524799999,64140.5105,536,19154.3,30791.6819,0
1673524800000,1.603,1.632,1.594,1.606,114474.3,1673539199999,184610.2138,1350,51354.0,82914.7319,0
1673539200000,1.604,1.638,1.6,1.629,94887.5,1673553599999,154245.1389,1053,46204.4,75136.849,0
1673553600000,1.629,1.653,1.628,1.64,89883.0,1673567999999,147453.9193,1023,41325.2,67866.4675,0
1673568000000,1.639,1.648,1.625,1.64,23831.4,1673582399999,38948.2282,483,9112.8,14924.5126,0
1673582400000,1.64,1.648,1.626,1.633,31819.0,1673596799999,52060.152,453,10497.7,17195.4915,0
1673596800000,1.637,1.66,1.632,1.645,65231.9,1673611199999,107335.8184,825,34916.1,57541.8018,0
1673611200000,1.646,1.65,1.622,1.646,94501.6,1673625599999,154460.4032,977,41157.2,67297.9656,0
1673625600000,1.646,1.69,1.633,1.66,120618.0,1673639999999,200419.7636,1885,52115.5,86705.5865,0
1673640000000,1.659,1.68,1.654,1.666,100646.6,1673654399999,167788.3446,1196,45667.9,76179.7747,0
1673654400000,1.667,1.718,1.656,1.69,275000.6,1673668799999,466196.8193,3069,135604.8,230327.0883,0
1673668800000,1.69,1.742,1.681,1.739,210622.9,1673683199999,361316.4615,2281,137510.5,235893.2851,0
1673683200000,1.738,1.753,1.643,1.686,370801.6,1673697599999,627180.1386,3540,198528.2,335791.878,0
1673697600000,1.686,1.727,1.678,1.693,208936.3,1673711999999,354966.5708,1856,117038.9,199078.2298,0
1673712000000,1.696,1.75,1.687,1.728,239984.5,1673726399999,414253.7744,2566,144780.2,249878.0749,0
1673726400000,1.729,1.784,1.72,1.747,256491.3,1673740799999,450561.9376,2975,146743.3,258104.3793,0
1673740800000,1.747,1.773,1.696,1.714,176976.9,1673755199999,305512.0204,1939,84020.7,145280.5352,0
1673755200000,1.714,1.733,1.698,1.702,85110.0,1673769599999,145802.1135,1282,39195.3,67208.4949,0
1673769600000,1.702,1.704,1.659,1.692,162632.0,1673783999999,273167.7576,1801,89587.9,150559.3727,0
1673784000000,1.691,1.735,1.685,1.733,174123.9,1673798399999,297788.5153,1716,100924.1,172708.4765,0
1673798400000,1.733,1.745,1.702,1.715,134274.7,1673812799999,231710.7962,1546,58458.0,101012.8386,0
