open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1680134400000,0.2745,0.448,0.2745,0.41,38187205.0,1680163199999,15719070.0999,38279,21144462.0,8723044.4363,0
1680163200000,0.4096,0.4231,0.3665,0.385,123207586.0,1680191999999,48738766.3663,137789,62360873.0,24707842.8772,0
1680192000000,0.385,0.3953,0.3682,0.3894,30220981.0,1680220799999,11568748.1334,41100,14647188.0,5613808.8717,0
1680220800000,0.3895,0.3945,0.37,0.3743,29373579.0,1680249599999,11188440.4762,31803,13676949.0,5213459.6806,0
1680249600000,0.3743,0.3776,0.352,0.3633,30526975.0,1680278399999,11154643.9588,29143,14083576.0,5148872.8416,0
1680278400000,0.3628,0.3727,0.3628,0.3706,9472965.0,1680307199999,3484104.7881,10816,4312790.0,1585797.4996,0
1680307200000,0.3711,0.3837,0.367,0.379,12848119.0,1680335999999,4827316.9907,13622,6174275.0,2321119.8366,0
1680336000000,0.3789,0.3855,0.37,0.3711,15063577.0,1680364799999,5700236.8887,15042,7361835.0,2787762.3799,0
1680364800000,0.3713,0.3715,0.3578,0.3597,8412515.0,1680393599999,3063302.7938,8445,3617998.0,1319148.8771,0
1680393600000,0.3598,0.3642,0.3386,0.3507,13656072.0,1680422399999,4752702.0652,12708,6201196.0,2157262.3982,0
1680422400000,0.3506,0.3532,0.3259,0.3317,12883026.0,1680451199999,4397006.3873,12876,5595603.0,1914874.6611,0
1680451200000,0.3316,0.3395,0.3253,0.3351,10467348.0,1680479999999,3476918.383,9398,5409278.0,1797471.6259,0
1680480000000,0.3356,0.3375,0.3261,0.3341,10649581.0,1680508799999,3538644.9413,6761,3137293.0,1043001.0958,0
1680508800000,0.3343,0.3458,0.3299,0.3306,10872905.0,1680537599999,3670720.8139,10453,5156167.0,1742217.0321,0
1680537600000,0.3302,0.3312,0.3076,0.3224,18152638.0,1680566399999,5770384.7384,14406,8310513.0,2640863.7622,0
1680566400000,0.3223,0.37,0.3203,0.3551,29836218.0,1680595199999,10363441.5696,23912,15382694.0,5346869.7123,0
1680595200000,0.3551,0.365,0.346,0.3552,22035970.0,1680623999999,7817626.6584,20515,10543272.0,3744747.6754,0
1680624000000,0.3556,0.3671,0.3503,0.3628,12371810.0,1680652799999,4431049.022,12180,5895529.0,2113328.9169,0
1680652800000,0.3629,0.369,0.3532,0.3574,12966944.0,1680681599999,4668214.0004,11338,6066393.0,2185068.6449,0
1680681600000,0.3571,0.372,0.3453,0.3552,21827162.0,1680710399999,7877861.7489,30988,11285307.0,4085092.7056,0
1680710400000,0.3552,0.3593,0.3409,0.3437,11310100.0,1680739199999,3956330.9947,16782,5467849.0,1913130.61,0
1680739200000,0.3438,0.3474,0.331,0.3317,14112376.0,1680767999999,4773095.7531,23850,6475649.0,2192920.9067,0
1680768000000,0.3317,0.3354,0.3177,0.3289,17659174.0,1680796799999,5790681.5231,28347,9064763.0,2973505.0053,0
1680796800000,0.3289,0.3418,0.326,0.3321,9056700.0,1680825599999,2993764.6928,14102,4564729.0,1509501.7622,0
1680825600000,0.3322,0.3343,0.321,0.323,9132113.0,1680854399999,2988851.7838,12586,4077445.0,1334472.2633,0
1680854400000,0.3231,0.3435,0.3201,0.3381,17592386.0,1680883199999,5862694.7229,21450,8659536.0,2887923.6844,0
1680883200000,0.3382,0.3383,0.3229,0.3263,7964153.0,1680911999999,2607900.9517,11088,3745511.0,1226622.4383,0
1680912000000,0.3263,0.3384,0.3205,0.3309,9256898.0,1680940799999,3049351.4521,12778,4743181.0,1563899.3703,0
1680940800000,0.3309,0.3335,0.3219,0.3237,9652026.0,1680969599999,3142585.9438,11182,3975660.0,1295719.9954,0
1680969600000,0.3237,0.3249,0.3175,0.3236,5055501.0,1680998399999,1626250.0204,7912,1951176.0,627829.8668,0
1680998400000,0.3236,0.3268,0.3126,0.313,7428278.0,1681027199999,2383360.3093,10087,3451673.0,1109656.8528,0
1681027200000,0.313,0.3192,0.3087,0.3156,12988647.0,1681055999999,4059278.6429,12879,6239178.0,1950709.3984,0
1681056000000,0.3156,0.3339,0.3156,0.3271,8178478.0,1681084799999,2662975.2103,12633,4364244.0,1420844.894,0
1681084800000,0.3273,0.3349,0.3127,0.3159,9143983.0,1681113599999,2956284.4546,12930,4366103.0,1411502.5676,0
1681113600000,0.3157,0.322,0.312,0.3185,8602910.0,1681142399999,2723113.2033,12758,4296264.0,1360058.7931,0
1681142400000,0.3183,0.3319,0.3171,0.3305,9513433.0,1681171199999,3097600.5933,12923,4928460.0,1605524.9045,0
1681171200000,0.3304,0.338,0.3268,0.3319,11019142.0,1681199999999,3668296.6882,13717,5442140.0,1812552.509,0
1681200000000,0.3319,0.3357,0.322,0.3251,8935558.0,1681228799999,2926308.0659,12265,4035064.0,1322513.7936,0
1681228800000,0.3251,0.3274,0.32,0.3214,3968840.0,1681257599999,1282415.2527,7578,1913352.0,618506.9732,0
1681257600000,0.3213,0.3213,0.3021,0.3095,13468041.0,1681286399999,4173024.8231,16700,6840825.0,2118969.6284,0
1681286400000,0.3097,0.3132,0.3038,0.3095,11815196.0,1681315199999,3642808.3213,12736,5372610.0,1658065.111,0
1681315200000,0.3094,0.3121,0.3033,0.3107,6564266.0,1681343999999,2022030.0298,6636,3070703.0,946717.3649,0
1681344000000,0.3106,0.3186,0.3053,0.3167,10019866.0,1681372799999,3121337.0137,10168,5243441.0,1635105.1293,0
1681372800000,0.3167,0.3467,0.3148,0.3442,39867058.0,1681401599999,13355500.0853,48596,19634598.0,6580765.7371,0
