open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1680161400000,0.2745,0.448,0.2745,0.41,38187205.0,1680163199999,15719070.0999,38279,21144462.0,8723044.4363,0
1680163200000,0.4096,0.41,0.3665,0.3796,20034149.0,1680164999999,7678290.0315,21086,9524401.0,3646573.5297,0
1680165000000,0.3796,0.3887,0.372,0.3887,9898547.0,1680166799999,3768860.8293,10510,5838017.0,2225061.115,0
1680166800000,0.3888,0.404,0.3838,0.389,13449126.0,1680168599999,5305037.4544,15299,6707708.0,2646047.2903,0
1680168600000,0.389,0.4078,0.3817,0.3974,7729503.0,1680170399999,3072531.2008,9782,4421604.0,1761943.2054,0
1680170400000,0.3974,0.42,0.3953,0.4143,15002325.0,1680172199999,6140237.8953,17460,8247213.0,3383888.4793,0
1680172200000,0.414,0.4231,0.3958,0.4026,13179259.0,1680173999999,5418527.9376,14515,6494538.0,2680448.7144,0
1680174000000,0.4025,0.4128,0.394,0.3992,7870036.0,1680175799999,3180702.5423,8190,3937639.0,1593267.5714,0
1680175800000,0.3992,0.4114,0.3949,0.405,6192742.0,1680177599999,2506664.0436,6862,3446933.0,1394949.5128,0
1680177600000,0.4052,0.4054,0.3896,0.399,6511247.0,1680179399999,2585763.0322,7028,2411247.0,958827.8986,0
1680179400000,0.399,0.4039,0.3963,0.4007,2989892.0,1680181199999,1197083.0776,3565,1690698.0,677317.4331,0
1680181200000,0.4008,0.4017,0.3955,0.3987,2101919.0,1680182999999,839654.0207,3210,1034232.0,413239.604,0
1680183000000,0.3986,0.399,0.3841,0.3886,4930761.0,1680184799999,1919096.9661,4798,2276028.0,884562.0423,0
1680184800000,0.3886,0.3887,0.3819,0.3845,2682838.0,1680186599999,1032197.4213,2855,819987.0,315870.1274,0
1680186600000,0.3845,0.3868,0.3734,0.3823,3530545.0,1680188399999,1338843.6995,4257,1530047.0,580267.376,0
1680188400000,0.3823,0.3989,0.3791,0.3914,4816372.0,1680190199999,1868579.8236,5372,2923855.0,1136105.5494,0
1680190200000,0.391,0.3922,0.3845,0.385,2288325.0,1680191999999,886696.3905,3000,1056726.0,409473.4281,0
1680192000000,0.385,0.3874,0.3721,0.3805,3716355.0,1680193799999,1406163.3937,4508,1716859.0,649974.0746,0
1680193800000,0.3807,0.3843,0.3723,0.3804,2092719.0,1680195599999,791777.244,2592,863925.0,327160.8586,0
1680195600000,0.3803,0.3848,0.3786,0.3802,1285108.0,1680197399999,490550.267,1976,685866.0,261894.8955,0
1680197400000,0.3802,0.381,0.3682,0.3704,3587151.0,1680199199999,1334764.9028,4214,1326776.0,493983.719,0
1680199200000,0.3703,0.3809,0.3703,0.3798,1851215.0,1680200999999,696900.1182,2399,1170275.0,440618.1871,0
1680201000000,0.3799,0.382,0.3745,0.3759,1195400.0,1680202799999,451910.6227,1806,563499.0,213238.5056,0
1680202800000,0.3762,0.3899,0.3755,0.3813,2293784.0,1680204599999,879324.8595,3183,1522562.0,584133.9895,0
1680204600000,0.3812,0.3854,0.379,0.3838,1109671.0,1680206399999,423999.9423,1968,507248.0,193796.6979,0
1680206400000,0.3837,0.3918,0.3815,0.3897,2185177.0,1680208199999,845232.3344,3081,1221539.0,472976.1167,0
1680208200000,0.3897,0.3924,0.385,0.388,2278050.0,1680209999999,885327.5968,3247,973560.0,378691.3006,0
1680210000000,0.3879,0.3936,0.3851,0.392,2072448.0,1680211799999,808963.1459,2602,1003066.0,391656.4397,0
1680211800000,0.392,0.3953,0.3868,0.3922,1819865.0,1680213599999,713872.5148,2303,817490.0,320845.8121,0
1680213600000,0.3923,0.3945,0.3879,0.3907,855566.0,1680215399999,334257.0262,1695,410505.0,160544.4643,0
1680215400000,0.3907,0.392,0.3788,0.3867,1718001.0,1680217199999,662794.3409,2282,701807.0,270772.6826,0
1680217200000,0.3867,0.3944,0.3833,0.3922,1391129.0,1680218999999,542646.9377,2012,769564.0,300179.0285,0
1680219000000,0.3922,0.3945,0.3878,0.3894,769342.0,1680220799999,300262.8865,1232,392647.0,153342.0994,0
1680220800000,0.3895,0.3895,0.38,0.3809,1615278.0,1680222599999,620052.4254,2214,516040.0,197867.2616,0
1680222600000,0.3809,0.385,0.37,0.3814,2318953.0,1680224399999,877971.8037,2803,838603.0,318196.0168,0
1680224400000,0.3815,0.393,0.381,0.3901,1986188.0,1680226199999,770303.053,2966,1252095.0,485405.8164,0
1680226200000,0.39,0.3945,0.383,0.3832,2843135.0,1680227999999,1104897.1502,3353,1250642.0,486859.0781,0
1680228000000,0.3831,0.3862,0.38,0.3823,1536456.0,1680229799999,587913.8994,1626,596330.0,228293.8997,0
