open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1638007200000,6.1,7.55,2.5,6.591,1494302.65,1638008999999,10277918.3715,20879,839716.53,5796969.48944,0
1638009000000,6.592,6.745,6.469,6.474,212712.02,1638010799999,1399506.24843,3579,95957.45,632511.41446,0
1638010800000,6.476,6.797,6.36,6.71,176122.16,1638012599999,1164205.87745,3187,91845.47,610619.0668,0
1638012600000,6.714,6.845,6.689,6.737,105951.37,1638014399999,716271.73824,1989,48518.03,328556.1012,0
1638014400000,6.737,7.321,6.737,7.157,254031.71,1638016199999,1791319.33011,4124,124881.54,881582.50427,0
1638016200000,7.157,7.945,7.142,7.743,757676.18,1638017999999,5684959.68429,8897,452108.85,3392539.66741,0
1638018000000,7.736,7.736,7.175,7.204,319341.15,1638019799999,2373029.04546,5007,144020.63,1072983.48718,0
1638019800000,7.203,7.462,7.085,7.287,218209.45,1638021599999,1584970.54949,2568,115356.55,839732.67298,0
1638021600000,7.279,7.492,7.183,7.472,123231.09,1638023399999,901977.23736,1852,67114.3,491852.03165,0
1638023400000,7.488,7.619,7.151,7.471,247660.4,1638025199999,1834122.95339,2452,78247.13,579125.47768,0
1638025200000,7.455,7.455,7.124,7.27,109538.77,1638026999999,791294.56261,1810,45471.29,328834.09232,0
1638027000000,7.27,7.422,7.143,7.26,77637.4,1638028799999,565357.4209,1419,33005.56,240434.1671,0
1638028800000,7.269,7.275,7.123,7.135,56336.07,1638030599999,404477.54447,891,25378.37,182214.65019,0
1638030600000,7.133,7.247,6.951,7.215,96532.55,1638032399999,680780.65851,1420,40902.33,288901.58214,0
1638032400000,7.215,7.215,7.043,7.046,37285.92,1638034199999,264668.70069,593,15700.54,111458.23748,0
1638034200000,7.051,7.244,6.992,7.229,88158.67,1638035999999,625451.05429,915,45760.78,325504.42483,0
1638036000000,7.233,7.259,7.1,7.199,40284.49,1638037799999,288918.41708,450,17933.77,128797.67859,0
1638037800000,7.199,7.251,7.14,7.214,29592.54,1638039599999,213037.18986,488,14746.11,106191.90539,0
1638039600000,7.225,7.327,7.102,7.12,52048.85,1638041399999,373559.44949,577,24975.33,179776.60758,0
1638041400000,7.12,7.213,7.106,7.178,31480.18,1638043199999,225019.31639,423,20172.57,144167.34808,0
1638043200000,7.178,7.319,7.112,7.235,86171.06,1638044999999,619910.56941,975,55398.42,398517.10648,0
1638045000000,7.235,7.236,6.89,6.998,93565.2,1638046799999,659820.2564,1217,49989.8,352922.56895,0
1638046800000,6.989,7.013,6.8,6.934,103224.7,1638048599999,713897.56267,1062,35385.06,244691.9379,0
1638048600000,6.934,7.067,6.918,6.972,50639.67,1638050399999,353997.53372,577,20789.12,145459.65125,0
1638050400000,6.971,7.001,6.97,6.973,16408.25,1638052199999,114498.00535,255,7324.16,51133.88873,0
1638052200000,6.973,6.986,6.961,6.981,35822.01,1638053999999,249772.1338,308,13815.4,96367.21069,0
1638054000000,6.983,7.64,6.981,7.4,216353.4,1638055799999,1603011.98128,2423,126651.95,937442.48388,0
1638055800000,7.4,7.647,7.31,7.47,255043.85,1638057599999,1913045.94526,2514,99306.24,745086.27497,0
1638057600000,7.47,7.827,7.268,7.676,213913.73,1638059399999,1622933.2245,2704,113785.98,864568.50493,0
1638059400000,7.676,7.761,7.2,7.34,155596.42,1638061199999,1156496.43815,2071,68622.92,512029.91095,0
1638061200000,7.339,7.383,7.201,7.276,142091.13,1638062999999,1033917.59918,1045,82563.22,600349.35834,0
1638063000000,7.264,7.277,7.069,7.185,81040.6,1638064799999,581431.64785,998,37233.66,267320.78706,0
1638064800000,7.178,7.186,7.061,7.131,26258.01,1638066599999,187094.74549,469,10885.34,77581.8554,0
1638066600000,7.132,7.232,6.88,7.03,82740.88,1638068399999,581413.00699,934,37022.07,261307.38662,0
1638068400000,7.03,7.03,6.942,6.942,39177.56,1638070199999,273854.46725,420,17750.05,124050.1729,0
1638070200000,6.94,6.952,6.771,6.782,24397.64,1638071999999,167561.16312,468,8162.12,56076.69997,0
1638072000000,6.775,6.929,6.681,6.921,46848.24,1638073799999,319077.59527,592,25955.03,176654.57801,0
1638073800000,6.927,6.974,6.802,6.802,26544.47,1638075599999,183030.19801,444,11017.44,76121.10135,0
1638075600000,6.81,7.0,6.802,6.996,32654.23,1638077399999,225472.95886,410,18968.64,130858.77915,0
1638077400000,6.986,7.017,6.909,6.931,33632.31,1638079199999,234811.48361,388,17163.1,119910.21271,0
1638079200000,6.924,7.189,6.833,6.846,109615.75,1638080999999,765430.53835,947,60159.47,420289.37827,0
1638081000000,6.834,6.893,6.777,6.832,90851.19,1638082799999,620668.19667,695,47852.07,326988.73998,0
1638082800000,6.83,6.878,6.714,6.79,47090.63,1638084599999,319815.31665,520,19558.57,133023.42743,0
1638084600000,6.791,7.037,6.784,6.897,66110.05,1638086399999,457663.49494,638,31466.19,218484.86475,0
1638086400000,6.9,6.9,6.783,6.805,33665.35,1638088199999,229501.14561,323,9761.75,66444.78436,0
1638088200000,6.806,6.813,6.629,6.673,47417.0,1638089999999,317977.85023,508,8606.88,57873.69646,0
1638090000000,6.67,6.711,6.477,6.548,72097.36,1638091799999,474205.23076,1114,34197.67,224749.64478,0
1638091800000,6.557,6.662,6.436,6.602,53034.59,1638093599999,347199.44081,568,25510.27,167690.17074,0
1638093600000,6.599,6.604,6.51,6.563,37657.57,1638095399999,246832.7516,508,19777.6,129657.11755,0
1638095400000,6.564,6.767,6.563,6.73,25348.56,1638097199999,169959.85582,437,11788.24,79008.92691,0
1638097200000,6.737,7.001,6.73,6.95,104053.92,1638098999999,716165.84841,966,63695.82,440382.65454,0
1638099000000,6.95,7.008,6.788,6.811,67254.93,1638100799999,464106.52588,749,40872.59,282592.317,0
1638100800000,6.804,6.888,6.719,6.748,35443.34,1638102599999,240390.05909,503,9635.65,65556.82328,0
1638102600000,6.736,6.752,6.669,6.688,46139.94,1638104399999,309815.35293,496,19820.72,133143.93525,0
1638104400000,6.688,6.783,6.654,6.658,11331.86,1638106199999,76031.22933,287,7019.03,47158.11362,0
1638106200000,6.658,6.68,6.558,6.567,25685.26,1638107999999,169918.60109,492,13240.56,87603.65119,0
1638108000000,6.56,6.629,6.469,6.58,26996.9,1638109799999,176829.63271,433,6258.98,41201.63257,0
1638109800000,6.568,6.674,6.568,6.627,12377.21,1638111599999,82036.39635,193,3890.02,25778.22284,0
1638111600000,6.626,6.81,6.618,6.658,34495.53,1638113399999,232774.76364,430,18438.23,124366.71662,0
1638113400000,6.656,6.768,6.654,6.752,18860.58,1638115199999,126436.48365,221,7954.35,53324.85128,0
1638115200000,6.751,6.751,6.639,6.639,13914.65,1638116999999,93023.91145,224,4251.91,28445.07938,0
1638117000000,6.639,6.645,6.501,6.606,16578.64,1638118799999,108580.89993,320,7594.82,49735.63219,0
1638118800000,6.606,6.652,6.493,6.511,73975.8,1638120599999,483313.30797,482,29484.0,193151.85092,0
1638120600000,6.507,6.508,6.083,6.126,102338.31,1638122399999,635436.73974,1033,55228.09,342764.2101,0
1638122400000,6.127,6.585,6.094,6.495,245560.36,1638124199999,1568893.6584,2104,117531.2,750549.66969,0
1638124200000,6.5,6.51,6.113,6.413,147500.89,1638125999999,935619.49567,1294,86943.99,550983.32514,0
1638126000000,6.411,6.616,6.305,6.55,88211.58,1638127799999,569882.03781,806,39785.24,258508.98302,0
1638127800000,6.55,6.551,6.331,6.464,93352.48,1638129599999,601749.94054,765,45697.85,295261.67834,0
1638129600000,6.469,6.54,6.354,6.46,89637.71,1638131399999,577689.21891,757,22719.76,146625.66876,0
1638131400000,6.469,6.71,6.46,6.702,36686.16,1638133199999,241105.78064,406,26411.61,173606.1086,0
1638133200000,6.686,6.714,6.523,6.65,58962.96,1638134999999,389555.0683,610,18041.31,119561.16789,0
1638135000000,6.661,6.781,6.6,6.748,22697.18,1638136799999,151322.76102,339,14392.11,96182.7773,0
1638136800000,6.774,7.114,6.762,6.944,58072.16,1638138599999,403851.39258,827,29454.86,205049.02107,0
1638138600000,6.944,6.944,6.789,6.806,16281.03,1638140399999,111738.79721,298,4383.95,30045.05124,0
1638140400000,6.82,6.943,6.798,6.877,31331.65,1638142199999,215961.95918,368,22249.05,153241.93743,0
1638142200000,6.877,7.025,6.862,6.948,26054.59,1638143999999,180458.91727,412,13575.19,94148.4262,0
1638144000000,6.968,7.022,6.878,6.986,28402.41,1638145799999,197288.40981,326,12911.52,89901.70441,0
1638145800000,6.986,7.05,6.952,7.041,9421.01,1638147599999,66060.21289,220,6560.8,46018.7823,0
1638147600000,7.056,7.135,6.911,6.914,19811.33,1638149399999,139334.22997,450,10976.63,77370.08955,0
1638149400000,6.914,6.984,6.826,6.926,16507.03,1638151199999,113741.41911,354,8604.28,59209.6882,0
1638151200000,6.926,6.955,6.828,6.908,16120.1,1638152999999,110580.94581,239,8974.49,61581.79144,0
1638153000000,6.909,6.909,6.537,6.631,51342.8,1638154799999,343621.81268,1308,12249.21,81544.33007,0
1638154800000,6.631,6.734,6.574,6.723,30872.78,1638156599999,205539.57932,527,17765.78,118277.94559,0
1638156600000,6.709,6.746,6.663,6.746,14089.35,1638158399999,94487.21767,168,11081.08,74373.43107,0
1638158400000,6.74,6.74,6.684,6.691,4882.19,1638160199999,32739.5736,136,1686.66,11309.77004,0
1638160200000,6.709,6.731,6.663,6.671,4333.1,1638161999999,29059.9207,122,2082.52,13974.17435,0
1638162000000,6.671,6.671,6.497,6.574,27615.97,1638163799999,180606.54497,400,12733.39,83201.05131,0
1638163800000,6.568,6.63,6.502,6.582,31718.59,1638165599999,208010.75514,384,18771.57,123266.45175,0
1638165600000,6.597,6.679,6.597,6.679,11770.71,1638167399999,78242.13824,193,9156.72,60875.35822,0
1638167400000,6.664,6.704,6.62,6.621,12822.43,1638169199999,85427.00928,244,7627.66,50871.39185,0
1638169200000,6.63,6.637,6.567,6.568,8854.33,1638170999999,58448.44894,177,3345.02,22093.91555,0
1638171000000,6.561,6.568,6.518,6.56,7587.4,1638172799999,49683.10598,212,3905.76,25585.80681,0
1638172800000,6.56,6.65,6.496,6.562,21665.17,1638174599999,142613.51541,509,12948.91,85340.67256,0
1638174600000,6.569,6.57,6.501,6.528,12229.15,1638176399999,79994.31728,196,4381.0,28671.00201,0
1638176400000,6.529,6.543,6.5,6.5,10198.23,1638178199999,66526.08395,190,5338.36,34847.78952,0
1638178200000,6.507,6.55,6.37,6.486,23934.31,1638179999999,154397.13507,384,11798.56,76302.10838,0
1638180000000,6.489,6.597,6.462,6.468,11925.51,1638181799999,77577.04945,208,8156.3,53169.8848,0
1638181800000,6.468,6.468,6.425,6.468,7594.38,1638183599999,48941.15371,160,4109.91,26483.55442,0
1638183600000,6.467,6.509,6.35,6.355,51233.16,1638185399999,328003.01977,547,11872.42,76306.95133,0
1638185400000,6.364,6.476,6.361,6.474,11988.38,1638187199999,76979.19628,301,6493.02,41696.831,0
1638187200000,6.477,6.481,6.425,6.457,18298.69,1638188999999,118072.19251,254,11821.05,76305.88799,0
1638189000000,6.457,6.515,6.444,6.46,18890.16,1638190799999,122521.21926,226,9448.59,61287.60689,0
1638190800000,6.455,6.542,6.449,6.516,25597.37,1638192599999,166468.82903,268,14414.01,93725.7886,0
1638192600000,6.521,6.554,6.436,6.438,22902.49,1638194399999,149240.5248,292,13640.15,88949.97702,0
1638194400000,6.452,6.492,6.437,6.483,11838.74,1638196199999,76678.82883,167,3205.36,20774.42762,0
1638196200000,6.479,6.519,6.377,6.519,54012.06,1638197999999,349061.31112,350,12422.15,80436.31182,0
1638198000000,6.519,6.586,6.395,6.427,29145.68,1638199799999,189062.07208,306,9917.06,64443.95231,0
1638199800000,6.433,6.654,6.407,6.504,54213.9,1638201599999,355040.76047,826,31547.33,206774.62927,0
1638201600000,6.502,6.505,6.37,6.449,36251.68,1638203399999,233261.80788,386,9398.66,60474.06651,0
1638203400000,6.448,6.53,6.333,6.463,29270.88,1638205199999,187379.46884,647,13327.95,85470.31647,0
1638205200000,6.463,6.719,6.4,6.696,38639.76,1638206999999,253908.65299,546,23081.15,152001.28629,0
1638207000000,6.709,7.106,6.667,6.877,103344.57,1638208799999,703852.03942,1549,58978.75,402549.2233,0
1638208800000,6.88,7.092,6.807,6.961,91695.64,1638210599999,638402.32522,1465,45973.6,319945.35255,0
1638210600000,6.961,7.003,6.799,6.837,49949.17,1638212399999,343993.32738,781,17546.19,120991.20265,0
1638212400000,6.841,6.859,6.738,6.738,26221.96,1638214199999,178001.3582,467,7277.62,49396.60342,0
1638214200000,6.737,6.933,6.643,6.874,64922.24,1638215999999,439615.23476,779,27059.51,185043.00316,0
1638216000000,6.879,6.929,6.803,6.893,31425.14,1638217799999,216393.11921,423,17142.25,118225.18886,0
1638217800000,6.893,7.14,6.893,7.058,55336.84,1638219599999,390878.77263,791,24497.75,172893.95338,0
1638219600000,7.055,7.22,7.002,7.061,44510.51,1638221399999,317068.5913,687,16885.96,120530.94317,0
1638221400000,7.059,7.142,7.02,7.02,21001.17,1638223199999,148942.94052,349,7932.06,56255.80942,0
