open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1637539200000,6.1,7.945,2.5,6.948,8376940.65,1638143999999,58767836.46732,105867,4196852.45,29514383.3337,0
1638144000000,6.968,7.22,3.88,4.853,20685140.04,1638748799999,114941896.76933,255078,10127012.32,56107402.45597,0
1638748800000,4.861,5.449,3.436,4.963,21132539.51,1639353599999,95205832.98129,274375,10277552.89,46326801.39703,0
1639353600000,4.96,5.095,3.701,4.688,22419094.49,1639958399999,96478738.42695,328618,11185209.53,48122365.08624,0
1639958400000,4.678,6.661,4.163,5.422,25785433.26,1640563199999,146316174.52859,496621,12889498.78,73302271.0615,0
1640563200000,5.421,5.744,4.374,4.572,11003380.2,1641167999999,53706026.23042,184090,5223486.87,25547956.20486,0
1641168000000,4.572,5.5,3.407,3.763,23633349.94,1641772799999,103906192.00359,321205,11083815.39,48615357.03354,0
1641772800000,3.764,4.077,3.22,3.598,14690714.73,1642377599999,52762702.30847,175481,7210349.15,25931983.65578,0
1642377600000,3.597,3.625,1.962,2.25,20085351.46,1642982399999,54661626.27524,200442,9630086.78,26369451.32879,0
1642982400000,2.248,3.775,1.801,3.077,23839918.2,1643587199999,65360852.37723,226978,12306559.28,33415653.17953,0
1643587200000,3.079,4.26,2.85,3.573,42742208.3,1644191999999,152594262.77342,450172,20882742.4,74541128.63901,0
1644192000000,3.575,3.85,2.486,2.566,28324808.98,1644796799999,89346799.90837,279854,13573116.47,42780400.16267,0
1644796800000,2.567,4.04,2.337,2.463,25000257.48,1645401599999,74314970.75635,240854,12136636.55,36127281.60783,0
1645401600000,2.465,2.88,2.0,2.382,32351220.73,1646006399999,78231262.33871,270107,16551861.06,40092079.34163,0
1646006400000,2.384,3.33,2.357,2.53,26521148.81,1646611199999,73719098.50913,236564,13568496.24,37705009.63512,0
1646611200000,2.532,2.779,2.246,2.26,11083118.26,1647215999999,27847850.73954,93388,5298380.21,13356227.20911,0
1647216000000,2.26,3.099,2.226,2.603,14464367.25,1647820799999,36846413.39349,123946,7192240.05,18348299.72607,0
1647820800000,2.606,2.95,2.467,2.798,11435686.91,1648425599999,31514353.81722,111526,5783690.67,15951615.9559,0
1648425600000,2.798,3.299,2.767,3.058,15839602.38,1649030399999,48020872.57744,162947,8070220.1,24481659.84825,0
1649030400000,3.061,3.061,2.402,2.462,11229260.9,1649635199999,30012776.77476,104982,5377570.76,14402622.81983,0
1649635200000,2.458,2.47,1.95,2.008,13641126.52,1650239999999,28285102.25624,106779,6027545.17,12526737.9905,0
1650240000000,2.006,2.207,1.763,1.773,14144179.4,1650844799999,28352055.40285,109213,6605137.29,13246902.46159,0
1650844800000,1.774,1.8,1.2,1.597,36052441.42,1651449599999,56160473.2284,233999,18277062.06,28541543.264,0
1651449600000,1.598,1.917,1.28,1.297,44472410.88,1652054399999,70894644.21367,204254,22102677.84,35282643.22722,0
1652054400000,1.297,1.32,0.603,0.948,45666675.98,1652659199999,42656060.97516,142081,22950741.52,21356436.2571,0
1652659200000,0.948,1.112,0.82,0.901,25416749.22,1653263999999,23732694.67637,75257,11785193.13,11065992.02485,0
1653264000000,0.9,0.959,0.676,0.714,15646113.4,1653868799999,12647215.97178,53326,7295242.47,5864975.27399,0
1653868800000,0.714,0.92,0.678,0.718,23623282.83,1654473599999,19339529.35874,64224,11969518.02,9861028.82404,0
1654473600000,0.718,0.795,0.493,0.51,18300869.98,1655078399999,11877314.01805,54751,8926810.57,5829856.63869,0
1655078400000,0.51,0.587,0.274,0.43,98204992.09,1655683199999,39765735.46786,171763,51693833.91,20933364.37366,0
1655683200000,0.43,0.621,0.413,0.48,152303916.87,1656287999999,76914453.18665,264576,78236365.68,39548918.5926,0
1656288000000,0.48,0.705,0.456,0.511,81382189.69,1656892799999,46007294.20425,197593,40235836.72,22786570.01966,0
1656892800000,0.512,0.58,0.48,0.501,29158058.51,1657497599999,15306422.54083,66480,14098517.22,7417758.46867,0
1657497600000,0.5,0.55,0.434,0.514,25176813.82,1658102399999,12654345.66269,61615,12051400.59,6072363.13855,0
1658102400000,0.515,0.658,0.514,0.605,48530449.99,1658707199999,28858160.57733,128551,24482786.87,14579988.67876,0
