open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,4.602,5.5,1.801,3.493,90193241.23,1643673599999,305595193.74825,1013318,44097332.93,148510206.99231,0
1643673600000,3.494,4.26,2.0,2.674,125603611.38,1646092799999,382806135.7035,1206180,62268043.55,189160523.73302,0
1646092800000,2.674,3.33,2.226,2.927,70145346.99,1648771199999,191490111.32386,649015,34918852.93,95612547.88938,0
1648771200000,2.927,3.241,1.2,1.213,59857573.94,1651363199999,127945617.40485,481627,28156729.31,60442749.08173,0
1651363200000,1.213,1.917,0.603,0.85,166952635.19,1654041599999,195788773.53595,642656,82835105.31,97636709.01211,0
1654041600000,0.851,0.856,0.274,0.529,338906274.62,1656633599999,171218781.51444,669946,173078540.1,87211777.69512,0
1656633600000,0.531,0.86,0.434,0.726,178691542.16,1659311999999,104620210.41432,468495,88837665.09,52247188.37185,0
1659312000000,0.726,0.844,0.494,0.513,118611173.18,1661990399999,78070287.14842,406563,56715366.1,37400477.40405,0
1661990400000,0.514,0.697,0.416,0.461,105803465.53,1664582399999,53459228.88459,296416,51165779.06,25910417.5676,0
1664582400000,0.461,0.624,0.37,0.608,157683833.79,1667260799999,77583696.82442,380014,79001557.63,39005152.7702,0
1667260800000,0.608,1.174,0.39,0.493,338076530.65,1669852799999,230834916.16586,1172064,163362370.34,112187960.95271,0
1669852800000,0.492,0.552,0.397,0.403,89316713.68,1672531199999,42906572.66143,248020,41384039.47,19901394.8009,0
1672531200000,0.403,1.499,0.396,1.41,348972185.22,1675209599999,298201787.28962,1204668,172889506.74,147625487.395,0
1675209600000,1.412,2.19,1.277,1.457,654746177.38,1677628799999,1095262095.00139,3367523,321884888.87,539035661.54253,0
1677628800000,1.458,1.597,0.892,1.373,439862000.39,1680307199999,563057074.02125,2030206,215066216.29,276046033.55763,0
1680307200000,1.374,2.6,1.227,2.39,535559791.35,1682899199999,1002027376.10438,3074834,267502047.59,501989627.4893,0
