open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1620644400000,1.412e-05,5e-05,1.412e-05,3.019e-05,1868236484086.0,1620644579999,65219136.83966384,102241,1168542362964.0,41961320.01211908,0
1620644580000,3.019e-05,3.056e-05,2.63e-05,3.007e-05,888508408388.0,1620644759999,25704287.60762669,44530,430253913844.0,12468798.87927256,0
1620644760000,3.003e-05,4.5e-05,2.991e-05,3.9e-05,1227004047267.0,1620644939999,45515747.21869421,61009,699695332287.0,26031198.86576312,0
1620644940000,3.905e-05,4.2e-05,3.53e-05,4.191e-05,936321878544.0,1620645119999,36831267.35228601,47857,541065061972.0,21380615.60333177,0
1620645120000,4.174e-05,4.5e-05,3.516e-05,3.932e-05,998756834452.0,1620645299999,40322489.61162377,59811,503245107552.0,20408905.54155659,0
1620645300000,3.932e-05,3.949e-05,3.5e-05,3.603e-05,774905947177.0,1620645479999,28034742.86157258,45030,329704664505.0,12007236.73945546,0
1620645480000,3.602e-05,3.628e-05,3.11e-05,3.263e-05,667903690799.0,1620645659999,22449902.36110922,36779,312830025943.0,10562484.23566282,0
1620645660000,3.266e-05,3.43e-05,3.022e-05,3.249e-05,652386008171.0,1620645839999,21149846.40741327,32347,311415203025.0,10108876.0527314,0
1620645840000,3.249e-05,3.5e-05,3.2e-05,3.27e-05,573407717279.0,1620646019999,19260405.73332908,26936,321076121472.0,10800183.81273402,0
1620646020000,3.27e-05,3.27e-05,2.97e-05,2.989e-05,715465138094.0,1620646199999,22245377.52889423,34588,251301226089.0,7856576.67452004,0
1620646200000,2.989e-05,3.097e-05,2.752e-05,2.802e-05,891374580477.0,1620646379999,25969532.62497102,34528,426001478664.0,12435790.66860502,0
1620646380000,2.798e-05,2.89e-05,2.65e-05,2.668e-05,819708628462.0,1620646559999,22851547.25196997,28107,393035806997.0,10986590.59779834,0
1620646560000,2.675e-05,2.87e-05,2.6e-05,2.812e-05,808644925231.0,1620646739999,22121327.40821245,26130,407933551005.0,11199593.02835526,0
1620646740000,2.811e-05,2.93e-05,2.7e-05,2.91e-05,598581462331.0,1620646919999,17045536.47065803,23492,308889597015.0,8810862.06268664,0
1620646920000,2.91e-05,2.98e-05,2.873e-05,2.957e-05,413316960980.0,1620647099999,12093609.14905279,19743,227736047047.0,6670516.98045736,0
1620647100000,2.957e-05,3.05e-05,2.861e-05,2.897e-05,659261682837.0,1620647279999,19606461.42222093,29153,328607941466.0,9791840.68227359,0
1620647280000,2.892e-05,2.898e-05,2.75e-05,2.758e-05,478467125085.0,1620647459999,13492639.03518991,21148,237157389119.0,6692854.21086454,0
