open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1620604800000,1.412e-05,5e-05,1.412e-05,2.971e-05,15274305779676.0,1620647999999,498117069.24207497,730457,7922163632675.0,261393875.00692302,0
1620648000000,2.972e-05,3.924e-05,2.404e-05,3.466e-05,80028006137992.0,1620691199999,2532024684.5604897,3847172,41372702129792.0,1312653770.4357479,0
1620691200000,3.468e-05,3.799e-05,2.78e-05,3.318e-05,40687752649133.0,1620734399999,1360001495.6615806,2259357,20557531137076.0,689425371.797579,0
1620734400000,3.318e-05,3.48e-05,2.86e-05,3.042e-05,23825033289349.0,1620777599999,763215359.5436316,1699273,11788214618940.0,378432708.7012475,0
1620777600000,3.04e-05,3.15e-05,2.505e-05,2.84e-05,31276264512033.0,1620820799999,892058484.0209366,1676889,15092947548122.0,431600159.6684669,0
1620820800000,2.84e-05,2.876e-05,1.752e-05,1.821e-05,55632880446732.0,1620863999999,1237586466.098929,2209888,26578749475408.0,592264857.4131407,0
1620864000000,1.817e-05,2.357e-05,1.53e-05,1.694e-05,44521719453095.0,1620907199999,835608428.9759436,1454693,21328923036571.0,402556608.24363214,0
1620907200000,1.693e-05,2.3e-05,1.669e-05,2.102e-05,46733161552653.0,1620950399999,925437539.344019,1596248,24016726347978.0,476279987.4243743,0
1620950400000,2.103e-05,2.224e-05,1.951e-05,2.046e-05,22458918328908.0,1620993599999,463640985.3474688,887807,10750703356736.0,222142434.32758686,0
1620993600000,2.047e-05,2.062e-05,1.816e-05,1.84e-05,18468935947667.0,1621036799999,358928830.20042163,821660,8787895065981.0,170812240.97228184,0
1621036800000,1.841e-05,1.897e-05,1.7e-05,1.771e-05,16836322144718.0,1621079999999,300233747.58453023,650019,8194783200625.0,146209550.05173564,0
1621080000000,1.77e-05,1.783e-05,1.501e-05,1.553e-05,26890953387243.0,1621123199999,440239078.9759488,952300,13038736097519.0,213704645.64141667,0
1621123200000,1.552e-05,1.692e-05,1.521e-05,1.617e-05,11779978328799.0,1621166399999,188985086.27743277,456592,6066767183218.0,97377479.59766321,0
1621166400000,1.616e-05,1.962e-05,1.237e-05,1.784e-05,49854774331897.0,1621209599999,771050914.6306937,1387280,25008386560068.0,388773935.8538039,0
1621209600000,1.783e-05,1.785e-05,1.408e-05,1.616e-05,32882397172813.0,1621252799999,529221919.6058993,950271,16191706126170.0,260788221.94212168,0
1621252800000,1.616e-05,1.808e-05,1.459e-05,1.651e-05,27274424943172.0,1621295999999,440598665.9442947,850937,13695501549693.0,221590925.79268304,0
1621296000000,1.65e-05,1.8e-05,1.626e-05,1.703e-05,12009569416195.0,1621339199999,204983638.8309574,424692,6106722152912.0,104209007.91593754,0
1621339200000,1.703e-05,1.703e-05,1.517e-05,1.56e-05,15967043024794.0,1621382399999,255057753.99652508,511213,7549959082033.0,120655952.83706151,0
1621382400000,1.562e-05,1.58e-05,9.46e-06,1.103e-05,34198112873164.0,1621425599999,441772954.0193773,826568,16241454068022.0,209957324.25519863,0
1621425600000,1.103e-05,1.269e-05,6.3e-06,9.07e-06,56341188134160.0,1621468799999,579082350.8028115,1249740,27369548754330.0,282772173.89605254,0
1621468800000,9.07e-06,1.133e-05,8e-06,1.029e-05,35095160300788.0,1621511999999,342756058.6302285,682050,17608610955389.0,172258288.9897756,0
1621512000000,1.029e-05,1.219e-05,9.3e-06,9.64e-06,32110806766102.0,1621555199999,338409584.8452024,702617,15821850056606.0,167090488.1640647,0
1621555200000,9.64e-06,1.035e-05,9e-06,9.33e-06,14407431367141.0,1621598399999,138316531.9652717,355882,7431530160134.0,71411086.99224065,0
1621598400000,9.33e-06,9.52e-06,6.55e-06,8.2e-06,40196472534318.0,1621641599999,317912109.9074754,761065,19336064475355.0,153184910.59115872,0
1621641600000,8.21e-06,8.29e-06,6.72e-06,7.57e-06,17096413512577.0,1621684799999,126322674.61269769,333021,8644893161260.0,63968971.06069302,0
1621684800000,7.56e-06,9.83e-06,7.06e-06,8.42e-06,29221766909237.0,1621727999999,240939626.54473472,506223,14953463564803.0,123335546.1321081,0
1621728000000,8.42e-06,9.65e-06,7.5e-06,8.15e-06,29155598427333.0,1621771199999,245835525.02091613,507882,14531639015235.0,122890634.19337195,0
1621771200000,8.15e-06,8.45e-06,6.94e-06,8.09e-06,31393531943513.0,1621814399999,241623182.91510773,525525,15450997059663.0,119123881.55231014,0
1621814400000,8.08e-06,8.74e-06,7.73e-06,8.49e-06,15397703996882.0,1621857599999,127184454.8509944,298510,8122838931659.0,67157653.99125235,0
1621857600000,8.49e-06,1.208e-05,8.4e-06,1.065e-05,51523134467672.0,1621900799999,525969256.99501866,1045404,26580459063093.0,271122407.5623696,0
1621900800000,1.065e-05,1.115e-05,8.76e-06,8.85e-06,24578628627839.0,1621943999999,241483254.04667023,536285,12020867880293.0,118352185.98180851,0
1621944000000,8.85e-06,9.89e-06,8.82e-06,9.39e-06,18517458254517.0,1621987199999,173988326.56980756,408380,9676487537837.0,91004349.48687007,0
1621987200000,9.38e-06,1.05e-05,9.2e-06,9.9e-06,17111743392890.0,1622030399999,168963726.21245497,403579,8984428161282.0,88716901.76830335,0
1622030400000,9.89e-06,9.98e-06,9.14e-06,9.49e-06,12768366122013.0,1622073599999,120810998.66860601,333226,6408872902121.0,60665265.41286729,0
1622073600000,9.49e-06,9.5e-06,8.5e-06,9.15e-06,11771456883942.0,1622116799999,105049420.80981152,273830,5845282443027.0,52226158.36562904,0
1622116800000,9.14e-06,9.2e-06,8.64e-06,8.79e-06,9606351035737.0,1622159999999,85778235.82153551,239989,4822136125722.0,43089493.84275611,0
1622160000000,8.79e-06,8.85e-06,7.5e-06,7.69e-06,12818815298557.0,1622203199999,104129737.37035073,284266,6082914557779.0,49479516.47060188,0
1622203200000,7.68e-06,8.37e-06,7.57e-06,7.9e-06,10150859240908.0,1622246399999,80379934.84035671,240943,5240306788202.0,41535709.91109038,0
1622246400000,7.91e-06,8.21e-06,7.7e-06,7.87e-06,5710073850217.0,1622289599999,45512617.1181314,138360,2948076354409.0,23535704.71685982,0
1622289600000,7.87e-06,8.13e-06,7.3e-06,7.89e-06,9763354619173.0,1622332799999,74274604.51366435,224207,4884967190191.0,37219747.75810321,0
1622332800000,7.9e-06,8e-06,7.52e-06,7.91e-06,6584203507475.0,1622375999999,51460575.30140517,144421,3350764843055.0,26216583.73462571,0
1622376000000,7.92e-06,8.13e-06,7.58e-06,7.86e-06,6263413723523.0,1622419199999,49262436.26284743,149078,3348479665516.0,26365275.04108938,0
1622419200000,7.85e-06,8.1e-06,7.69e-06,8e-06,5520926128284.0,1622462399999,43496551.47421008,124173,2932418323156.0,23122597.98718178,0
1622462400000,8e-06,9.98e-06,7.84e-06,9.28e-06,23487869912933.0,1622505599999,210070838.62656793,470639,12491623162054.0,111719346.04504763,0
1622505600000,9.28e-06,9.43e-06,8.59e-06,8.79e-06,12275434491994.0,1622548799999,110556503.1398967,272418,6170660146728.0,55638725.18344235,0
1622548800000,8.79e-06,9.11e-06,8.28e-06,8.82e-06,11347337462250.0,1622591999999,97936150.35241458,256777,5842957935472.0,50488634.26681639,0
1622592000000,8.83e-06,1.049e-05,8.57e-06,9.79e-06,18579026163617.0,1622635199999,174827557.77696428,391922,9916297901479.0,93249279.37643199,0
1622635200000,9.79e-06,1.025e-05,9.25e-06,9.44e-06,18831118983283.0,1622678399999,181269231.2343232,416636,9625475674223.0,92701718.87744196,0
1622678400000,9.43e-06,1.04e-05,9.29e-06,9.82e-06,15260599133990.0,1622721599999,150955038.3063606,346465,7952432981203.0,78680719.26934867,0
1622721600000,9.83e-06,9.94e-06,9.5e-06,9.82e-06,10049447948555.0,1622764799999,97680888.8127817,253320,5239895360872.0,50968165.72671551,0
1622764800000,9.81e-06,9.84e-06,8.28e-06,8.6e-06,16544140635031.0,1622807999999,146937956.37297285,351448,7618924780656.0,67616880.25837427,0
1622808000000,8.59e-06,9.08e-06,8.35e-06,8.79e-06,11042591573391.0,1622851199999,96870576.36435384,235300,5921282461717.0,51983410.13891435,0
1622851200000,8.8e-06,9.12e-06,8.37e-06,8.45e-06,7371648690025.0,1622894399999,65053719.10245405,173224,3579370262173.0,31663593.6021491,0
1622894400000,8.45e-06,8.73e-06,8.1e-06,8.42e-06,7767082680959.0,1622937599999,65672915.59156494,176039,3894064532601.0,32966214.39609756,0
1622937600000,8.42e-06,8.63e-06,8.37e-06,8.42e-06,3964732574471.0,1622980799999,33624940.34828565,98543,2050475026652.0,17404734.80398151,0
1622980800000,8.42e-06,8.59e-06,8.33e-06,8.53e-06,4754119484240.0,1623023999999,40169558.74023897,120103,2503949306596.0,21172444.62225388,0
1623024000000,8.52e-06,8.72e-06,8.41e-06,8.49e-06,4497291918207.0,1623067199999,38452685.90956227,121154,2277257094617.0,19494053.2558062,0
1623067200000,8.49e-06,8.56e-06,7.5e-06,7.74e-06,9820199039018.0,1623110399999,78993886.65700555,237451,4508621492274.0,36277818.88103506,0
1623110400000,7.74e-06,7.87e-06,7e-06,7.28e-06,13899358205939.0,1623153599999,101109688.71543099,267120,6234873392565.0,45467570.47364769,0
1623153600000,7.27e-06,7.68e-06,6.3e-06,7.15e-06,18508477214417.0,1623196799999,130606254.100573,326094,9276478660908.0,65683703.23903025,0
1623196800000,7.16e-06,7.42e-06,6.83e-06,7.22e-06,10005222597810.0,1623239999999,71199969.07180835,180538,5308795284394.0,37809740.27030307,0
