open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1597104000000,2.85,4.1387,2.8433,3.73,4975186.97,1597363199999,17561870.643235,57530,2347262.75,8287901.697942,0
1597363200000,3.7207,3.7676,3.12,3.3885,3212501.52,1597622399999,11091555.345989,43143,1285715.29,4455793.60354,0
1597622400000,3.3885,3.7092,2.8,2.8868,4875773.34,1597881599999,15621039.409678,53123,2022036.45,6536931.739712,0
1597881600000,2.8962,3.445,2.7431,3.0126,3579141.0,1598140799999,10992580.200158,37553,1625879.07,5020943.319948,0
1598140800000,3.0224,3.62,3.0001,3.25,3662420.12,1598399999999,11980980.871542,40998,1813217.5,5946972.678553,0
1598400000000,3.2576,4.3091,3.1809,4.0063,7284942.2,1598659199999,26733413.569204,80194,3831234.27,14101248.776651,0
1598659200000,4.007,4.8865,3.7748,4.7435,4655655.31,1598918399999,19922660.00518,69427,2283971.19,9831755.322034,0
1598918400000,4.7432,4.9475,3.4772,3.5051,6545245.38,1599177599999,26950244.814548,82885,2913863.54,12097115.138489,0
1599177600000,3.5062,3.8346,2.0926,3.0941,9377223.53,1599436799999,27075887.314384,84902,4001543.92,11546670.681066,0
1599436800000,3.0785,3.8838,2.38,3.6001,10997594.86,1599695999999,33580778.673374,92799,5175590.74,15946460.930413,0
1599696000000,3.6107,3.875,3.0316,3.3316,7746070.07,1599955199999,26535921.631896,85469,3536968.79,12178513.17924,0
1599955200000,3.3386,3.5393,2.8955,2.9295,7074820.11,1600214399999,23031761.912609,108831,3214745.66,10523628.436564,0
1600214400000,2.9288,3.16,2.36,3.1144,13691960.53,1600473599999,37112879.200611,152796,6360398.31,17344053.14206,0
1600473600000,3.1084,3.2545,2.4689,2.7672,6610727.75,1600732799999,18703045.003869,88219,3142110.08,8895652.740781,0
1600732800000,2.7571,3.2571,2.65,3.1433,9162638.33,1600991999999,26867456.043977,118848,4761465.41,13991368.138498,0
1600992000000,3.1409,3.2766,2.9003,3.1578,4788677.8,1601251199999,14801771.117148,63465,2303551.96,7125422.533922,0
1601251200000,3.1557,3.2109,2.8228,2.8967,2979767.54,1601510399999,8887952.817876,39786,1246605.97,3718389.146795,0
1601510400000,2.8967,2.9889,2.42,2.5439,4708579.93,1601769599999,12603648.862533,49672,2154048.39,5774090.386568,0
1601769600000,2.542,2.683,2.13,2.174,3462011.71,1602028799999,8478333.56306,34297,1601791.07,3936429.127735,0
1602028800000,2.1721,2.63,2.0123,2.5314,6725664.93,1602287999999,15509070.090792,56570,3308921.29,7646213.900699,0
1602288000000,2.5274,2.7044,2.3401,2.5836,4333091.36,1602547199999,10911445.247432,43072,2180714.61,5501195.115398,0
1602547200000,2.5826,2.5867,2.1932,2.2682,3831326.04,1602806399999,9125578.247166,39430,1600125.61,3823858.478676,0
1602806400000,2.2648,2.269,2.1071,2.215,2507820.94,1603065599999,5492956.745885,26623,1121679.27,2459122.333518,0
1603065600000,2.2137,2.2148,1.8401,1.8887,6065108.98,1603324799999,11918061.688034,54147,2808553.44,5522884.77989,0
1603324800000,1.8868,2.09,1.8481,1.9142,3932864.27,1603583999999,7668754.438013,36954,1940692.54,3791685.269762,0
1603584000000,1.9175,1.9244,1.5906,1.711,5978888.09,1603843199999,10398150.953396,49225,2679803.69,4658464.88498,0
1603843200000,1.7084,1.7255,1.3163,1.4381,5989874.42,1604102399999,9027705.995418,42364,2660911.35,4012185.305008,0
