open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1597118400000,2.85,3.47,2.85,2.9224,62101.63,1597132799999,186599.124921,739,23866.78,72000.300487,0
1597132800000,2.9626,3.1,2.8433,3.0497,89812.46,1597147199999,262743.035446,874,32831.25,96597.307185,0
1597147200000,3.0497,3.5208,2.8625,3.19,902874.94,1597161599999,2900385.36178,7159,443787.22,1425806.258788,0
1597161600000,3.1751,3.384,3.1143,3.1886,254050.22,1597175999999,826754.614448,2324,126672.87,413196.776385,0
1597176000000,3.1938,3.3191,2.95,3.2985,243545.53,1597190399999,762666.801512,2394,114612.67,362592.038274,0
1597190400000,3.2985,3.32,3.08,3.2802,226276.63,1597204799999,723448.592008,2096,102155.71,327634.937477,0
1597204800000,3.2802,3.3661,3.1323,3.3661,188444.93,1597219199999,608213.931452,2527,107447.45,346689.088647,0
1597219200000,3.3577,3.9289,3.35,3.6842,795196.72,1597233599999,2875246.1009,8610,411068.84,1482535.347595,0
1597233600000,3.6733,3.9,3.6434,3.7678,267541.97,1597247999999,1003979.407622,3665,145303.76,546560.788071,0
1597248000000,3.7704,3.8423,3.6,3.6788,173511.5,1597262399999,644054.17739,2591,78619.24,292005.292588,0
1597262400000,3.6788,3.8225,3.6652,3.7558,86071.2,1597276799999,321211.515266,1629,44538.5,166518.814439,0
1597276800000,3.75,3.8512,3.5537,3.7593,186203.13,1597291199999,695089.061171,2590,58623.03,218823.725117,0
1597291200000,3.7404,4.1387,3.6243,4.0785,335027.51,1597305599999,1301834.933803,5123,179608.83,700662.390311,0
1597305600000,4.0946,4.1222,3.5003,3.87,548093.97,1597319999999,2094325.271866,6340,219565.01,843010.738082,0
1597320000000,3.87,4.0555,3.8,3.8065,256999.54,1597334399999,1004743.518796,3445,115515.57,452820.389669,0
1597334400000,3.8065,3.9645,3.7698,3.8566,144099.38,1597348799999,552696.585965,2377,63867.75,245512.067513,0
1597348800000,3.8549,3.87,3.5385,3.73,215335.71,1597363199999,797878.608889,3047,79178.27,294935.437314,0
1597363200000,3.7207,3.7676,3.5717,3.625,185069.51,1597377599999,671143.393643,2056,63352.36,229690.479827,0
1597377600000,3.6251,3.7517,3.5,3.55,221772.67,1597391999999,801711.522005,2772,82509.1,298689.314588,0
1597392000000,3.5327,3.7598,3.4267,3.7173,378167.48,1597406399999,1347264.003082,4857,180610.31,645152.271628,0
1597406400000,3.7036,3.7133,3.5106,3.5788,209465.81,1597420799999,750400.904975,2595,99621.73,356796.182802,0
1597420800000,3.5753,3.5881,3.321,3.3792,337259.47,1597435199999,1150093.026635,4129,109074.59,369495.284367,0
1597435200000,3.3792,3.4897,3.3321,3.4099,142426.85,1597449599999,485221.245637,2172,43483.75,149073.122255,0
1597449600000,3.4181,3.4242,3.1874,3.3289,194423.41,1597463999999,640382.1529,2470,64647.61,213748.840661,0
1597464000000,3.3305,3.5713,3.163,3.5215,325200.11,1597478399999,1107971.097826,4112,168050.08,575090.421389,0
1597478400000,3.5216,3.74,3.4477,3.45,263252.49,1597492799999,946784.210858,2668,101617.35,367208.437692,0
1597492800000,3.4527,3.4852,3.38,3.4324,97809.11,1597507199999,336531.652736,1442,38221.44,131889.23797,0
1597507200000,3.4547,3.4654,3.34,3.3684,71241.36,1597521599999,242318.725686,1119,24437.42,83301.016352,0
1597521600000,3.3684,3.4727,3.15,3.173,118306.72,1597535999999,384017.782196,2092,42650.07,139234.775504,0
1597536000000,3.173,3.2602,3.12,3.1955,169706.83,1597550399999,541902.446688,2276,50151.52,160047.634063,0
1597550400000,3.192,3.4907,3.1697,3.4401,195490.3,1597564799999,656289.67117,3417,88201.03,297346.422605,0
1597564800000,3.4401,3.47,3.34,3.4193,112899.67,1597579199999,383003.89532,1844,33839.25,114980.190463,0
1597579200000,3.4193,3.4427,3.34,3.3872,89743.61,1597593599999,303104.293882,1306,48835.63,165063.8636,0
1597593600000,3.3911,3.4726,3.379,3.4071,65724.85,1597607999999,226142.850897,1099,28436.43,97960.676634,0
1597608000000,3.4115,3.4426,3.36,3.3885,34541.27,1597622399999,117272.469853,717,17975.62,61025.43114,0
1597622400000,3.3885,3.3952,3.3235,3.3502,87476.01,1597636799999,293747.168659,915,24255.69,81543.889814,0
1597636800000,3.3551,3.3666,3.2,3.2001,173481.74,1597651199999,567973.145992,1992,55807.45,182895.408735,0
1597651200000,3.2034,3.3234,3.2002,3.2891,100401.83,1597665599999,329035.658848,1195,42611.67,139862.725561,0
1597665600000,3.2891,3.2934,3.1,3.1264,174288.9,1597679999999,553232.558081,2287,48568.08,154691.622372,0
1597680000000,3.1347,3.215,3.11,3.1541,135874.82,1597694399999,428651.540289,1532,65515.47,206768.750461,0
1597694400000,3.1546,3.2,3.1,3.11,57890.34,1597708799999,182689.715761,711,21433.53,67842.032874,0
1597708800000,3.11,3.1277,3.0,3.0328,243087.75,1597723199999,742442.049037,2617,101199.26,309652.447936,0
1597723200000,3.0208,3.0671,2.878,2.99,217268.31,1597737599999,645131.88064,2588,86074.55,255825.222326,0
1597737600000,2.99,3.25,2.91,3.0672,309120.92,1597751999999,964669.554009,3635,119814.35,373344.087375,0
1597752000000,3.0501,3.7092,2.8105,3.3621,1374229.97,1597766399999,4594084.165349,11017,687193.28,2309925.892707,0
1597766400000,3.3777,3.5832,3.258,3.5289,417949.42,1597780799999,1417183.491004,5552,217118.22,736924.116049,0
1597780800000,3.5289,3.5543,3.32,3.3407,151459.57,1597795199999,521794.993185,2006,65199.62,225705.967539,0
1597795200000,3.334,3.49,3.0814,3.1075,290125.3,1597809599999,962539.565127,3111,91206.36,303054.809691,0
1597809600000,3.1001,3.1427,2.8,3.0375,428619.05,1597823999999,1274681.418167,5219,141543.67,423393.004921,0
1597824000000,3.0376,3.1799,3.0,3.01,165070.34,1597838399999,509676.03567,2043,59435.61,184053.566359,0
1597838400000,3.01,3.1307,2.98,3.008,197297.44,1597852799999,599399.129321,2137,67523.65,206068.424655,0
1597852800000,2.9955,3.0291,2.9012,2.9404,180547.77,1597867199999,536140.508459,2248,66159.99,196723.677454,0
1597867200000,2.9407,2.9735,2.82,2.8868,171583.86,1597881599999,497966.83208,2318,61376.0,178656.092883,0
1597881600000,2.8962,3.053,2.8871,2.9291,113584.78,1597895999999,338945.626647,1382,45608.8,135696.80694,0
1597896000000,2.9291,3.0493,2.92,2.998,112596.52,1597910399999,335120.735937,1247,52931.52,158028.607855,0
1597910400000,2.9955,3.1898,2.9895,3.1508,231282.31,1597924799999,717310.304425,2499,103688.02,322397.582459,0
1597924800000,3.151,3.35,3.109,3.3254,225160.02,1597939199999,721720.733725,2275,117242.67,377897.685209,0
1597939200000,3.3441,3.445,3.18,3.3261,369624.9,1597953599999,1230741.351996,4637,205468.7,685168.120681,0
1597953600000,3.3333,3.4106,3.1461,3.2038,225578.79,1597967999999,734401.578752,2129,129373.53,421493.482182,0
1597968000000,3.2038,3.24,3.1104,3.16,211500.59,1597982399999,672185.438861,2061,70044.27,222210.741885,0
1597982400000,3.1599,3.2168,3.0,3.0718,247316.45,1597996799999,766403.300998,2603,81412.64,253363.966901,0
1597996800000,3.0617,3.1377,3.0185,3.0918,188310.47,1598011199999,579824.7548,2164,56374.13,174286.557722,0
1598011200000,3.0918,3.1636,2.9738,3.0127,236806.21,1598025599999,721592.753305,2914,129443.96,394947.366051,0
1598025600000,3.0149,3.0812,2.9877,3.0483,81401.46,1598039999999,246406.712287,1026,33338.08,101187.131905,0
1598040000000,3.0483,3.1137,2.89,2.9317,166560.72,1598054399999,493929.714689,2189,65341.96,194929.490262,0
1598054400000,2.9213,2.9386,2.8,2.814,226775.5,1598068799999,643324.557233,1972,76188.17,215971.624533,0
1598068800000,2.82,2.8463,2.7431,2.805,259927.98,1598083199999,723593.604262,2284,120748.41,336019.181189,0
1598083200000,2.8029,2.8655,2.7876,2.8599,108202.73,1598097599999,306448.251486,966,44893.89,127401.943952,0
1598097600000,2.8599,3.16,2.8586,3.061,391064.64,1598111999999,1197255.813938,3098,197716.46,603939.791451,0
1598112000000,3.0601,3.2,3.039,3.0536,110838.62,1598126399999,344313.352896,1258,63825.06,198813.779366,0
1598126400000,3.0536,3.0661,2.979,3.0126,72608.31,1598140799999,219061.613921,849,32238.8,97189.459405,0
1598140800000,3.0224,3.2857,3.0014,3.1121,226040.75,1598155199999,711576.495056,2216,134928.1,425719.416804,0
1598155200000,3.1122,3.2111,3.0483,3.0723,160092.56,1598169599999,497279.040029,1537,94376.91,293424.732472,0
1598169600000,3.07,3.0782,3.0258,3.034,94823.86,1598183999999,288859.412259,725,46067.75,140386.118075,0
1598184000000,3.034,3.1301,3.0073,3.1301,102542.04,1598198399999,314712.899807,984,56829.45,174641.081224,0
1598198400000,3.1299,3.4,3.1105,3.3917,433321.17,1598212799999,1432216.90774,3605,272652.33,901254.261912,0
1598212800000,3.399,3.4,3.1949,3.25,181216.31,1598227199999,601605.941479,2388,97121.9,323740.064912,0
1598227200000,3.2658,3.3711,3.2144,3.285,90708.98,1598241599999,299236.818985,1080,40047.39,132284.689026,0
1598241600000,3.285,3.4849,3.2572,3.4479,215266.95,1598255999999,729566.217052,2171,123358.94,418197.557517,0
1598256000000,3.4478,3.62,3.326,3.4632,441025.11,1598270399999,1542695.609517,5248,220195.36,770894.712011,0
1598270400000,3.4707,3.5727,3.3888,3.4696,176644.5,1598284799999,616947.6164,2138,82065.9,288049.963487,0
1598284800000,3.4696,3.5363,3.25,3.2812,250663.94,1598299199999,854095.844425,2756,124143.42,426115.096239,0
1598299200000,3.2768,3.356,3.21,3.3405,140886.58,1598313599999,462297.310839,1924,44401.18,146031.724828,0
1598313600000,3.3406,3.3654,3.1421,3.1503,227524.71,1598327999999,738271.576752,2201,70674.09,229662.161719,0
1598328000000,3.1506,3.2259,3.0601,3.1508,167027.35,1598342399999,526758.874124,2183,50562.94,159624.402002,0
1598342400000,3.15,3.2379,3.0691,3.18,144220.86,1598356799999,455014.119897,2191,48894.3,154360.766634,0
