open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,10.16,10.19,10.11,10.13,70054.92,1672503299999,710448.0488,1623,33456.7,339347.5748,0
1672503300000,10.12,10.14,10.08,10.1,30012.52,1672504199999,303406.3109,942,13415.34,135634.5529,0
1672504200000,10.11,10.13,10.07,10.08,18993.67,1672505099999,191910.3894,639,7189.92,72655.2567,0
1672505100000,10.07,10.11,10.05,10.08,22710.89,1672505999999,229034.1903,787,11252.02,113514.0807,0
1672506000000,10.08,10.11,10.02,10.03,28197.3,1672506899999,283723.4358,799,9285.15,93457.97,0
1672506900000,10.03,10.06,9.97,10.01,92047.83,1672507799999,921336.3692,1875,34780.49,348278.2561,0
1672507800000,10.01,10.01,9.96,9.97,26388.48,1672508699999,263387.5098,760,10201.03,101850.5083,0
1672508700000,9.97,9.99,9.95,9.97,20894.55,1672509599999,208242.1473,710,9552.34,95225.1099,0
1672509600000,9.98,10.04,9.97,10.03,38367.73,1672510499999,384034.4924,895,23123.47,231531.7203,0
1672510500000,10.02,10.04,10.0,10.01,18295.37,1672511399999,183308.0611,575,7302.03,73182.3449,0
1672511400000,10.02,10.02,9.95,9.97,31800.08,1672512299999,317237.9464,763,10844.64,108238.1,0
1672512300000,9.97,9.98,9.93,9.95,17134.23,1672513199999,170556.885,550,9717.5,96731.1633,0
1672513200000,9.95,10.0,9.95,9.99,14284.24,1672514099999,142448.7657,522,6111.75,60956.4126,0
1672514100000,10.0,10.02,9.98,10.02,8474.53,1672514999999,84744.4305,366,4090.3,40904.8029,0
1672515000000,10.02,10.13,10.02,10.11,72038.42,1672515899999,726992.0441,1621,41118.62,414932.4068,0
1672515900000,10.1,10.16,10.06,10.07,47510.6,1672516799999,480398.2736,1349,25730.81,260246.9019,0
1672516800000,10.07,10.1,10.05,10.08,17706.75,1672517699999,178312.2267,578,9007.34,90707.1364,0
1672517700000,10.08,10.09,10.04,10.05,13261.69,1672518599999,133437.3993,426,4450.11,44793.5244,0
1672518600000,10.06,10.08,10.02,10.06,17524.25,1672519499999,176085.7192,507,8034.01,80722.7272,0
1672519500000,10.07,10.1,10.06,10.08,20036.21,1672520399999,201999.3148,424,10429.91,105185.2489,0
1672520400000,10.09,10.12,10.08,10.11,15479.84,1672521299999,156346.7721,458,8329.21,84128.1497,0
1672521300000,10.1,10.11,10.04,10.06,31216.29,1672522199999,314780.0643,657,12607.63,127150.224,0
1672522200000,10.05,10.06,9.99,10.01,25466.87,1672523099999,255320.8927,736,9772.29,97992.0787,0
1672523100000,10.01,10.03,9.98,10.01,19505.76,1672523999999,195046.3353,539,7839.11,78392.4918,0
1672524000000,10.02,10.05,9.98,10.05,20140.75,1672524899999,201653.4848,536,9776.14,97884.7837,0
