open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577808000000,0.4486,0.452,0.4412,0.445,80581.58,1577808899999,36036.761709,205,24491.6,10943.648905,0
1577808900000,0.4446,0.4461,0.4383,0.4461,48103.73,1577809799999,21368.75609,72,32726.88,14592.935499,0
1577809800000,0.446,0.4513,0.4453,0.4511,11238.51,1577810699999,5031.484575,60,6973.26,3124.092269,0
1577810700000,0.4501,0.4511,0.445,0.4452,23781.64,1577811599999,10631.219795,92,5711.61,2561.523875,0
1577811600000,0.446,0.4467,0.4411,0.4425,27283.94,1577812499999,12110.369401,68,16383.26,7273.759409,0
1577812500000,0.4423,0.4425,0.44,0.4416,14252.13,1577813399999,6275.45007,84,7461.54,3286.53931,0
1577813400000,0.4416,0.4425,0.4406,0.4406,17594.6,1577814299999,7773.190907,36,7765.77,3434.993585,0
1577814300000,0.441,0.4432,0.4369,0.4425,39371.25,1577815199999,17312.999822,126,22566.1,9933.634553,0
1577815200000,0.4425,0.443,0.4393,0.4404,10096.64,1577816099999,4458.871159,32,8824.36,3899.587539,0
1577816100000,0.4418,0.4418,0.4376,0.4378,15605.9,1577816999999,6840.528447,61,2910.63,1275.981023,0
1577817000000,0.4398,0.4432,0.4343,0.4407,58869.56,1577817899999,25871.021871,166,36799.64,16228.386336,0
1577817900000,0.4394,0.4406,0.436,0.438,21395.4,1577818799999,9360.665353,44,7895.19,3453.301317,0
1577818800000,0.4384,0.4468,0.4384,0.4455,17677.22,1577819699999,7837.679392,94,9910.9,4390.288199,0
1577819700000,0.4455,0.4455,0.4414,0.4455,13804.75,1577820599999,6137.019436,34,7017.87,3119.289081,0
1577820600000,0.4441,0.4448,0.4409,0.4409,12575.74,1577821499999,5554.418066,40,5662.89,2501.716782,0
1577821500000,0.4395,0.4443,0.4368,0.4412,5440.66,1577822399999,2390.389335,45,1211.29,534.202759,0
1577822400000,0.4397,0.4424,0.4377,0.4395,3763.38,1577823299999,1654.091358,26,1618.14,712.981002,0
1577823300000,0.4389,0.4453,0.4389,0.4442,22503.02,1577824199999,9959.620845,86,18873.69,8346.708258,0
1577824200000,0.4416,0.4418,0.4382,0.4415,8671.33,1577825099999,3820.832788,35,2300.89,1014.34798,0
1577825100000,0.4415,0.4453,0.4403,0.4453,15763.52,1577825999999,6997.603329,70,14913.74,6621.882457,0
1577826000000,0.4453,0.452,0.4453,0.449,39210.6,1577826899999,17573.117158,144,29210.2,13093.001053,0
1577826900000,0.449,0.4521,0.4454,0.4494,48927.07,1577827799999,21970.846449,91,35851.84,16102.318698,0
1577827800000,0.4494,0.451,0.447,0.4471,14478.24,1577828699999,6504.42502,58,8484.16,3817.479184,0
1577828700000,0.4469,0.4485,0.44,0.4443,34736.61,1577829599999,15357.567547,80,15017.18,6641.527961,0
1577829600000,0.4441,0.4467,0.4407,0.4462,15234.46,1577830499999,6781.714699,47,11125.31,4954.65686,0
1577830500000,0.4457,0.4457,0.4411,0.4413,23566.57,1577831399999,10432.037602,50,360.67,160.204019,0
1577831400000,0.4413,0.4428,0.4401,0.4424,13991.22,1577832299999,6168.807006,35,1758.0,777.203825,0
1577832300000,0.442,0.4438,0.4417,0.4433,11929.54,1577833199999,5278.597842,30,4820.41,2134.826811,0
1577833200000,0.441,0.441,0.439,0.4395,5910.48,1577834099999,2599.122569,27,75.05,32.950355,0
1577834100000,0.4388,0.4497,0.4386,0.4497,18228.94,1577834999999,8129.65127,58,8220.81,3655.771664,0
1577835000000,0.4467,0.4484,0.4412,0.4414,17023.0,1577835899999,7561.020643,43,4446.31,1978.633824,0
1577835900000,0.4402,0.4448,0.4402,0.4403,29828.23,1577836799999,13145.382689,77,7238.41,3192.955984,0
1577836800000,0.4403,0.4423,0.4342,0.4367,84604.25,1577837699999,36986.711941,136,10358.45,4522.744062,0
1577837700000,0.437,0.4378,0.4354,0.436,27486.67,1577838599999,11978.222119,52,966.51,422.581772,0
1577838600000,0.4357,0.4429,0.4301,0.4316,100742.92,1577839499999,43919.707625,169,26668.05,11724.186853,0
1577839500000,0.4315,0.4327,0.427,0.4281,40444.2,1577840399999,17366.86136,146,14140.88,6069.548224,0
1577840400000,0.4292,0.4349,0.4292,0.4307,29623.65,1577841299999,12782.653491,87,15100.07,6521.672269,0
1577841300000,0.4311,0.4311,0.4251,0.4292,32463.44,1577842199999,13876.849727,83,10624.34,4557.074243,0
1577842200000,0.4267,0.4297,0.4251,0.4285,16558.51,1577843099999,7071.754221,53,4023.5,1725.138253,0
1577843100000,0.428,0.4312,0.428,0.4309,10476.67,1577843999999,4502.60907,59,7874.53,3383.589484,0
1577844000000,0.4314,0.435,0.4299,0.4335,13095.88,1577844899999,5655.904059,35,6956.86,3004.553961,0
1577844900000,0.4344,0.4374,0.4344,0.4351,11056.76,1577845799999,4816.833307,40,8453.29,3683.151896,0
1577845800000,0.4362,0.4362,0.4338,0.4361,10253.98,1577846699999,4457.254162,33,631.11,275.041962,0
1577846700000,0.4351,0.4365,0.4339,0.4339,3992.94,1577847599999,1737.709139,18,159.0,69.4035,0
1577847600000,0.4338,0.4346,0.4323,0.4343,724.73,1577848499999,313.503553,9,16.34,7.098883,0
1577848500000,0.4323,0.4343,0.4306,0.4308,5331.31,1577849399999,2302.107503,25,13.94,6.052147,0
1577849400000,0.4311,0.4343,0.4303,0.4329,4955.46,1577850299999,2137.679726,14,2061.44,890.776964,0
1577850300000,0.4305,0.4326,0.4303,0.4322,4737.34,1577851199999,2040.259965,18,829.32,358.42922,0
1577851200000,0.4302,0.4321,0.4296,0.4301,4627.74,1577852099999,1989.893882,20,7.74,3.344454,0
1577852100000,0.43,0.431,0.4278,0.431,833.68,1577852999999,357.787897,10,14.09,6.068842,0
