open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672617600000,0.2609,0.2883,0.2576,0.2876,7343505.8,1673222399999,2001413.36378,19335,3147219.9,857167.74477,0
1673222400000,0.2874,0.348,0.2786,0.3396,13029482.5,1673827199999,4133778.0247,61599,6137202.7,1946482.30878,0
1673827200000,0.3403,0.3606,0.2952,0.3521,15435475.2,1674431999999,5098663.61002,64646,7688491.6,2534156.13839,0
1674432000000,0.3526,0.4378,0.3371,0.3968,31138017.8,1675036799999,11973360.67184,102079,15149419.6,5840241.73644,0
1675036800000,0.397,0.45,0.352,0.4215,25448882.7,1675641599999,10318093.58288,102731,12152552.6,4922009.44913,0
1675641600000,0.4215,0.4854,0.3444,0.3724,31745253.2,1676246399999,13042294.9763,112908,15414874.9,6330115.52817,0
1676246400000,0.3723,0.4387,0.3421,0.4293,16474972.3,1676851199999,6583931.83888,71317,8058763.4,3220028.83723,0
1676851200000,0.429,0.58,0.417,0.4361,54471152.0,1677455999999,26601047.38073,179220,26659985.5,13023393.50638,0
1677456000000,0.4366,0.4451,0.3566,0.3701,15860080.1,1678060799999,6394694.826,61678,7652197.6,3083423.83321,0
1678060800000,0.3693,0.3977,0.3166,0.3971,16085067.2,1678665599999,5741429.45219,63142,7914074.3,2828374.55058,0
1678665600000,0.3978,0.6591,0.3967,0.5561,40353807.6,1679270399999,21387610.9582,164284,19903792.2,10527187.61204,0
1679270400000,0.5566,0.6455,0.5015,0.6084,32055939.1,1679875199999,18382359.50694,120019,15471801.5,8884638.47532,0
1679875200000,0.6084,0.7241,0.519,0.6065,31981801.2,1680479999999,19987801.36921,136159,16101053.0,10081498.60002,0
1680480000000,0.6068,0.7279,0.5838,0.6553,24428655.2,1681084799999,16202244.41959,105921,11729042.2,7778764.1399,0
1681084800000,0.6552,0.8473,0.6431,0.8242,15014999.3,1681689599999,10909774.52242,88677,7365513.1,5372240.66184,0
1681689600000,0.8242,0.88,0.6693,0.6802,21211064.1,1682294399999,16286606.4818,123323,10499355.1,8066587.33148,0
1682294400000,0.6803,1.05,0.6404,0.9029,58525762.5,1682899199999,49865014.44164,288182,30141281.4,25650411.89913,0
