open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1641168000000,0.07761,0.07824,0.0691,0.07112,5391121401.2,1641427199999,412957238.335931,567404,2698999645.1,206822732.542388,0
1641427200000,0.07113,0.07149,0.06402,0.06539,6720214631.5,1641686399999,465434417.357491,623534,3372215240.7,233480469.96315,0
1641686400000,0.06539,0.06724,0.06111,0.06493,4801846164.7,1641945599999,311670453.596783,500777,2502635110.5,162498645.839282,0
1641945600000,0.06493,0.06856,0.06491,0.06765,5050743539.1,1642204799999,339456028.793553,484479,2570252204.6,172724858.57117,0
1642204800000,0.06765,0.07244,0.067,0.07085,4557366570.8,1642463999999,317766691.543144,513376,2311950364.2,161217519.850108,0
1642464000000,0.07085,0.07206,0.06612,0.06773,5835563479.9,1642723199999,401691631.820722,562444,2940383182.7,202403212.024173,0
1642723200000,0.06771,0.06863,0.05265,0.05752,7479516996.5,1642982399999,449159971.689859,848230,3787896409.3,227343184.021593,0
1642982400000,0.0575,0.05905,0.05101,0.0562,6108682970.8,1643241599999,336064404.331017,736734,3119061682.1,171603418.683032,0
1643241600000,0.05619,0.06039,0.05442,0.06034,3720091005.5,1643500799999,212013556.704532,432505,1894290386.2,108011101.710347,0
1643500800000,0.06035,0.06054,0.05665,0.05979,3273232436.1,1643759999999,193420755.389991,380725,1664649483.9,98370422.188518,0
1643760000000,0.05979,0.06458,0.05826,0.06441,4032017655.5,1644019199999,244948177.331092,468521,2089200841.6,126981696.272386,0
1644019200000,0.06442,0.06933,0.06354,0.06852,3883099592.4,1644278399999,256630275.599597,496714,1999480720.2,132166022.554198,0
1644278400000,0.06852,0.07165,0.06677,0.0685,4832842205.9,1644537599999,333715323.432757,598782,2435152675.7,168220054.153849,0
1644537600000,0.0685,0.0685,0.06216,0.06427,4489038395.3,1644796799999,290957895.849174,447586,2262982270.9,146637860.129399,0
1644796800000,0.06427,0.067,0.06328,0.0664,3706777867.7,1645055999999,242779193.07038,399392,1918799776.1,125729978.552146,0
1645056000000,0.06641,0.06712,0.06206,0.06348,4218650489.7,1645315199999,269850022.039248,424701,2145101836.4,137240835.666103,0
1645315200000,0.06348,0.06369,0.0591,0.06265,5811262407.8,1645574399999,358482553.485441,494536,2938405847.2,181299789.559374,0
1645574400000,0.06264,0.06388,0.0554,0.05943,7498386672.9,1645833599999,449052401.621988,781001,3779589624.6,226562890.713831,0
1645833600000,0.05944,0.06277,0.05738,0.06176,4901383853.4,1646092799999,292028670.833079,567197,2495959984.4,148739067.786785,0
1646092800000,0.06176,0.06292,0.05912,0.05995,3945529860.3,1646351999999,242423643.399299,443758,1981049028.4,121738117.032775,0
1646352000000,0.05996,0.06091,0.0575,0.05889,3417873029.2,1646611199999,202538812.652563,363125,1713570987.9,101540630.676296,0
1646611200000,0.05889,0.06263,0.05782,0.0608,4045440990.5,1646870399999,244369632.997768,418838,2064504645.1,124752873.186378,0
1646870400000,0.0608,0.06089,0.05785,0.05967,3889720524.5,1647129599999,231687737.969926,361939,2002005826.2,119249788.569267,0
1647129600000,0.05967,0.06066,0.0589,0.0605,2859277058.3,1647388799999,171422167.142717,282380,1506139821.8,90304034.458134,0
1647388800000,0.0605,0.06183,0.05941,0.06162,3091587309.2,1647647999999,187390133.01461,311250,1597323223.8,96816366.510872,0
1647648000000,0.06162,0.06246,0.06075,0.06177,4028071296.2,1647907199999,247935539.800404,363418,2037982415.1,125450595.548505,0
1647907200000,0.06177,0.06594,0.06161,0.06564,4461826816.8,1648166399999,285228504.578753,518710,2323803672.2,148549417.295751,0
1648166400000,0.06564,0.06956,0.06381,0.06899,5250036867.6,1648425599999,346810785.367536,645827,2707032335.2,178863302.057728,0
1648425600000,0.06899,0.07444,0.06745,0.07334,5867477942.6,1648684799999,416470824.198568,884189,3020408811.8,214410155.609718,0
1648684800000,0.07334,0.07956,0.0692,0.07322,6086052541.4,1648943999999,456084896.180168,1012389,3137913953.6,235240313.045401,0
1648944000000,0.07323,0.07371,0.06881,0.06928,2951936758.0,1649203199999,210608738.227878,491920,1519608767.3,108493278.699087,0
1649203200000,0.06928,0.06936,0.06213,0.06259,3762313645.1,1649462399999,243229136.677023,562591,1836336382.7,118734559.915272,0
1649462400000,0.06259,0.06429,0.05774,0.05823,3151464386.2,1649721599999,195323944.172763,467098,1564214367.4,97040816.190544,0
1649721600000,0.05824,0.06216,0.0579,0.06013,3064442389.2,1649980799999,184421571.670693,444675,1570362531.4,94511867.935046,0
1649980800000,0.06014,0.06289,0.0598,0.06009,2557242179.7,1650239999999,157579742.304942,375284,1278447647.1,78779963.059966,0
1650240000000,0.06008,0.06362,0.05886,0.06261,3716303875.0,1650499199999,229250401.506307,479071,1892978814.5,116836044.688207,0
1650499200000,0.06261,0.075,0.06243,0.06761,10975176041.6,1650758399999,763883932.637831,1625043,5511680960.4,383671465.59731,0
1650758400000,0.06762,0.06792,0.06158,0.0619,3557311164.3,1651017599999,228995940.698939,572359,1746716207.8,112412601.546342,0
1651017600000,0.0619,0.07003,0.0617,0.06368,4817658204.8,1651276799999,312863986.256356,734974,2469648026.3,160374542.399073,0
1651276800000,0.06368,0.07365,0.06163,0.06894,8500340269.8,1651535999999,570614390.805656,1130059,4358283321.3,292695635.138766,0
1651536000000,0.06895,0.08987,0.06813,0.07451,14516239299.3,1651795199999,1126005742.474834,2556482,7440444495.0,577341076.792133,0
1651795200000,0.0745,0.09279,0.07268,0.08794,16355944480.7,1652054399999,1362579631.700268,2719210,8324096947.3,693204373.050277,0
1652054400000,0.08796,0.08816,0.063,0.07496,19989740731.6,1652313599999,1525833260.928277,3090637,9889030579.3,756010308.790784,0
1652313600000,0.07495,0.08124,0.06559,0.07243,9840173662.8,1652572799999,719044341.498512,1587108,4948003833.1,361946487.899739,0
1652572800000,0.07243,0.074,0.06716,0.07225,3845550155.3,1652831999999,269355014.688893,610515,2004491563.4,140399586.244015,0
1652832000000,0.07225,0.07509,0.06944,0.07124,3289388978.6,1653091199999,238214767.51746,557795,1727806244.6,125191378.631528,0
1653091200000,0.07124,0.08263,0.07044,0.07616,3311877366.3,1653350399999,254492650.481219,600453,1734110846.1,133075579.107283,0
1653350400000,0.07618,0.08836,0.07593,0.08223,6740789368.1,1653609599999,552909148.176641,1203310,3350421750.7,274811889.359067,0
1653609600000,0.08224,0.08402,0.07813,0.08055,3844536370.1,1653868799999,310521793.940822,734917,1905283293.4,153933850.119022,0
1653868800000,0.08054,0.09222,0.07933,0.08356,5856359513.8,1654127999999,496409640.65649,1069896,3057983291.1,259305880.049698,0
1654128000000,0.08356,0.08645,0.07627,0.08043,4154716481.3,1654387199999,339066727.114813,731827,2073652981.5,169211355.639357,0
1654387200000,0.08043,0.08486,0.07887,0.08186,2700571118.8,1654646399999,220442855.630767,507934,1393645840.7,113793995.297004,0
1654646400000,0.08186,0.08266,0.07883,0.07893,2202254162.3,1654905599999,177699219.066721,388544,1126481190.1,90909436.628602,0
1654905600000,0.07893,0.08035,0.0606,0.06387,8473659775.5,1655164799999,583814800.095782,1219806,4277489178.2,295289834.20164,0
1655164800000,0.06386,0.06577,0.04664,0.05923,16677165953.8,1655423999999,946789765.682676,2313084,8309597820.2,471389019.679298,0
1655424000000,0.05924,0.06386,0.05707,0.06132,6257296373.3,1655683199999,378442782.702415,904908,3236752086.4,195866628.066424,0
1655683200000,0.06132,0.06686,0.05946,0.0631,3414928667.0,1655942399999,215317235.546713,607806,1767571653.2,111487695.615167,0
1655942400000,0.0631,0.06673,0.06181,0.0648,2072850025.9,1656201599999,133584219.501516,437519,1093894194.1,70516510.746239,0
1656201600000,0.0648,0.07046,0.06402,0.06591,2961828946.6,1656460799999,198762270.060021,540128,1452082023.4,97470033.117367,0
1656460800000,0.06591,0.06675,0.06192,0.06512,2746145663.4,1656719999999,177678425.02163,451666,1363914532.9,88272092.165335,0
1656720000000,0.06511,0.06769,0.0625,0.06733,1811830144.5,1656979199999,118363234.903561,361305,926602885.9,60594581.223174,0
1656979200000,0.06733,0.06978,0.06615,0.06862,1986642297.7,1657238399999,134534112.889567,388285,1035431686.6,70152653.905501,0
1657238400000,0.06862,0.07153,0.06722,0.06763,1625927976.4,1657497599999,112397183.724258,330797,841335844.2,58182403.121129,0
1657497600000,0.06764,0.06775,0.06365,0.06624,1939532879.9,1657756799999,126676678.467336,359616,966120055.4,63109851.767412,0
1657756800000,0.06625,0.06944,0.06497,0.06895,1757713843.5,1658015999999,117725392.75832,302155,924307755.4,61924515.457151,0
1658016000000,0.06895,0.07079,0.06726,0.06909,2490921271.1,1658275199999,171385132.119853,430171,1265736197.8,87096595.679506,0
1658275200000,0.0691,0.07033,0.06641,0.067,2041668770.1,1658534399999,139283072.200369,393969,1043894012.5,71229766.64824,0
1658534400000,0.067,0.0679,0.06364,0.06369,1681647630.2,1658793599999,111446720.833671,307819,850290700.0,56380374.463416,0
1658793600000,0.0637,0.07044,0.06297,0.06968,1804497361.3,1659052799999,120322073.59028,383639,953433380.2,63649421.06542,0
