open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640966400000,0.07763,0.07764,0.07354,0.07539,301978518.6,1640995199999,22736713.480841,61980,152935782.4,11519571.578705,0
1640995200000,0.07536,0.07665,0.07524,0.07617,485300108.5,1641023999999,36890524.942986,34795,251798366.7,19139782.443313,0
1641024000000,0.07617,0.07674,0.07547,0.07643,590915242.0,1641052799999,44934118.744837,41463,282260928.1,21463886.169923,0
1641052800000,0.07642,0.07683,0.07597,0.0766,561612961.6,1641081599999,42883914.670821,33554,302199993.9,23073455.781192,0
1641081600000,0.07661,0.07787,0.07606,0.07631,464170252.5,1641110399999,35484087.47913,36893,249895033.5,19105787.628446,0
1641110400000,0.0763,0.078,0.07599,0.07792,580891840.6,1641139199999,44684079.830218,47816,281469096.3,21651135.131225,0
1641139200000,0.07792,0.07834,0.07683,0.07762,689524638.5,1641167999999,53474859.201494,44443,362950323.1,28150258.985076,0
1641168000000,0.07761,0.07812,0.07671,0.07687,540458157.2,1641196799999,41889956.660025,46018,276843483.1,21451493.444659,0
1641196800000,0.07686,0.07824,0.07668,0.07739,593438691.3,1641225599999,46014306.209272,61110,297964170.0,23104232.973621,0
1641225600000,0.07739,0.07755,0.07625,0.07705,624430296.3,1641254399999,48081707.852172,51751,306019461.2,23566395.206103,0
1641254400000,0.07705,0.0772,0.07593,0.07685,506315902.3,1641283199999,38718958.951746,41937,252972751.4,19344960.468807,0
1641283200000,0.07685,0.07809,0.07662,0.07725,647307838.9,1641311999999,50071211.088223,68038,316693362.1,24498058.347712,0
1641312000000,0.07725,0.07746,0.07575,0.07592,646400801.5,1641340799999,49536281.853744,57219,330449421.5,25323968.113802,0
1641340800000,0.07593,0.07728,0.07574,0.07708,506888125.7,1641369599999,38799577.718934,44060,260362351.7,19931821.982486,0
1641369600000,0.07709,0.07745,0.07608,0.07705,617302574.0,1641398399999,47423053.310037,64625,318309428.6,24455858.570427,0
1641398400000,0.07704,0.0771,0.0691,0.07112,708579014.0,1641427199999,52422184.691778,132646,339385215.5,25145943.434771,0
1641427200000,0.07113,0.07137,0.06925,0.07071,1298617735.5,1641455999999,91474902.339368,72674,640965035.5,45136350.411066,0
1641456000000,0.07072,0.07079,0.06926,0.07038,1185406000.5,1641484799999,83125845.853329,78549,582145117.9,40813568.110833,0
1641484800000,0.07038,0.07149,0.07007,0.07106,760946965.9,1641513599999,54042958.551486,48008,367315490.7,26091227.011924,0
1641513600000,0.07107,0.07119,0.06654,0.06765,931618922.8,1641542399999,64140793.606877,88715,487237411.6,33563763.413892,0
1641542400000,0.06766,0.06918,0.06652,0.06738,911573732.8,1641571199999,62407948.892314,93964,468301008.7,32055099.543454,0
1641571200000,0.06737,0.06879,0.06659,0.0682,510048878.4,1641599999999,34749727.656585,56685,264406756.0,18012198.43572,0
1641600000000,0.06821,0.06914,0.06792,0.06889,183221049.3,1641628799999,12592680.450442,39827,93619505.4,6433748.086215,0
1641628800000,0.06888,0.06918,0.06652,0.06684,540922315.2,1641657599999,36841878.456932,61904,275754310.1,18785427.109543,0
1641657600000,0.06684,0.06705,0.06402,0.06539,397859031.1,1641686399999,26057681.550158,83208,192470604.8,12589087.840503,0
1641686400000,0.06539,0.06629,0.0649,0.06584,304283421.7,1641715199999,20022819.51591,38919,159359093.6,10487107.690298,0
1641715200000,0.06584,0.0661,0.06503,0.06555,387251889.1,1641743999999,25360830.839106,45505,199913978.4,13091137.773251,0
1641744000000,0.06555,0.06724,0.06539,0.06611,650695689.6,1641772799999,43351211.983861,50448,348098661.3,23188520.98572,0
1641772800000,0.06611,0.06692,0.06589,0.06672,528547825.1,1641801599999,35057416.371176,35752,286767077.6,19022447.754589,0
1641801600000,0.06672,0.0668,0.06111,0.06289,799353400.0,1641830399999,51565243.688883,99507,392594739.7,25346131.704457,0
1641830400000,0.0629,0.06513,0.06191,0.06342,547500457.0,1641859199999,34756585.659077,74167,280365779.0,17795816.684883,0
1641859200000,0.06343,0.06435,0.0629,0.06431,398258251.6,1641887999999,25461985.023903,39924,197681866.5,12638583.722361,0
1641888000000,0.06431,0.06465,0.06334,0.06419,952572963.6,1641916799999,60959167.549104,64250,515170746.8,32973105.871921,0
1641916800000,0.06419,0.06566,0.06405,0.06493,233382267.0,1641945599999,15135192.965763,52305,122683167.6,7955793.651802,0
1641945600000,0.06493,0.06596,0.06491,0.06566,461110230.4,1641974399999,30234193.054671,39943,246200763.0,16144522.218698,0
1641974400000,0.06566,0.06825,0.06561,0.06781,652686174.8,1642003199999,43806510.311751,80994,333013451.6,22344947.808821,0
1642003200000,0.0678,0.06834,0.06744,0.06806,357613990.7,1642031999999,24289046.048672,40958,181801959.5,12347751.143732,0
1642032000000,0.06807,0.0684,0.06718,0.06827,467721357.3,1642060799999,31749978.522694,40673,237472276.4,16119074.14928,0
1642060800000,0.06827,0.06856,0.06632,0.06681,916025209.6,1642089599999,62113000.340231,71314,459972261.2,31190725.359392,0
1642089600000,0.06681,0.06737,0.06593,0.0662,446341407.4,1642118399999,29765569.479039,48287,231896188.0,15465814.462186,0
1642118400000,0.06621,0.06793,0.06587,0.06746,561433268.6,1642147199999,37623127.608053,45169,286223796.7,19182216.25235,0
1642147200000,0.06746,0.06798,0.06591,0.06736,734100748.2,1642175999999,49139883.6999,71915,357090246.5,23901548.676878,0
1642176000000,0.06736,0.0685,0.06712,0.06765,453711152.1,1642204799999,30734719.728542,45226,236581261.7,16028258.499833,0
1642204800000,0.06765,0.0684,0.06737,0.06839,400135781.5,1642233599999,27156991.791674,33016,208217772.1,14132177.592944,0
1642233600000,0.0684,0.06872,0.067,0.06871,460086239.8,1642262399999,31319169.371977,55713,228377021.9,15549149.600188,0
1642262400000,0.06871,0.06934,0.06842,0.06842,154076563.4,1642291199999,10606375.118281,40593,76323729.2,5254643.794948,0
1642291200000,0.06841,0.07039,0.06829,0.06993,377855733.3,1642319999999,26233742.275769,50371,201572937.1,13996319.115434,0
1642320000000,0.06993,0.07029,0.06902,0.06947,507970234.9,1642348799999,35442200.73589,58819,260377192.2,18168035.062003,0
1642348800000,0.06948,0.07002,0.06917,0.06988,392779106.1,1642377599999,27347085.026552,37423,190369010.7,13255329.156072,0
1642377600000,0.06988,0.0712,0.06889,0.0703,800318945.4,1642406399999,56061936.048185,78118,390013727.8,27316667.422075,0
1642406400000,0.0703,0.07244,0.07012,0.07067,674797940.5,1642435199999,48086403.237776,95097,358065085.2,25512375.741136,0
1642435200000,0.07066,0.07098,0.06964,0.07085,789346025.9,1642463999999,55512787.93704,64226,398633888.0,28032822.365308,0
1642464000000,0.07085,0.07138,0.06865,0.06903,611363631.7,1642492799999,42588536.133751,67825,309371347.6,21549839.221042,0
1642492800000,0.06902,0.06906,0.06753,0.06816,635353154.6,1642521599999,43358432.607622,67377,320753107.7,21887260.887268,0
1642521600000,0.06816,0.06912,0.06743,0.06846,573715204.8,1642550399999,39106900.484263,45429,296213196.7,20189551.488091,0
1642550400000,0.06846,0.06859,0.0665,0.06684,727354363.6,1642579199999,49352977.922607,58628,360331157.1,24453631.553694,0
1642579200000,0.06684,0.06964,0.06612,0.06859,801454087.0,1642607999999,54576215.813138,71886,398009282.8,27097492.150006,0
1642608000000,0.06858,0.06964,0.06827,0.06915,751216343.6,1642636799999,51864613.140725,50334,382382928.0,26399287.392337,0
1642636800000,0.06915,0.06989,0.06802,0.06886,705320657.8,1642665599999,48551657.851529,51094,354611442.4,24409225.271013,0
1642665600000,0.06887,0.07206,0.06859,0.07174,699152719.9,1642694399999,49166994.232593,79797,355903711.6,25022050.199285,0
1642694400000,0.07175,0.07197,0.06744,0.06773,330633316.9,1642723199999,23125303.634494,70074,162807008.8,11394873.861437,0
1642723200000,0.06771,0.06863,0.06579,0.06669,987279820.0,1642751999999,65888378.436584,88408,491229224.9,32783049.069187,0
1642752000000,0.06669,0.06714,0.06355,0.0646,1077567570.2,1642780799999,70812935.230225,93790,543494997.5,35708349.583622,0
1642780800000,0.06461,0.06489,0.05971,0.06103,532878567.4,1642809599999,33184656.830602,106457,265106996.3,16510919.475169,0
1642809600000,0.06103,0.06201,0.0549,0.05515,1105889734.5,1642838399999,65350395.609959,104566,551611619.5,32588541.235854,0
1642838400000,0.05514,0.05899,0.05265,0.05538,1439437679.8,1642867199999,80903514.501474,145089,727432687.1,40918721.943073,0
1642867200000,0.05538,0.05767,0.05487,0.0568,596958453.2,1642895999999,33547379.001745,89801,308721124.5,17350229.818127,0
1642896000000,0.05679,0.05817,0.05624,0.05786,686982472.4,1642924799999,39341530.953469,74269,355006036.3,20328791.20691,0
1642924800000,0.05784,0.05854,0.05535,0.05618,682750052.6,1642953599999,39234588.931989,83166,353505213.0,20315638.311177,0
1642953600000,0.05616,0.05826,0.05548,0.05752,369772646.4,1642982399999,20896592.193812,62684,191788510.2,10838943.378474,0
1642982400000,0.0575,0.05755,0.05461,0.05497,593253882.4,1643011199999,32868998.862062,72503,311459869.1,17253024.622451,0
1643011200000,0.05497,0.05576,0.05101,0.05332,1252605619.1,1643039999999,66134676.177085,156213,625609354.7,33017565.303745,0
1643040000000,0.05332,0.05566,0.05177,0.05506,865836572.7,1643068799999,46696973.051546,100466,450073033.0,24270921.682894,0
1643068800000,0.05504,0.05581,0.05429,0.05474,651204484.9,1643097599999,35757033.52562,57969,329888869.6,18111736.198357,0
1643097600000,0.05474,0.05591,0.0543,0.05504,641652547.2,1643126399999,35371036.982451,75291,330615135.7,18224846.872103,0
1643126400000,0.05505,0.05616,0.0549,0.05588,447527869.9,1643155199999,24883767.80528,52824,228877766.3,12725988.209774,0
1643155200000,0.05589,0.05694,0.05535,0.0565,443310088.1,1643183999999,24896439.46154,50812,233113917.8,13091491.267991,0
1643184000000,0.0565,0.05804,0.05648,0.05755,444325744.1,1643212799999,25441429.689459,66185,231390500.2,13249675.654041,0
1643212800000,0.05755,0.05905,0.05534,0.0562,768966162.4,1643241599999,44014048.775974,104471,378033235.7,21658168.871676,0
1643241600000,0.05619,0.05655,0.05442,0.05554,483722108.4,1643270399999,26710543.099759,51111,233931094.4,12915473.078531,0
1643270400000,0.05553,0.05716,0.05524,0.05678,483848239.5,1643299199999,27284927.976976,59721,250365445.6,14121674.709633,0
1643299200000,0.05678,0.05693,0.05502,0.05649,425098831.6,1643327999999,23802634.298447,52485,201288195.3,11276766.042023,0
1643328000000,0.05649,0.05719,0.0558,0.05642,369163656.4,1643356799999,20905702.705145,42172,193174428.6,10939676.616028,0
1643356800000,0.05639,0.05692,0.05587,0.05691,434155515.1,1643385599999,24476318.057759,53731,222207538.9,12528634.268857,0
1643385600000,0.05691,0.05767,0.05639,0.05757,407062625.3,1643414399999,23232831.71137,42695,215466155.7,12298384.562726,0
1643414400000,0.05757,0.05851,0.05711,0.05849,369834862.4,1643443199999,21357507.648983,35087,193740408.6,11188633.868318,0
1643443200000,0.05849,0.05988,0.05823,0.05899,463383215.9,1643471999999,27300282.281917,56011,242655144.2,14300392.722228,0
1643472000000,0.05898,0.06039,0.05883,0.06034,283821950.9,1643500799999,16942808.924176,39492,141461974.9,8441465.842003,0
1643500800000,0.06035,0.06054,0.05921,0.06038,395645705.9,1643529599999,23732897.360832,48200,201257462.2,12074097.042726,0
1643529600000,0.06038,0.06042,0.05965,0.05998,348998583.5,1643558399999,20978502.035281,41935,175186249.3,10529261.848462,0
1643558400000,0.05999,0.06021,0.05821,0.05863,335616788.1,1643587199999,19815776.281351,39577,164414639.0,9700751.370706,0
1643587200000,0.05862,0.05875,0.05665,0.05745,392292677.9,1643615999999,22453809.400831,42622,188949071.3,10812666.682254,0
1643616000000,0.05746,0.05887,0.0574,0.05853,399211212.4,1643644799999,23161502.947307,46200,208418709.3,12092188.87781,0
1643644800000,0.05853,0.05938,0.05832,0.05906,298378979.3,1643673599999,17561944.356799,41844,156069942.7,9185930.36991,0
1643673600000,0.05909,0.05996,0.05897,0.05942,308240556.2,1643702399999,18325673.23397,31377,163006238.2,9690848.686873,0
1643702400000,0.05941,0.06006,0.05882,0.05966,472913221.9,1643731199999,28134045.22493,51708,249854580.6,14863334.28461,0
1643731200000,0.05966,0.06025,0.05945,0.05979,321934710.9,1643759999999,19256604.54869,37262,157492591.3,9421343.025167,0
1643760000000,0.05979,0.06062,0.05971,0.06044,361921508.8,1643788799999,21762872.022002,33549,187067617.1,11251093.472766,0
1643788800000,0.06044,0.06154,0.05987,0.05996,552561091.8,1643817599999,33581381.907879,61974,287395202.0,17471651.904014,0
1643817600000,0.05996,0.06036,0.05843,0.05847,476710200.8,1643846399999,28417345.199246,50873,230196798.8,13731950.172932,0
1643846400000,0.05847,0.05931,0.05836,0.05928,346151142.7,1643875199999,20367580.330857,30303,175698039.4,10338637.484001,0
1643875200000,0.05928,0.05943,0.05826,0.05922,389075584.7,1643903999999,22914949.359164,46542,199105412.3,11727322.750702,0
1643904000000,0.05922,0.05987,0.05873,0.05981,386946505.0,1643932799999,22913975.234404,34942,210303920.4,12452669.980604,0
1643932800000,0.05981,0.06368,0.05961,0.06359,577125018.5,1643961599999,35445167.788682,73780,313699940.9,19282654.546859,0
