open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609430400000,0.9995,0.9996,0.9993,0.9995,115822.94,1609432199999,115762.827587,136,82046.54,82004.829325,0
1609432200000,0.9995,0.9997,0.9994,0.9995,53998.56,1609433999999,53972.69233,95,19434.77,19426.927332,0
1609434000000,0.9995,0.9997,0.9987,0.9993,264895.23,1609435799999,264739.624288,276,69865.07,69832.755062,0
1609435800000,0.9994,0.9998,0.9992,0.9994,394971.61,1609437599999,394796.366699,352,284803.95,284664.008519,0
1609437600000,0.9994,0.9996,0.9992,0.9993,66936.65,1609439399999,66894.816194,114,4926.49,4923.577146,0
1609439400000,0.9993,0.9993,0.999,0.9991,105201.51,1609441199999,105113.872674,117,59848.83,59800.433073,0
1609441200000,0.9992,0.9993,0.9986,0.9988,400265.02,1609442999999,399846.441692,598,254891.29,254599.713922,0
1609443000000,0.9989,0.9989,0.9986,0.9988,164067.58,1609444799999,163858.173864,266,122133.76,121980.329361,0
1609444800000,0.9988,0.9988,0.9986,0.9987,157806.01,1609446599999,157613.420442,205,128830.21,128675.301788,0
1609446600000,0.9987,0.9988,0.9985,0.9987,119379.04,1609448399999,119218.549893,158,106298.59,106156.640588,0
1609448400000,0.9987,0.9988,0.9985,0.9987,55652.42,1609450199999,55578.98527,102,31960.59,31920.802764,0
1609450200000,0.9987,0.9991,0.9987,0.9989,158411.58,1609451999999,158238.980114,223,138259.43,138110.116759,0
1609452000000,0.9989,0.9991,0.9988,0.9988,226896.26,1609453799999,226649.429153,518,41316.11,41274.381291,0
1609453800000,0.9988,0.999,0.9987,0.9988,163312.98,1609455599999,163125.056902,139,90152.43,90049.836749,0
1609455600000,0.9989,0.9989,0.9986,0.9987,76938.06,1609457399999,76842.823383,137,33396.76,33358.187436,0
1609457400000,0.9987,0.9987,0.9985,0.9986,102378.94,1609459199999,102237.527228,127,37556.99,37507.612945,0
1609459200000,0.9986,0.9986,0.9981,0.9984,156523.34,1609460999999,156276.488407,195,107756.42,107592.813348,0
1609461000000,0.9984,0.9985,0.9981,0.9983,234681.94,1609462799999,234273.716892,205,79918.85,79784.235807,0
1609462800000,0.9983,0.9985,0.9981,0.9985,162496.4,1609464599999,162211.034156,135,57844.16,57747.313952,0
1609464600000,0.9982,0.9985,0.998,0.9981,609962.68,1609466399999,608887.214547,508,173353.78,173056.607691,0
1609466400000,0.9981,0.9983,0.998,0.998,810669.15,1609468199999,809128.060634,504,169671.73,169362.73654,0
1609468200000,0.998,0.9982,0.9979,0.9981,525778.27,1609469999999,524733.808614,405,58698.41,58588.110767,0
1609470000000,0.9982,0.9982,0.9979,0.9982,225473.61,1609471799999,225054.271188,305,183446.3,183107.087686,0
1609471800000,0.9982,0.9982,0.9981,0.9981,55346.98,1609473599999,55245.180484,112,34347.34,34285.4398,0
1609473600000,0.9982,0.9985,0.998,0.9981,146708.23,1609475399999,146441.768248,230,73953.0,73820.592021,0
1609475400000,0.9981,0.9985,0.9976,0.998,369308.42,1609477199999,368631.660877,641,269849.68,269364.627636,0
1609477200000,0.998,0.9984,0.998,0.9983,63344.32,1609478999999,63230.209432,103,10548.03,10529.298943,0
1609479000000,0.9983,0.9984,0.9981,0.9983,91665.22,1609480799999,91507.530474,91,20411.16,20376.466749,0
1609480800000,0.9983,0.9983,0.9982,0.9982,89543.8,1609482599999,89383.01088,108,3647.24,3641.039692,0
1609482600000,0.9983,0.9984,0.9981,0.9983,155486.55,1609484399999,155215.379878,163,70824.92,70702.691116,0
1609484400000,0.9983,0.9984,0.9981,0.9984,253832.9,1609486199999,253405.743614,406,150363.24,150113.704576,0
1609486200000,0.9983,0.9984,0.998,0.9981,65036.8,1609487999999,64915.176062,318,31891.39,31831.458471,0
1609488000000,0.9982,0.9984,0.998,0.9984,143151.43,1609489799999,142893.728013,260,80480.46,80336.606502,0
1609489800000,0.9984,0.9984,0.9981,0.9983,107461.32,1609491599999,107274.327938,262,54105.93,54015.317595,0
1609491600000,0.9982,0.9984,0.9981,0.9981,187393.45,1609493399999,187056.87829,266,35733.39,35672.37408,0
1609493400000,0.9982,0.9983,0.998,0.998,154944.25,1609495199999,154644.128533,232,15310.35,15282.746622,0
1609495200000,0.998,0.9981,0.9977,0.9978,143186.16,1609496999999,142893.553051,257,12510.64,12485.743275,0
1609497000000,0.9978,0.9979,0.9977,0.9978,58519.08,1609498799999,58386.807077,113,8234.61,8216.688625,0
1609498800000,0.9977,0.9979,0.9976,0.9978,172756.51,1609500599999,172360.172946,287,34080.19,34004.95124,0
1609500600000,0.9978,0.9978,0.9976,0.9977,96241.96,1609502399999,96023.060709,168,35440.8,35362.111196,0
1609502400000,0.9976,0.9979,0.9976,0.9978,211307.15,1609504199999,210836.404219,402,165595.33,165227.751728,0
1609504200000,0.9978,0.998,0.9975,0.9977,377649.47,1609505999999,376779.874675,590,231879.44,231346.829913,0
1609506000000,0.9976,0.9977,0.9975,0.9977,308552.51,1609507799999,307825.165697,281,168753.47,168362.958182,0
1609507800000,0.9977,0.9979,0.9975,0.9977,132298.17,1609509599999,132000.415896,341,58950.83,58823.795828,0
1609509600000,0.9977,0.9978,0.9975,0.9976,217717.12,1609511399999,217195.301822,239,27394.21,27331.223115,0
1609511400000,0.9975,0.998,0.9975,0.998,212596.71,1609513199999,212084.170648,278,63903.46,63758.520019,0
1609513200000,0.9979,0.998,0.9977,0.998,157190.1,1609514999999,156856.121389,295,71215.7,71067.12491,0
1609515000000,0.998,0.998,0.9975,0.9978,150636.25,1609516799999,150306.815759,423,97619.07,97407.991932,0
1609516800000,0.9978,0.9979,0.9975,0.9976,201089.72,1609518599999,200625.166112,368,53904.42,53782.676761,0
1609518600000,0.9976,0.998,0.9975,0.9977,369374.9,1609520399999,368553.686364,703,202862.96,202428.406603,0
1609520400000,0.9976,0.9977,0.9975,0.9975,191976.22,1609522199999,191498.687269,306,10362.42,10338.320629,0
1609522200000,0.9975,0.9977,0.9975,0.9975,623907.14,1609523999999,622354.242249,688,31856.21,31780.345264,0
1609524000000,0.9975,0.9978,0.9975,0.9977,218730.26,1609525799999,218208.275122,335,74234.81,74064.837178,0
1609525800000,0.9978,0.9981,0.9977,0.9979,157420.83,1609527599999,157091.761622,299,87343.16,87163.146644,0
