open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1678536000000,1.0,1.19,0.9612,0.9821,1863098.0,1678550399999,1837387.8449,2580,715565.0,706719.0639,0
1678550400000,0.9832,0.999,0.9815,0.9908,3412797.0,1678564799999,3381982.7672,1275,2811836.0,2786503.77,0
1678564800000,0.9908,0.995,0.984,0.9928,307131.0,1678579199999,304454.9228,1500,167265.0,166050.2694,0
1678579200000,0.9928,0.9947,0.9828,0.9904,2394092.0,1678593599999,2377223.705,1625,591950.0,588365.4386,0
1678593600000,0.9904,0.9924,0.984,0.9891,543214.0,1678607999999,537431.4529,1243,97156.0,96271.9065,0
1678608000000,0.9889,0.996,0.9862,0.995,3037762.0,1678622399999,3019735.5928,1130,503320.0,500146.8787,0
1678622400000,0.995,0.9966,0.9901,0.9948,11598248.0,1678636799999,11536212.2349,2289,983173.0,978019.3057,0
1678636800000,0.9948,0.9966,0.9903,0.9941,14302555.0,1678651199999,14226208.7889,2207,1254367.0,1247871.3991,0
1678651200000,0.9942,0.9985,0.9908,0.994,1378993.0,1678665599999,1373211.7561,638,279513.0,278557.445,0
1678665600000,0.9942,0.997,0.9925,0.9954,10465602.0,1678679999999,10404444.4672,1256,4821552.0,4791575.5109,0
1678680000000,0.9953,0.9956,0.9883,0.9899,3312969.0,1678694399999,3292352.0671,2415,1364886.0,1357256.2331,0
1678694400000,0.9897,0.995,0.9896,0.9947,1688841.0,1678708799999,1676545.403,1777,518748.0,515078.1421,0
1678708800000,0.9932,0.9965,0.993,0.9962,1348408.0,1678723199999,1342344.8891,490,950052.0,946211.996,0
1678723200000,0.996,0.9964,0.9865,0.9963,1131690.0,1678737599999,1124118.1648,651,633495.0,629597.9659,0
1678737600000,0.9946,0.9962,0.9944,0.996,79113.0,1678751999999,78784.8235,90,47276.0,47089.4475,0
1678752000000,0.9955,0.9965,0.995,0.9964,640277.0,1678766399999,637721.1451,117,610579.0,608158.1942,0
1678766400000,0.9964,0.9964,0.9931,0.9954,545059.0,1678780799999,542301.5299,296,29087.0,28943.9681,0
1678780800000,0.9947,0.9967,0.9905,0.996,1085147.0,1678795199999,1080588.4485,534,864842.0,861526.3153,0
1678795200000,0.996,0.997,0.9937,0.9961,1395774.0,1678809599999,1390149.4198,1040,1246175.0,1241304.4024,0
1678809600000,0.9968,0.9969,0.9945,0.9949,810306.0,1678823999999,807055.0268,783,664637.0,662052.0795,0
1678824000000,0.9949,0.9979,0.9941,0.9974,3675012.0,1678838399999,3657940.8879,357,3345686.0,3330063.4095,0
1678838400000,0.9973,0.9978,0.9955,0.9957,349445.0,1678852799999,348185.4265,793,70957.0,70739.4526,0
1678852800000,0.9957,0.999,0.9942,0.996,839355.0,1678867199999,835941.0635,939,168942.0,168268.2184,0
1678867200000,0.996,0.9979,0.9946,0.9949,2291667.0,1678881599999,2281388.9221,1171,683443.0,680313.7506,0
1678881600000,0.9949,0.998,0.9948,0.9967,1709855.0,1678895999999,1703034.6289,1905,1200279.0,1195650.5757,0
1678896000000,0.997,0.9995,0.9966,0.9982,1326357.0,1678910399999,1323626.7244,1806,995320.0,993389.7993,0
1678910400000,0.9982,0.9995,0.996,0.9966,991390.0,1678924799999,988703.2461,992,502937.0,501867.2076,0
1678924800000,0.9962,0.9984,0.9962,0.9973,626399.0,1678939199999,624469.0716,930,447410.0,446072.7323,0
1678939200000,0.9973,0.9982,0.9965,0.9965,1712456.0,1678953599999,1707785.2433,1309,867164.0,864890.9335,0
1678953600000,0.9968,0.9981,0.9961,0.9972,1571009.0,1678967999999,1566787.8416,1608,1008007.0,1005446.6444,0
1678968000000,0.9972,0.9986,0.9967,0.9977,1936388.0,1678982399999,1931542.2251,1939,1525842.0,1522160.8104,0
1678982400000,0.998,0.9991,0.9975,0.9981,1185585.0,1678996799999,1183939.0492,1200,1051756.0,1050382.3699,0
1678996800000,0.9983,0.9985,0.9978,0.9978,175691.0,1679011199999,175357.7244,624,88493.0,88347.1098,0
1679011200000,0.9978,0.9987,0.997,0.9979,788644.0,1679025599999,786994.6538,1259,279784.0,279283.756,0
1679025600000,0.9979,0.9987,0.997,0.9973,1465866.0,1679039999999,1463007.4527,1330,479768.0,478835.318,0
1679040000000,0.9974,0.998,0.997,0.9977,596741.0,1679054399999,595359.2535,1310,359931.0,359166.0694,0
1679054400000,0.9977,0.999,0.9967,0.9987,1290782.0,1679068799999,1288335.8528,1718,809264.0,807867.5659,0
1679068800000,0.9987,0.9989,0.9975,0.9982,555115.0,1679083199999,554277.0643,1284,309117.0,308734.4332,0
1679083200000,0.9982,0.9989,0.998,0.9984,376468.0,1679097599999,375842.4045,1265,127631.0,127464.3555,0
1679097600000,0.9984,0.9988,0.9982,0.9987,1792710.0,1679111999999,1789875.0651,712,1672311.0,1669680.2434,0
1679112000000,0.9987,0.9989,0.9983,0.9983,643400.0,1679126399999,642572.054,397,345196.0,344793.2866,0
1679126400000,0.9983,0.9989,0.998,0.9986,669952.0,1679140799999,668867.3434,805,381596.0,381054.2103,0
1679140800000,0.9986,0.9986,0.9971,0.9973,2061029.0,1679155199999,2056674.2655,1142,1816128.0,1812326.1728,0
1679155200000,0.9973,0.9983,0.9962,0.997,1291798.0,1679169599999,1287595.9156,1218,1162391.0,1158622.4872,0
1679169600000,0.997,0.998,0.9964,0.9973,1071210.0,1679183999999,1067900.5414,628,1056111.0,1052850.1189,0
1679184000000,0.9973,0.998,0.9966,0.9975,151244.0,1679198399999,150839.3648,844,70527.0,70363.1517,0
1679198400000,0.9975,0.9983,0.9967,0.9978,349152.0,1679212799999,348231.6614,704,244337.0,243725.9359,0
1679212800000,0.9982,0.9983,0.997,0.9972,195980.0,1679227199999,195464.8787,1051,87521.0,87302.5003,0
1679227200000,0.9974,0.9975,0.9969,0.9972,375772.0,1679241599999,374719.3435,1839,202062.0,201525.256,0
1679241600000,0.9972,0.9987,0.9968,0.9972,478644.0,1679255999999,477473.0757,2292,285947.0,285324.9161,0
1679256000000,0.9972,0.9973,0.9962,0.997,605662.0,1679270399999,603877.9091,1442,393152.0,392078.0499,0
1679270400000,0.997,0.9973,0.9963,0.9971,798928.0,1679284799999,796610.4255,1321,562865.0,561304.8505,0
1679284800000,0.9971,0.9974,0.997,0.9971,911996.0,1679299199999,909475.0981,792,444741.0,443523.0973,0
1679299200000,0.9972,0.9975,0.9965,0.9972,1929334.0,1679313599999,1923463.2481,1384,586671.0,584913.872,0
1679313600000,0.9972,0.9984,0.9965,0.9977,1083792.0,1679327999999,1080538.6234,1821,478851.0,477469.7102,0
