open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1546819200000,0.9884,0.9939,0.9728,0.9902,24514894.97,1547423999999,24262634.050739,60576,7837693.38,7763397.309649,0
1547424000000,0.9902,1.002,0.986,1.0006,18604913.47,1548028799999,18476229.025547,38768,5026286.98,4998226.405491,0
1548028800000,1.0006,1.0075,0.9969,1.0064,13424499.61,1548633599999,13431959.91839,40214,4920532.69,4927557.996151,0
1548633600000,1.0062,1.014,1.0,1.0132,16519454.08,1549238399999,16624821.522334,45846,6712997.62,6761342.165384,0
1549238400000,1.0123,10.11,1.004,1.0089,12242894.98,1549843199999,12403881.105197,40099,5545949.71,5631403.48328,0
1549843200000,1.0078,1.0165,1.0066,1.0123,11523252.6,1550447999999,11651165.702301,38160,5149523.49,5209353.658658,0
1550448000000,1.0126,1.0215,1.0002,1.0035,22207717.79,1551052799999,22366200.049276,71540,9586440.94,9664072.510034,0
1551052800000,1.0035,1.0094,1.0011,1.0058,13685527.8,1551657599999,13748186.477541,42319,5997079.78,6027366.612961,0
1551657600000,1.0058,1.0079,1.001,1.0048,16090039.86,1552262399999,16155401.694894,37972,7467584.03,7501313.682812,0
1552262400000,1.0055,1.0105,1.0002,1.0042,16367180.01,1552867199999,16456771.535684,38938,6709176.49,6750465.992412,0
1552867200000,1.0042,1.007,1.0,1.005,15866067.86,1553471999999,15928793.192785,34260,4655009.76,4676362.060814,0
1553472000000,1.005,1.0089,1.0008,1.0025,14734248.5,1554076799999,14797478.564475,28991,5919180.53,5946149.858591,0
1554076800000,1.0025,1.0049,0.9731,0.9954,38303273.86,1554681599999,38097364.670211,93545,14393984.72,14325034.357409,0
1554681600000,0.9964,0.9995,0.981,0.9933,25491008.34,1555286399999,25286816.364726,61163,10420230.62,10343168.582213,0
1555286400000,0.9933,1.001,0.9912,0.9921,25079457.36,1555891199999,24967424.279456,66769,8384099.08,8353443.033321,0
1555891200000,0.9921,1.0799,0.9915,1.0302,53069679.95,1556495999999,54057871.105568,110453,23159321.73,23614198.752948,0
1556496000000,1.0302,1.0309,1.0061,1.0097,46926937.1,1557100799999,47650565.982988,121828,16781679.02,17075301.243497,0
1557100800000,1.0102,1.0249,0.997,1.0041,58673377.88,1557705599999,59082841.664486,196414,22478220.53,22665476.39975,0
1557705600000,1.0041,1.0247,0.9887,0.9942,92509411.85,1558310399999,92369022.943023,340555,40051975.43,40032535.994037,0
1558310400000,0.9939,1.012,0.9852,0.9866,65571196.56,1558915199999,65261810.663447,210039,26840246.53,26743581.517895,0
1558915200000,0.987,1.01,0.9856,0.9984,71809903.08,1559519999999,71660677.468384,243930,36067163.56,36020529.159728,0
1559520000000,0.9985,1.01,0.9939,0.9988,57724750.73,1560124799999,57720883.727576,187039,30373902.07,30390487.907218,0
1560124800000,0.9987,1.0006,0.9925,0.9975,61330170.8,1560729599999,61075901.914629,168586,23608465.94,23526860.831806,0
