open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577815200000,1.0036,1.0044,1.003,1.0036,751564.43,1577836799999,754568.763603,1714,486109.2,488085.271811,0
1577836800000,1.0036,1.0042,1.0029,1.0039,342781.82,1577858399999,344016.652953,1090,156881.57,157466.270253,0
1577858400000,1.0039,1.0041,1.0032,1.0035,846770.37,1577879999999,849755.448584,1512,157464.86,158066.494167,0
1577880000000,1.0036,1.0037,1.0026,1.0026,876914.79,1577901599999,879558.00813,1525,136404.35,136833.128821,0
1577901600000,1.0029,1.0038,1.0025,1.0035,468352.7,1577923199999,469792.088374,1107,167705.39,168253.23677,0
1577923200000,1.0032,1.0044,1.003,1.0042,833049.56,1577944799999,836301.165445,1432,632024.06,634556.654855,0
1577944800000,1.0041,1.0047,1.0031,1.0037,514684.08,1577966399999,516727.123119,1296,296581.92,297809.588488,0
1577966400000,1.0037,1.0044,1.0028,1.0029,4087322.98,1577987999999,4101075.050887,4816,2802691.81,2812179.050449,0
1577988000000,1.0029,1.004,1.0024,1.0027,703356.96,1578009599999,705394.660157,2040,275487.58,276340.300073,0
1578009600000,1.0026,1.0039,1.0016,1.0024,1814556.09,1578031199999,1818944.740239,4229,617115.35,618771.567909,0
1578031200000,1.0024,1.0026,1.0012,1.0013,1827700.83,1578052799999,1830978.184775,3431,291999.1,292579.762019,0
1578052800000,1.0017,1.002,1.0006,1.0007,3053736.18,1578074399999,3057410.079493,6102,715978.22,717096.371315,0
1578074400000,1.0007,1.0017,1.0005,1.0011,721056.1,1578095999999,721820.344527,2134,312600.21,313002.321172,0
1578096000000,1.0012,1.0017,1.0005,1.0013,493523.0,1578117599999,494085.524325,1371,241496.79,241815.298318,0
1578117600000,1.0015,1.0016,1.0008,1.0016,964687.56,1578139199999,965824.101867,1117,243107.89,243445.684291,0
1578139200000,1.0013,1.002,1.001,1.0016,477780.76,1578160799999,478543.074051,1108,213238.49,213610.042091,0
1578160800000,1.0016,1.0019,1.0008,1.0008,854690.29,1578182399999,855818.954958,2100,189914.95,190190.602082,0
1578182400000,1.001,1.0015,1.0003,1.0007,1402389.23,1578203999999,1403660.664068,2947,284826.31,285122.852803,0
1578204000000,1.0008,1.001,1.0,1.0001,776963.13,1578225599999,777207.337551,1422,43197.32,43223.493933,0
1578225600000,1.0001,1.0009,1.0,1.0006,708211.45,1578247199999,708428.984273,1922,286491.6,286646.609598,0
1578247200000,1.0006,1.0017,1.0001,1.001,674052.43,1578268799999,674752.860064,2533,468947.36,469490.948447,0
1578268800000,1.001,1.0013,1.0001,1.0009,1355639.64,1578290399999,1356545.562045,3028,541887.75,542286.543856,0
1578290400000,1.0008,1.0014,1.0005,1.001,1200750.97,1578311999999,1201933.340746,2500,448932.35,449419.707692,0
1578312000000,1.0011,1.0015,1.0005,1.0008,1291196.7,1578333599999,1292242.687404,2718,487843.26,488336.916754,0
1578333600000,1.0008,1.0012,0.9998,0.9999,2338796.69,1578355199999,2339436.359947,4135,423322.07,423566.133502,0
1578355200000,0.9999,1.0012,0.9995,0.9998,3184161.64,1578376799999,3183956.771007,5111,740281.87,740443.962574,0
1578376800000,0.9999,1.0007,0.9998,1.0001,1751562.37,1578398399999,1752054.649875,2306,443918.69,444042.760399,0
1578398400000,1.0001,1.0008,0.9997,0.9999,2771959.14,1578419999999,2772517.75902,4600,1236930.98,1237399.202465,0
1578420000000,0.9999,1.0002,0.9991,0.9991,2301673.99,1578441599999,2300643.73169,6194,603126.38,602957.354765,0
1578441600000,0.9992,1.0006,0.9983,0.9999,4636649.09,1578463199999,4633816.73999,8824,1416722.36,1416128.137373,0
1578463200000,0.9999,1.0006,0.9996,0.9997,2454945.24,1578484799999,2455303.695019,2845,561206.59,561365.282118,0
1578484800000,0.9999,1.0012,0.9998,1.0001,3228860.1,1578506399999,3230037.773105,6997,1119647.49,1120413.608898,0
1578506400000,1.0001,1.0015,1.0,1.001,1189355.35,1578527999999,1190310.956573,3587,817625.37,818376.770059,0
1578528000000,1.001,1.0014,1.0,1.0,1312084.8,1578549599999,1312848.187197,3212,376791.34,377156.811523,0
1578549600000,1.0001,1.0009,0.9998,1.0005,1955434.38,1578571199999,1956276.982105,3796,591667.15,592041.660158,0
