open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,0.9999,1.0006,0.9992,0.9998,3690220039.0,1643673599999,3689716100.224,1148668,1732387459.0,1732202450.6665,0
1643673600000,0.9997,0.9999,0.999,0.9997,3096845594.0,1646092799999,3095258427.32,1245712,1504263699.0,1503550544.2207,0
1646092800000,0.9997,1.0003,0.9991,0.9998,5520613467.0,1648771199999,5518801064.0281,2321785,2725733143.0,2724911857.6818,0
1648771200000,0.9997,1.0002,0.9995,0.9998,4781625433.0,1651363199999,4780759273.2734,2265858,2483356443.0,2482978350.2682,0
1651363200000,0.9998,3.99,0.9996,1.0008,13948915764.18,1654041599999,14014485280.909502,4676856,6760465688.18,6793265325.723302,0
1654041600000,1.0008,1.0036,1.0004,1.0013,10875517916.0,1656633599999,10888705031.8369,2723098,5382156300.0,5388852800.9697,0
1656633600000,1.0013,1.0014,0.9994,0.9996,8368186117.0,1659311999999,8371038070.3359,2300711,4032560987.0,4034001553.2151,0
1659312000000,0.9996,1.0003,0.9991,1.0001,6953751224.0,1661990399999,6952768434.9654,2106061,3437213724.0,3436793861.8528,0
1661990400000,1.0001,1.0003,0.9995,0.9999,4549133087.0,1664161199999,4548907322.3107,1329726,2209719727.0,2209663073.6244,0
1677628800000,1.0,1.0001,0.882,0.9997,13391096649.0,1680307199999,13270602987.0061,3977678,5181084430.0,5127589066.9969,0
1680307200000,0.9998,1.0004,0.9987,0.9993,7230853121.0,1682899199999,7227154157.2255,2226766,3347301397.0,3345723889.9319,0
