open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1678492800000,1.0,1.0,0.882,0.9949,2710874877.0,1678751999999,2619636015.5944,1503653,1272151676.0,1228659698.53,0
1678752000000,0.995,0.999,0.9929,0.9975,2968099673.0,1679011199999,2956123125.3426,694555,975180280.0,971206328.8299,0
1679011200000,0.9975,0.9991,0.9966,0.9969,1765683531.0,1679270399999,1761443921.5604,412192,613045868.0,611615050.8001,0
1679270400000,0.9969,0.9979,0.9957,0.9972,2883679645.0,1679529599999,2874245634.7565,530314,975378403.0,972179792.1399,0
1679529600000,0.9971,0.9992,0.9965,0.999,1382271816.0,1679788799999,1379369069.8587,339398,564762026.0,563650960.7875,0
1679788800000,0.9989,0.9999,0.9989,0.9997,825825411.0,1680047999999,825335136.9851,237861,373805887.0,373597350.6398,0
1680048000000,0.9996,1.0001,0.9995,0.9997,854661696.0,1680307199999,854450082.9084,259705,406760290.0,406679885.2697,0
1680307200000,0.9998,0.9999,0.9992,0.9997,590459049.0,1680566399999,590247010.9635,198595,280509351.0,280420481.9947,0
1680566400000,0.9998,0.9999,0.9993,0.9994,657318643.0,1680825599999,657067913.9491,234754,302450621.0,302350330.4055,0
1680825600000,0.9994,0.9999,0.9992,0.9993,346964185.0,1681084799999,346771481.8728,137968,165668894.0,165583013.8186,0
1681084800000,0.9994,0.9995,0.9988,0.9993,1113467433.0,1681343999999,1112514913.3439,294124,511493200.0,511072829.1699,0
1681344000000,0.9992,0.9994,0.9987,0.9992,935390103.0,1681603199999,934496253.185,271788,435305422.0,434907344.3783,0
1681603200000,0.9992,0.9998,0.999,0.9996,951965762.0,1681862399999,951392744.4599,243900,428889764.0,428645545.912,0
1681862400000,0.9997,1.0004,0.9993,1.0001,944625178.0,1682121599999,944402750.4501,294775,451353622.0,451268608.1767,0
1682121600000,1.0001,1.0003,0.9997,1.0,458755865.0,1682380799999,458722515.4058,185603,201074098.0,201066594.735,0
1682380800000,0.9999,1.0001,0.9995,0.9996,862791693.0,1682639999999,862617563.935,261401,412540727.0,412470871.0206,0
1682640000000,0.9996,0.9999,0.9992,0.9993,369828533.0,1682899199999,369633777.7454,104652,158173132.0,158095594.1168,0
