open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1644301800000,0.6868,0.879,0.6868,0.7978,5620343.6,1644301979999,4604098.55369,11509,3159918.6,2594773.87277,0
1644301980000,0.7933,0.7973,0.76,0.77,1049289.3,1644302159999,818927.58834,2237,441101.6,345239.26331,0
1644302160000,0.7723,0.775,0.7462,0.7732,1006823.6,1644302339999,765016.02626,2240,492208.0,374761.33817,0
1644302340000,0.7732,0.8,0.7693,0.786,1053420.6,1644302519999,828785.33236,1441,781317.0,615347.72635,0
1644302520000,0.786,0.795,0.78,0.7865,441216.9,1644302699999,347823.11276,1136,294842.4,232541.11896,0
1644302700000,0.7859,0.79,0.7603,0.7766,418787.6,1644302879999,325455.06697,907,155585.4,121198.23551,0
1644302880000,0.7767,0.7773,0.765,0.7687,270947.4,1644303059999,208721.53846,560,171306.9,131942.07663,0
1644303060000,0.7663,0.78,0.7656,0.78,202919.7,1644303239999,156975.23426,383,155508.9,120242.45796,0
1644303240000,0.78,0.79,0.779,0.7836,253463.1,1644303419999,199276.60925,621,157382.6,123845.89125,0
1644303420000,0.7823,0.785,0.7719,0.7836,140537.0,1644303599999,109648.79749,420,77950.5,60801.47609,0
1644303600000,0.7836,0.7836,0.768,0.775,163070.9,1644303779999,126591.74878,507,75112.1,58431.07675,0
1644303780000,0.7749,0.79,0.7701,0.79,225874.4,1644303959999,176859.98172,481,124159.2,97207.63353,0
1644303960000,0.79,0.8183,0.79,0.8082,883018.1,1644304139999,710340.54772,1779,485774.5,390249.11041,0
1644304140000,0.8082,0.811,0.7999,0.8053,502905.5,1644304319999,406127.54591,890,245964.5,198714.43505,0
1644304320000,0.8059,0.8059,0.7761,0.7801,473214.4,1644304499999,372616.9117,927,257483.3,203055.97102,0
1644304500000,0.7801,0.7937,0.779,0.7891,222966.1,1644304679999,174706.02837,532,123735.9,96908.32982,0
1644304680000,0.7893,0.7936,0.7815,0.7846,123721.7,1644304859999,97540.44997,344,67271.2,53041.92552,0
1644304860000,0.786,0.7919,0.785,0.7896,78092.2,1644305039999,61626.39465,245,48747.4,38487.68881,0
1644305040000,0.7896,0.839,0.789,0.8093,710440.7,1644305219999,577466.86407,1517,367634.4,300559.00944,0
1644305220000,0.8092,0.82,0.7944,0.8091,305208.0,1644305399999,246616.9782,831,152684.8,123602.20519,0
1644305400000,0.8118,0.835,0.81,0.8186,258093.6,1644305579999,210895.24554,899,137739.3,112755.77965,0
1644305580000,0.8182,0.8228,0.8131,0.8141,191050.2,1644305759999,156253.44562,551,64960.9,53192.57904,0
1644305760000,0.8141,0.8237,0.8133,0.821,91813.8,1644305939999,75155.84054,330,53761.8,44017.60898,0
1644305940000,0.821,0.828,0.806,0.8102,238806.6,1644306119999,195317.57367,488,91144.5,74367.86239,0
1644306120000,0.8102,0.812,0.7872,0.7876,303740.2,1644306299999,241685.20261,671,138450.4,109958.8811,0
1644306300000,0.7876,0.7979,0.7872,0.793,191298.1,1644306479999,151383.89425,583,126096.3,99752.76467,0
1644306480000,0.7926,0.7975,0.7901,0.7939,65590.5,1644306659999,52034.1341,234,35487.9,28154.46373,0
1644306660000,0.7953,0.7996,0.7928,0.7968,73033.9,1644306839999,58063.24852,351,26136.9,20796.54986,0
1644306840000,0.7972,0.8105,0.797,0.8017,141070.6,1644307019999,113248.00661,481,60202.8,48376.46623,0
1644307020000,0.8012,0.8119,0.8009,0.8045,126866.8,1644307199999,102051.04486,350,64929.6,52235.59663,0
1644307200000,0.8045,0.8047,0.796,0.796,93968.9,1644307379999,75165.38535,384,46189.2,36905.51462,0
1644307380000,0.7968,0.8027,0.79,0.7907,100438.3,1644307559999,79759.74543,321,33069.4,26323.14022,0
1644307560000,0.7907,0.7931,0.7862,0.787,124379.4,1644307739999,98097.28496,317,51002.2,40230.11651,0
1644307740000,0.7871,0.7898,0.785,0.786,60535.6,1644307919999,47605.24751,222,22025.6,17325.02693,0
1644307920000,0.786,0.786,0.7605,0.7699,335496.5,1644308099999,259169.23875,836,113235.9,87228.11583,0
1644308100000,0.7689,0.7698,0.761,0.7635,144548.8,1644308279999,110391.93055,361,53813.5,41100.65552,0
1644308280000,0.764,0.7773,0.761,0.7773,170951.9,1644308459999,131095.0937,363,60126.8,46076.10187,0
1644308460000,0.7737,0.79,0.77,0.7799,158110.0,1644308639999,123698.83427,415,80609.8,63051.33044,0
1644308640000,0.7767,0.7813,0.7738,0.7806,44175.0,1644308819999,34409.40351,144,22750.4,17724.31971,0
1644308820000,0.7789,0.78,0.7733,0.7767,64851.2,1644308999999,50431.89069,138,32583.9,25343.12017,0
1644309000000,0.7758,0.7776,0.7655,0.7681,66095.6,1644309179999,50996.97383,200,42950.1,33138.80439,0
1644309180000,0.7686,0.7881,0.7678,0.7819,204660.5,1644309359999,159327.23977,437,83549.8,65061.40729,0
1644309360000,0.7822,0.7922,0.7791,0.79,120618.7,1644309539999,95164.12789,310,61151.9,48289.32397,0
1644309540000,0.79,0.794,0.78,0.78,182095.7,1644309719999,143685.40175,232,37276.0,29436.88295,0
1644309720000,0.7803,0.7824,0.7722,0.777,70160.9,1644309899999,54647.68428,186,25324.5,19725.50988,0
1644309900000,0.777,0.7809,0.7747,0.7782,43634.6,1644310079999,33930.48933,155,11318.7,8814.00932,0
1644310080000,0.7792,0.7865,0.778,0.7859,80182.4,1644310259999,62691.07081,190,42260.1,33046.98075,0
1644310260000,0.7859,0.7873,0.776,0.776,120292.8,1644310439999,93756.74467,189,31051.6,24205.3964,0
1644310440000,0.776,0.7764,0.767,0.7702,182774.5,1644310619999,141370.40189,270,69147.4,53483.46528,0
1644310620000,0.771,0.7755,0.7703,0.7736,64891.1,1644310799999,50146.22342,167,33732.6,26046.09564,0
1644310800000,0.7732,0.7807,0.773,0.7807,62245.6,1644310979999,48411.85911,163,48227.3,37513.92926,0
1644310980000,0.7816,0.793,0.781,0.7922,119062.5,1644311159999,93932.41904,309,89857.6,70930.17987,0
1644311160000,0.793,0.793,0.7801,0.7825,184594.3,1644311339999,145281.93124,327,64587.6,50694.16735,0
1644311340000,0.7823,0.7876,0.772,0.772,66735.4,1644311519999,51989.08413,184,30845.4,24053.86284,0
1644311520000,0.7726,0.7766,0.7606,0.761,262128.5,1644311699999,200995.43656,337,141947.2,108588.98978,0
1644311700000,0.761,0.7682,0.7551,0.764,144841.2,1644311879999,110029.60161,363,68976.1,52411.92068,0
1644311880000,0.7615,0.766,0.7586,0.76,63260.5,1644312059999,48112.79589,211,27932.2,21250.83863,0
1644312060000,0.7611,0.7709,0.76,0.7629,103008.4,1644312239999,78557.24584,251,37265.6,28475.54892,0
