open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1643673600000,0.6868,0.879,0.338,0.5097,383982818.0,1646092799999,193172645.36662,1017162,186613879.1,93830469.58786,0
1646092800000,0.5087,0.69,0.422,0.6308,390755906.5,1648771199999,211473038.71075,962242,190594153.1,103461394.69818,0
1648771200000,0.6308,0.6499,0.3376,0.3477,730671278.7,1651363199999,363566332.68763,1705148,354341969.4,176379791.07836,0
1651363200000,0.3479,0.3916,0.1463,0.1758,725746370.0,1654041599999,168533593.60407,1000200,347572519.4,80994468.27729,0
1654041600000,0.1759,0.2445,0.1004,0.167,1518533450.1,1656633599999,252513808.49561,1061259,741205310.2,123376715.38198,0
1656633600000,0.167,0.2524,0.1473,0.2168,911100020.5,1659311999999,170739353.3475,686678,437893707.4,82174933.15494,0
1659312000000,0.2168,0.2749,0.1371,0.1498,878687440.7,1661990399999,184478072.2457,880864,415867475.0,87706674.69529,0
1661990400000,0.1498,0.1739,0.1292,0.136,483180567.5,1664582399999,71768298.68687,527610,228867219.3,34014879.65223,0
1664582400000,0.136,0.1908,0.1295,0.1746,699614303.0,1667260799999,113283789.11851,702263,336427797.9,54538001.67305,0
1667260800000,0.1746,0.1971,0.1014,0.1265,863199547.4,1669852799999,117836956.38468,895405,415948450.0,56816857.17858,0
1669852800000,0.1264,0.141,0.11,0.1199,558244661.3,1672531199999,69481540.46356,462978,265518388.8,33033501.7153,0
1672531200000,0.12,0.2281,0.12,0.1796,1008931983.9,1675209599999,178348671.5409,932568,493362204.9,87199109.25508,0
1675209600000,0.1797,0.3,0.1693,0.2074,1046497913.5,1677628799999,241435520.8352,1389414,506882759.2,117120954.74472,0
1677628800000,0.2074,0.2415,0.1483,0.215,717065125.3,1680307199999,142719995.41957,1081829,343532200.7,68464291.34025,0
1680307200000,0.2151,0.3497,0.2002,0.2729,1249653806.0,1682899199999,341819888.189,2037505,616530501.5,168835072.6918,0
