open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.121,0.1216,0.1199,0.1205,1278221.9,1672516799999,154232.1371,1190,407324.2,49161.33955,0
1672516800000,0.1206,0.1209,0.1196,0.1199,508282.0,1672531199999,61145.0896,591,139217.4,16744.25361,0
1672531200000,0.12,0.1225,0.12,0.1217,1497023.4,1672545599999,181908.41766,1528,941398.5,114570.36505,0
1672545600000,0.1216,0.1222,0.1211,0.122,902205.8,1672559999999,109869.11049,997,396794.2,48366.16906,0
1672560000000,0.1221,0.1229,0.121,0.1225,1578993.0,1672574399999,192674.83998,1643,996849.2,121800.10808,0
1672574400000,0.1226,0.1237,0.1223,0.1234,1245844.0,1672588799999,153180.57556,1425,693278.2,85272.15076,0
1672588800000,0.1234,0.1261,0.1231,0.1247,2268382.4,1672603199999,282226.75868,2156,1177266.7,146528.86352,0
1672603200000,0.1246,0.1258,0.1245,0.1253,1186570.1,1672617599999,148480.25675,1362,689280.1,86264.74722,0
1672617600000,0.1252,0.1255,0.1233,0.1244,1752504.5,1672631999999,217491.03671,2104,578791.1,71960.0448,0
1672632000000,0.1243,0.1269,0.1231,0.1251,1703735.0,1672646399999,212458.26242,2108,883581.4,110275.46145,0
1672646400000,0.1252,0.1267,0.1238,0.1245,2710016.5,1672660799999,339912.85399,1810,873710.7,109675.74435,0
1672660800000,0.1245,0.125,0.1233,0.125,915239.5,1672675199999,113498.62688,1251,665386.1,82533.95694,0
1672675200000,0.125,0.1255,0.124,0.1246,850929.8,1672689599999,106116.08635,1028,403813.0,50355.54986,0
1672689600000,0.1246,0.1253,0.1237,0.1246,1118970.3,1672703999999,139253.76932,990,563018.1,70098.4657,0
1672704000000,0.1246,0.1254,0.1232,0.124,836131.3,1672718399999,103769.62786,1123,307583.3,38133.17532,0
1672718400000,0.124,0.1257,0.1238,0.1242,622299.0,1672732799999,77528.17014,1051,283011.6,35271.64624,0
1672732800000,0.1242,0.1243,0.122,0.1224,2682946.2,1672747199999,330497.57921,1775,1320464.1,162696.75447,0
1672747200000,0.1225,0.1239,0.1216,0.1223,1970622.6,1672761599999,241973.95503,2223,862625.7,106124.56239,0
1672761600000,0.1223,0.1235,0.1218,0.1231,1292240.8,1672775999999,158570.11937,1450,833258.9,102286.28769,0
1672776000000,0.123,0.1242,0.1229,0.1241,1079077.9,1672790399999,133335.06691,948,514592.1,63599.74533,0
1672790400000,0.1242,0.1266,0.124,0.1264,1748365.7,1672804799999,219151.58214,1682,676340.9,84828.75742,0
1672804800000,0.1264,0.1275,0.1256,0.1265,1525010.7,1672819199999,192513.82238,1260,519567.1,65721.6231,0
1672819200000,0.1265,0.1291,0.1252,0.1281,3763478.1,1672833599999,479758.0427,2549,2721205.4,347035.81224,0
1672833600000,0.1281,0.1296,0.1266,0.1288,7467925.3,1672847999999,958037.78138,4066,4536799.2,582554.69938,0
1672848000000,0.1289,0.1327,0.1286,0.13,8444985.1,1672862399999,1103136.69108,5241,4274240.2,558616.9136,0
1672862400000,0.1301,0.1319,0.129,0.1312,3252733.4,1672876799999,423011.30189,1990,1373577.3,179038.71747,0
1672876800000,0.1312,0.1316,0.1292,0.1309,1658460.8,1672891199999,216357.55006,1785,803868.9,104999.13461,0
1672891200000,0.1309,0.1331,0.1303,0.1306,1721238.7,1672905599999,226626.739,1532,739490.6,97503.76878,0
1672905600000,0.1306,0.1317,0.1295,0.1316,1536308.0,1672919999999,200570.33067,1516,731938.4,95632.58376,0
1672920000000,0.1316,0.1334,0.1291,0.1304,13255098.2,1672934399999,1740337.39796,5196,6519588.2,857218.34826,0
1672934400000,0.1303,0.1326,0.1298,0.1324,1993877.1,1672948799999,261701.02723,1465,1000867.5,131589.43893,0
1672948800000,0.1323,0.1328,0.1298,0.1314,1845316.7,1672963199999,242562.97643,1268,592050.4,77947.06024,0
1672963200000,0.1313,0.1323,0.1304,0.1305,1103056.3,1672977599999,144833.28526,1041,536640.2,70535.28609,0
1672977600000,0.1306,0.1307,0.129,0.1291,1374864.6,1672991999999,177972.95351,1158,498690.7,64553.17098,0
1672992000000,0.1291,0.1294,0.1273,0.1292,3162454.1,1673006399999,405863.51272,2026,1105632.5,141883.86343,0
1673006400000,0.1292,0.1321,0.1287,0.132,3585241.3,1673020799999,466795.12354,2488,1538700.1,200568.10276,0
1673020800000,0.1319,0.1347,0.1315,0.1334,4849822.4,1673035199999,646601.07293,3360,2609395.5,348313.11308,0
1673035200000,0.1334,0.1355,0.1329,0.1347,1772440.5,1673049599999,238064.58964,1523,1164934.5,156637.03196,0
1673049600000,0.1346,0.136,0.1344,0.1359,1252196.0,1673063999999,169484.65498,1051,728197.1,98603.41104,0
1673064000000,0.1358,0.1377,0.1351,0.1377,2149816.8,1673078399999,292534.84015,1342,1184347.9,161475.89209,0
1673078400000,0.1378,0.1394,0.1361,0.1393,4174124.7,1673092799999,575206.57803,2510,2293940.4,316878.95896,0
1673092800000,0.1393,0.1393,0.1366,0.1368,2532448.1,1673107199999,348862.61775,1896,1047813.1,144280.7348,0
1673107200000,0.1368,0.1375,0.136,0.1373,1945782.7,1673121599999,266119.66141,1975,1017233.2,139213.09034,0
1673121600000,0.1374,0.1374,0.1356,0.1363,1899267.5,1673135999999,259185.36265,1356,550205.5,75138.97584,0
1673136000000,0.1363,0.1367,0.1341,0.1353,1654926.2,1673150399999,223301.92244,1318,634425.2,85800.99879,0
1673150400000,0.1353,0.1363,0.135,0.1356,1208736.6,1673164799999,164138.87145,847,616266.3,83715.44072,0
1673164800000,0.1357,0.1381,0.1357,0.1374,1442042.2,1673179199999,197852.89716,1835,619615.3,85014.44055,0
1673179200000,0.1375,0.1394,0.1365,0.1389,2880695.1,1673193599999,397579.22255,2063,1490112.1,206030.38688,0
1673193600000,0.1389,0.1391,0.1369,0.1379,3398661.5,1673207999999,467836.22617,2193,1412407.4,194465.45585,0
