open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.344,0.344,0.3436,0.3436,268725.0,1672503299999,92367.4251,256,134315.0,46166.4033,0
1672503300000,0.3437,0.3437,0.343,0.3431,691175.0,1672504199999,237233.8762,425,239472.0,82184.0359,0
1672504200000,0.3431,0.3433,0.3428,0.3429,780002.0,1672505099999,267587.272,419,413184.0,141758.9923,0
1672505100000,0.3429,0.3435,0.3425,0.3428,1152226.0,1672505999999,395209.8345,525,547491.0,187760.0227,0
1672506000000,0.3428,0.3429,0.342,0.3421,820620.0,1672506899999,280921.9368,539,306823.0,105033.5308,0
1672506900000,0.3421,0.3422,0.3407,0.3414,3015729.0,1672507799999,1030072.955,1447,1602406.0,547216.8471,0
1672507800000,0.3415,0.3415,0.3413,0.3414,532063.0,1672508699999,181646.5114,368,287890.0,98297.2223,0
1672508700000,0.3414,0.342,0.3412,0.3419,795304.0,1672509599999,271664.7548,413,367509.0,125546.5443,0
1672509600000,0.3419,0.3421,0.3416,0.342,277693.0,1672510499999,94909.5677,269,143749.0,49136.9513,0
1672510500000,0.3421,0.3424,0.342,0.3423,578755.0,1672511399999,198054.9106,338,443420.0,151756.116,0
1672511400000,0.3423,0.3424,0.3419,0.3422,508715.0,1672512299999,174049.7738,305,268397.0,91822.3989,0
1672512300000,0.3422,0.3425,0.3414,0.3415,772240.0,1672513199999,264044.0434,388,243130.0,83150.5964,0
1672513200000,0.3415,0.3418,0.3411,0.3413,1112691.0,1672514099999,379920.7268,427,342066.0,116785.8167,0
1672514100000,0.3413,0.3423,0.3412,0.3423,923393.0,1672514999999,315567.9875,507,592612.0,202481.4759,0
1672515000000,0.3423,0.3435,0.3419,0.343,1791608.0,1672515899999,614149.0471,643,999271.0,342580.6946,0
1672515900000,0.343,0.3433,0.3426,0.3427,302954.0,1672516799999,103925.1992,251,110730.0,37989.1546,0
1672516800000,0.3427,0.343,0.3427,0.3429,328242.0,1672517699999,112531.7009,236,251320.0,86163.3609,0
