open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,0.344,0.344,0.3407,0.3419,8055844.0,1672509599999,2756704.5658,4392,3899090.0,1333963.5987,0
1672509600000,0.3419,0.3435,0.3411,0.3427,6268049.0,1672516799999,2144621.2561,3128,3143375.0,1075703.2044,0
1672516800000,0.3427,0.3437,0.3419,0.342,7252935.0,1672523999999,2486757.6144,2956,3272413.0,1121877.9986,0
1672524000000,0.3421,0.3427,0.3384,0.3389,35041751.0,1672531199999,11913833.7136,10684,15562460.0,5291070.5975,0
1672531200000,0.3389,0.339,0.3377,0.3387,17245539.0,1672538399999,5839454.6973,6664,9277338.0,3141486.1163,0
1672538400000,0.3388,0.3388,0.3369,0.3381,9884989.0,1672545599999,3338278.8077,4150,4401065.0,1486178.6773,0
1672545600000,0.3381,0.3384,0.3354,0.3367,11721533.0,1672552799999,3943760.8665,4938,5965387.0,2007239.8042,0
1672552800000,0.3367,0.3372,0.3358,0.3368,6175384.0,1672559999999,2078595.1461,3350,3541657.0,1192137.926,0
1672560000000,0.3367,0.338,0.3364,0.3379,6449839.0,1672567199999,2174006.8865,3286,3853637.0,1299080.6363,0
1672567200000,0.3379,0.3386,0.3376,0.3385,6558809.0,1672574399999,2217788.8132,3265,3643258.0,1232143.9903,0
1672574400000,0.3384,0.3388,0.3378,0.3384,7974449.0,1672581599999,2697687.3049,3745,4538348.0,1535399.0332,0
1672581600000,0.3384,0.3385,0.3363,0.3369,8125027.0,1672588799999,2740017.4717,4168,4023112.0,1356686.5191,0
1672588800000,0.3368,0.3385,0.3368,0.338,6114248.0,1672595999999,2064502.694,3633,3357431.0,1133800.5504,0
1672596000000,0.3381,0.34,0.3381,0.339,8103258.0,1672603199999,2748454.1112,4608,4232370.0,1435684.6773,0
1672603200000,0.339,0.3394,0.3377,0.3386,6305957.0,1672610399999,2135514.235,3453,3082111.0,1043760.6708,0
1672610400000,0.3387,0.3391,0.3379,0.3387,7367789.0,1672617599999,2493577.5373,3401,3676563.0,1244302.0463,0
1672617600000,0.3386,0.3395,0.3,0.3253,191755068.0,1672624799999,61707400.8575,90109,89107550.0,28716497.8011,0
1672624800000,0.3253,0.3297,0.3244,0.3287,52434303.0,1672631999999,17142357.4448,22730,25850701.0,8453368.7158,0
1672632000000,0.3286,0.3343,0.3264,0.3316,36096182.0,1672639199999,11884413.4179,16928,19120172.0,6294832.2129,0
1672639200000,0.3316,0.3394,0.3308,0.3378,53534012.0,1672646399999,17947451.4568,23120,28041051.0,9396297.8383,0
1672646400000,0.3378,0.3479,0.3377,0.3454,63935913.0,1672653599999,21955369.3196,24710,33230367.0,11407901.2143,0
1672653600000,0.3454,0.3471,0.3418,0.3445,36358436.0,1672660799999,12527700.8472,14608,18390398.0,6337717.8359,0
1672660800000,0.3445,0.3455,0.3422,0.344,29349289.0,1672667999999,10094833.7254,12671,14389941.0,4949809.8628,0
1672668000000,0.3439,0.3531,0.3439,0.3512,53854172.0,1672675199999,18753069.3016,20485,29333934.0,10212023.1517,0
1672675200000,0.3512,0.3555,0.3496,0.353,42203247.0,1672682399999,14874685.364,19178,20455911.0,7209632.2931,0
1672682400000,0.3529,0.3533,0.3501,0.3517,31983134.0,1672689599999,11232749.1367,12658,15491388.0,5440662.887,0
1672689600000,0.3517,0.3549,0.3509,0.3535,24513311.0,1672696799999,8664698.7223,11590,13531834.0,4782767.015,0
1672696800000,0.3534,0.3536,0.3474,0.3482,31503420.0,1672703999999,11019270.1508,16873,13880328.0,4855435.7957,0
1672704000000,0.3482,0.3482,0.343,0.3443,32955522.0,1672711199999,11392980.1773,13862,14334284.0,4954727.4896,0
1672711200000,0.3443,0.3454,0.3417,0.343,37474379.0,1672718399999,12860061.9825,18016,17771045.0,6099202.6753,0
1672718400000,0.3429,0.3483,0.3421,0.3479,29551241.0,1672725599999,10186335.3153,14145,16089958.0,5546552.0995,0
1672725600000,0.3478,0.352,0.347,0.3491,29273431.0,1672732799999,10221641.3186,14379,14586273.0,5092901.5171,0
